WEX Fleet - Transaction detail - Account 0496-00-812 WESTBROOK PLUMBING & HEATING
Posting period 01/01/2026 - 06/30/2026

Transaction Date,Card Last 4,Vehicle ID,Merchant,City,State/Prov,Product,Quantity,UOM,Unit Price (USD),Amount (USD)
01/26/2026 06:33,6042,VAN21,Maplefields,Williston,VT,CAR WASH,1,EA,12.000,12.00
01/26/2026 12:35,8221,VAN29,Mobil Mart,Essex Jct,VT,UNLEADED REG,22.231,GAL,3.112,69.18
01/27/2026 07:05,5426,VAN24,Champlain Farms,S Burlington,VT,UNLEADED REG,27.422,GAL,3.149,86.35
01/27/2026 07:34,8937,VAN22,Sunoco 0441,Plattsburgh,NY,UNLEADED REG,20.035,GAL,3.164,63.39
01/28/2026 12:30,8299,TRUCK27,Stewart's Shops #312,Burlington,VT,DIESEL #2,35.721,GAL,3.895,139.13
01/28/2026 14:28,7584,VAN26,Champlain Farms,S Burlington,VT,UNLEADED REG,21.771,GAL,3.387,73.74
01/29/2026 13:52,5980,VAN25,Maplefields,Williston,VT,UNLEADED REG,25.439,GAL,3.685,93.74
01/29/2026 16:44,5330,VAN23,Maplefields,Williston,VT,MERCHANDISE,1,EA,7.650,7.65
01/30/2026 06:06,6445,TRUCK28,Sunoco 0441,Plattsburgh,NY,DIESEL #2,34.884,GAL,3.972,138.56
01/30/2026 15:57,8221,VAN29,Stewart's Shops #312,Burlington,VT,MERCHANDISE,1,EA,5.050,5.05
01/31/2026 15:26,6042,VAN21,Mobil Mart,Essex Jct,VT,UNLEADED REG,21.521,GAL,3.603,77.54
02/02/2026 07:41,8221,VAN29,Stewart's Shops #312,Burlington,VT,UNLEADED REG,24.865,GAL,3.625,90.14
02/02/2026 09:23,5330,VAN23,Champlain Farms,S Burlington,VT,UNLEADED REG,23.14,GAL,3.213,74.35
02/02/2026 11:51,5426,VAN24,Irving Oil,St Albans,VT,UNLEADED REG,24.116,GAL,3.455,83.32
02/03/2026 08:31,6042,VAN21,Champlain Farms,S Burlington,VT,MERCHANDISE,1,EA,6.320,6.32
02/03/2026 13:27,7584,VAN26,Maplefields,Williston,VT,UNLEADED REG,27.136,GAL,3.386,91.88
02/03/2026 16:28,8937,VAN22,Irving Oil,St Albans,VT,UNLEADED REG,25.001,GAL,3.467,86.68
02/05/2026 09:05,5980,VAN25,Irving Oil,St Albans,VT,UNLEADED REG,21.305,GAL,3.503,74.63
02/05/2026 15:53,5980,VAN25,Irving Oil,St Albans,VT,MERCHANDISE,1,EA,12.980,12.98
02/05/2026 15:54,8299,TRUCK27,Champlain Farms,S Burlington,VT,DIESEL #2,27.553,GAL,3.831,105.56
02/07/2026 09:51,7584,VAN26,Petro-Canada,Saint-Jean-sur-Richelieu,QC,UNLEADED REG,71.9,LTR,0.989,71.11
02/07/2026 10:04,8221,VAN29,Champlain Farms,S Burlington,VT,UNLEADED REG,21.805,GAL,3.193,69.62
02/07/2026 12:51,6042,VAN21,Irving Oil,St Albans,VT,UNLEADED REG,21.065,GAL,3.466,73.01
02/09/2026 08:08,5426,VAN24,Maplefields,Williston,VT,UNLEADED REG,29.816,GAL,3.437,102.48
02/09/2026 11:32,8937,VAN22,Champlain Farms,S Burlington,VT,UNLEADED REG,18.704,GAL,3.080,57.61
02/10/2026 13:33,6445,TRUCK28,Sunoco 0441,Plattsburgh,NY,MERCHANDISE,1,EA,16.940,16.94
02/10/2026 14:14,6445,TRUCK28,Sunoco 0441,Plattsburgh,NY,DIESEL #2,29.855,GAL,3.829,114.31
02/10/2026 15:42,5330,VAN23,Sunoco 0441,Plattsburgh,NY,UNLEADED REG,24.009,GAL,3.244,77.89
02/12/2026 07:07,5980,VAN25,Irving Oil,St Albans,VT,UNLEADED REG,23.32,GAL,3.044,70.99
02/12/2026 14:48,7584,VAN26,Sunoco 0441,Plattsburgh,NY,UNLEADED REG,24.145,GAL,3.579,86.41
02/13/2026 17:54,6042,VAN21,Sunoco 0441,Plattsburgh,NY,UNLEADED REG,18.587,GAL,3.110,57.81
02/14/2026 08:10,5426,VAN24,Irving Oil,St Albans,VT,UNLEADED REG,23.416,GAL,3.105,72.71
02/16/2026 07:04,8937,VAN22,Maplefields,Williston,VT,UNLEADED REG,21.081,GAL,3.581,75.49
02/16/2026 08:05,8221,VAN29,Champlain Farms,S Burlington,VT,UNLEADED REG,28.533,GAL,3.492,99.64
02/16/2026 14:26,8299,TRUCK27,Mobil Mart,Essex Jct,VT,DIESEL #2,33.864,GAL,4.354,147.44
02/17/2026 09:23,6445,TRUCK28,Irving Oil,St Albans,VT,MERCHANDISE,1,EA,13.060,13.06
02/18/2026 07:12,7584,VAN26,Stewart's Shops #312,Burlington,VT,UNLEADED REG,26.466,GAL,3.656,96.76
02/18/2026 12:41,5330,VAN23,Ultramar,Lacolle,QC,UNLEADED REG,83.35,LTR,1.081,90.10
02/19/2026 10:18,5980,VAN25,Mobil Mart,Essex Jct,VT,UNLEADED REG,19.436,GAL,3.275,63.65
02/19/2026 11:32,5426,VAN24,Stewart's Shops #312,Burlington,VT,MERCHANDISE,1,EA,13.050,13.05
02/20/2026 07:32,6042,VAN21,Maplefields,Williston,VT,UNLEADED REG,19.479,GAL,3.487,67.92
02/20/2026 15:00,5426,VAN24,Irving Oil,St Albans,VT,UNLEADED REG,26.931,GAL,3.552,95.66
02/20/2026 16:48,6445,TRUCK28,Champlain Farms,S Burlington,VT,DIESEL #2,32.02,GAL,4.219,135.09
02/23/2026 09:58,8221,VAN29,Irving Oil,St Albans,VT,UNLEADED REG,27.99,GAL,3.170,88.73
02/23/2026 12:22,8937,VAN22,Irving Oil,St Albans,VT,UNLEADED REG,22.631,GAL,3.211,72.67
02/23/2026 17:32,5330,VAN23,Mobil Mart,Essex Jct,VT,CAR WASH,1,EA,12.000,12.00
02/24/2026 10:03,7584,VAN26,Petro-Canada,Saint-Jean-sur-Richelieu,QC,UNLEADED REG,92.73,LTR,0.939,87.07
02/24/2026 14:56,8221,VAN29,Irving Oil,St Albans,VT,MERCHANDISE,1,EA,14.230,14.23
02/24/2026 17:02,6445,TRUCK28,Sunoco 0441,Plattsburgh,NY,CAR WASH,1,EA,14.000,14.00
02/25/2026 06:52,5330,VAN23,Maplefields,Williston,VT,UNLEADED REG,18.51,GAL,3.236,59.90
02/25/2026 14:54,6445,TRUCK28,Sunoco 0441,Plattsburgh,NY,CAR WASH,1,EA,14.000,14.00
02/26/2026 09:16,8299,TRUCK27,Irving Oil,St Albans,VT,DIESEL #2,35.875,GAL,4.028,144.50
02/27/2026 07:05,5426,VAN24,Sunoco 0441,Plattsburgh,NY,UNLEADED REG,29.88,GAL,3.080,92.03
02/27/2026 09:21,5980,VAN25,Irving Oil,St Albans,VT,UNLEADED REG,23.448,GAL,3.787,88.80
02/27/2026 15:28,6042,VAN21,Sunoco 0441,Plattsburgh,NY,UNLEADED REG,19.711,GAL,3.098,61.06
03/02/2026 13:11,8937,VAN22,Maplefields,Williston,VT,UNLEADED REG,21.306,GAL,3.440,73.29
03/02/2026 16:13,8221,VAN29,Champlain Farms,S Burlington,VT,UNLEADED REG,25.462,GAL,3.104,79.03
03/02/2026 16:22,7584,VAN26,Stewart's Shops #312,Burlington,VT,UNLEADED REG,24.006,GAL,3.708,89.01
03/03/2026 10:59,8937,VAN22,Irving Oil,St Albans,VT,CAR WASH,1,EA,12.000,12.00
03/05/2026 06:18,5330,VAN23,Maplefields,Williston,VT,UNLEADED REG,21.757,GAL,3.635,79.09
03/05/2026 14:45,5426,VAN24,Stewart's Shops #312,Burlington,VT,UNLEADED REG,24.76,GAL,3.120,77.25
03/06/2026 09:28,8299,TRUCK27,Champlain Farms,S Burlington,VT,MERCHANDISE,1,EA,12.260,12.26
03/06/2026 17:54,6445,TRUCK28,Mobil Mart,Essex Jct,VT,DIESEL #2,38.047,GAL,4.147,157.78
03/07/2026 06:32,5980,VAN25,Maplefields,Williston,VT,UNLEADED REG,23.723,GAL,3.613,85.71
03/07/2026 08:58,8937,VAN22,Irving Oil,St Albans,VT,UNLEADED REG,18.49,GAL,3.051,56.41
03/07/2026 13:11,6042,VAN21,Maplefields,Williston,VT,UNLEADED REG,20.085,GAL,3.764,75.60
03/07/2026 16:39,7584,VAN26,Champlain Farms,S Burlington,VT,UNLEADED REG,24.586,GAL,3.263,80.22
03/07/2026 16:58,8299,TRUCK27,Stewart's Shops #312,Burlington,VT,DIESEL #2,29.545,GAL,4.170,123.20
03/09/2026 08:54,5980,VAN25,Irving Oil,St Albans,VT,CAR WASH,1,EA,12.000,12.00
03/09/2026 12:42,8221,VAN29,Maplefields,Williston,VT,UNLEADED REG,27.193,GAL,3.394,92.29
03/11/2026 06:29,8299,TRUCK27,Maplefields,Williston,VT,MERCHANDISE,1,EA,20.750,20.75
03/12/2026 06:38,7584,VAN26,Mobil Mart,Essex Jct,VT,UNLEADED REG,21.714,GAL,3.592,78.00
03/12/2026 11:01,5330,VAN23,Mobil Mart,Essex Jct,VT,UNLEADED REG,19.214,GAL,3.461,66.50
03/12/2026 11:41,5426,VAN24,Stewart's Shops #312,Burlington,VT,UNLEADED REG,30.425,GAL,3.244,98.70
03/13/2026 07:53,8937,VAN22,Stewart's Shops #312,Burlington,VT,UNLEADED REG,20.563,GAL,3.255,66.93
03/14/2026 10:04,6042,VAN21,Sunoco 0441,Plattsburgh,NY,UNLEADED REG,19.608,GAL,3.665,71.86
03/14/2026 15:33,5980,VAN25,Champlain Farms,S Burlington,VT,UNLEADED REG,21.233,GAL,3.339,70.90
03/16/2026 11:47,5330,VAN23,Maplefields,Williston,VT,MERCHANDISE,1,EA,4.770,4.77
03/16/2026 14:16,8299,TRUCK27,Champlain Farms,S Burlington,VT,DIESEL #2,29.08,GAL,3.778,109.86
03/17/2026 13:28,8221,VAN29,Champlain Farms,S Burlington,VT,UNLEADED REG,30.121,GAL,3.068,92.41
03/17/2026 16:17,6445,TRUCK28,Mobil Mart,Essex Jct,VT,DIESEL #2,29.391,GAL,3.854,113.27
03/18/2026 13:21,7584,VAN26,Irving Oil,St Albans,VT,UNLEADED REG,24.49,GAL,3.309,81.04
03/19/2026 07:12,5426,VAN24,Maplefields,Williston,VT,UNLEADED REG,29.455,GAL,3.540,104.27
03/20/2026 11:19,8937,VAN22,Stewart's Shops #312,Burlington,VT,UNLEADED REG,23.625,GAL,3.619,85.50
03/20/2026 13:26,5330,VAN23,Maplefields,Williston,VT,UNLEADED REG,22.481,GAL,3.399,76.41
03/21/2026 17:55,5980,VAN25,Sunoco 0441,Plattsburgh,NY,UNLEADED REG,19.58,GAL,3.529,69.10
03/23/2026 10:36,8221,VAN29,Stewart's Shops #312,Burlington,VT,UNLEADED REG,21.349,GAL,3.323,70.94
03/23/2026 13:30,6042,VAN21,Maplefields,Williston,VT,UNLEADED REG,22.954,GAL,3.339,76.64
03/24/2026 11:23,7584,VAN26,Irving Oil,St Albans,VT,UNLEADED REG,25.191,GAL,3.201,80.64
03/25/2026 11:30,5330,VAN23,Sunoco 0441,Plattsburgh,NY,CAR WASH,1,EA,18.000,18.00
03/26/2026 11:15,5426,VAN24,Irving Oil,St Albans,VT,UNLEADED REG,29.135,GAL,3.272,95.33
03/26/2026 11:53,8937,VAN22,Irving Oil,St Albans,VT,UNLEADED REG,19.894,GAL,3.340,66.45
03/26/2026 15:37,6445,TRUCK28,Stewart's Shops #312,Burlington,VT,DIESEL #2,30.345,GAL,3.793,115.10
03/26/2026 17:44,8299,TRUCK27,Stewart's Shops #312,Burlington,VT,DIESEL #2,37.886,GAL,4.204,159.27
03/27/2026 07:32,5330,VAN23,Champlain Farms,S Burlington,VT,UNLEADED REG,19.746,GAL,3.729,73.63
03/28/2026 17:37,5980,VAN25,Champlain Farms,S Burlington,VT,UNLEADED REG,21.243,GAL,3.643,77.39
03/30/2026 07:54,8937,VAN22,Stewart's Shops #312,Burlington,VT,MERCHANDISE,1,EA,13.300,13.30
03/30/2026 07:59,7584,VAN26,Maplefields,Williston,VT,UNLEADED REG,25.474,GAL,3.234,82.38
03/30/2026 10:14,8221,VAN29,Stewart's Shops #312,Burlington,VT,UNLEADED REG,27.724,GAL,3.522,97.64
03/30/2026 12:03,6042,VAN21,Mobil Mart,Essex Jct,VT,UNLEADED REG,19.001,GAL,3.056,58.07
04/01/2026 08:56,5426,VAN24,Stewart's Shops #312,Burlington,VT,UNLEADED REG,22.283,GAL,3.172,70.68
04/02/2026 09:03,8937,VAN22,Stewart's Shops #312,Burlington,VT,UNLEADED REG,21.265,GAL,3.071,65.30
04/03/2026 09:01,7584,VAN26,Esso,Granby,QC,UNLEADED REG,90.96,LTR,0.918,83.50
04/03/2026 12:39,5426,VAN24,Irving Oil,St Albans,VT,CAR WASH,1,EA,18.000,18.00
04/04/2026 14:22,6445,TRUCK28,Stewart's Shops #312,Burlington,VT,DIESEL #2,27.561,GAL,4.289,118.21
04/06/2026 07:38,5980,VAN25,Sunoco 0441,Plattsburgh,NY,UNLEADED REG,25.273,GAL,3.210,81.13
04/06/2026 09:26,8221,VAN29,Maplefields,Williston,VT,UNLEADED REG,26.303,GAL,3.415,89.82
04/06/2026 14:30,5330,VAN23,Mobil Mart,Essex Jct,VT,UNLEADED REG,24.676,GAL,3.414,84.24
04/06/2026 16:48,8299,TRUCK27,Mobil Mart,Essex Jct,VT,DIESEL #2,34.806,GAL,3.873,134.80
04/07/2026 17:52,6042,VAN21,Mobil Mart,Essex Jct,VT,UNLEADED REG,22.956,GAL,3.507,80.51
04/08/2026 07:10,5426,VAN24,Irving Oil,St Albans,VT,UNLEADED REG,29.597,GAL,3.469,102.67
04/08/2026 13:58,5426,VAN24,Sunoco 0441,Plattsburgh,NY,MERCHANDISE,1,EA,15.460,15.46
04/09/2026 12:34,7584,VAN26,Stewart's Shops #312,Burlington,VT,UNLEADED REG,24.776,GAL,3.552,88.00
04/09/2026 17:07,8937,VAN22,Sunoco 0441,Plattsburgh,NY,UNLEADED REG,24.091,GAL,3.101,74.71
04/13/2026 06:54,5330,VAN23,Mobil Mart,Essex Jct,VT,UNLEADED REG,19.928,GAL,3.082,61.42
04/13/2026 13:12,8221,VAN29,Irving Oil,St Albans,VT,UNLEADED REG,29.413,GAL,3.732,109.77
04/14/2026 06:51,7584,VAN26,Sunoco 0441,Plattsburgh,NY,UNLEADED REG,19.005,GAL,3.751,71.29
04/14/2026 07:11,5426,VAN24,Champlain Farms,S Burlington,VT,UNLEADED REG,25.274,GAL,3.312,83.71
04/14/2026 09:18,5426,VAN24,Sunoco 0441,Plattsburgh,NY,CAR WASH,1,EA,14.000,14.00
04/14/2026 10:29,6445,TRUCK28,Stewart's Shops #312,Burlington,VT,DIESEL #2,26.589,GAL,4.120,109.55
04/14/2026 10:52,6445,TRUCK28,Champlain Farms,S Burlington,VT,CAR WASH,1,EA,12.000,12.00
04/14/2026 14:01,6042,VAN21,Champlain Farms,S Burlington,VT,UNLEADED REG,19.551,GAL,3.693,72.20
04/14/2026 14:29,5980,VAN25,Champlain Farms,S Burlington,VT,UNLEADED REG,23.773,GAL,3.652,86.82
04/15/2026 15:55,8299,TRUCK27,Sunoco 0441,Plattsburgh,NY,DIESEL #2,35.047,GAL,3.982,139.56
04/16/2026 07:57,5330,VAN23,Mobil Mart,Essex Jct,VT,CAR WASH,1,EA,18.000,18.00
04/16/2026 08:46,8937,VAN22,Stewart's Shops #312,Burlington,VT,UNLEADED REG,22.241,GAL,3.641,80.98
04/20/2026 12:09,8221,VAN29,Mobil Mart,Essex Jct,VT,UNLEADED REG,24.468,GAL,3.781,92.51
04/20/2026 17:29,7584,VAN26,Petro-Canada,Saint-Jean-sur-Richelieu,QC,UNLEADED REG,99.06,LTR,0.948,93.91
04/21/2026 07:40,5330,VAN23,Champlain Farms,S Burlington,VT,UNLEADED REG,21.791,GAL,3.749,81.69
04/21/2026 09:11,5330,VAN23,Irving Oil,St Albans,VT,MERCHANDISE,1,EA,14.200,14.20
04/21/2026 17:06,5980,VAN25,Maplefields,Williston,VT,UNLEADED REG,22.671,GAL,3.576,81.07
04/22/2026 09:26,6042,VAN21,Champlain Farms,S Burlington,VT,UNLEADED REG,23.078,GAL,3.034,70.02
04/23/2026 14:54,8937,VAN22,Irving Oil,St Albans,VT,UNLEADED REG,20.567,GAL,3.492,71.82
04/24/2026 09:51,8221,VAN29,Sunoco 0441,Plattsburgh,NY,MERCHANDISE,1,EA,18.220,18.22
04/24/2026 10:48,8299,TRUCK27,Maplefields,Williston,VT,DIESEL #2,33.561,GAL,3.721,124.88
04/24/2026 11:47,6445,TRUCK28,Champlain Farms,S Burlington,VT,DIESEL #2,30.602,GAL,3.942,120.63
04/24/2026 12:21,7584,VAN26,Stewart's Shops #312,Burlington,VT,MERCHANDISE,1,EA,9.930,9.93
04/25/2026 06:34,7584,VAN26,Maplefields,Williston,VT,UNLEADED REG,24.683,GAL,3.170,78.25
04/27/2026 08:45,8221,VAN29,Mobil Mart,Essex Jct,VT,UNLEADED REG,25.605,GAL,3.631,92.97
04/27/2026 17:36,3996,VAN30,Sunoco 0441,Plattsburgh,NY,UNLEADED REG,21.575,GAL,3.652,78.79
04/28/2026 12:09,5980,VAN25,Mobil Mart,Essex Jct,VT,UNLEADED REG,19.727,GAL,3.778,74.53
04/28/2026 13:42,5330,VAN23,Sunoco 0441,Plattsburgh,NY,UNLEADED REG,18.298,GAL,3.488,63.82
04/29/2026 11:58,6042,VAN21,Sunoco 0441,Plattsburgh,NY,UNLEADED REG,20.88,GAL,3.434,71.70
04/30/2026 11:10,8937,VAN22,Irving Oil,St Albans,VT,UNLEADED REG,24.591,GAL,3.562,87.59
04/30/2026 12:46,6042,VAN21,Maplefields,Williston,VT,CAR WASH,1,EA,12.000,12.00
04/30/2026 15:46,7584,VAN26,Champlain Farms,S Burlington,VT,UNLEADED REG,23.014,GAL,3.569,82.14
05/04/2026 16:24,3996,VAN30,Sunoco 0441,Plattsburgh,NY,UNLEADED REG,23.002,GAL,3.321,76.39
05/04/2026 17:48,3996,VAN30,Stewart's Shops #312,Burlington,VT,CAR WASH,1,EA,12.000,12.00
05/05/2026 14:57,5330,VAN23,Stewart's Shops #312,Burlington,VT,UNLEADED REG,19.076,GAL,3.634,69.32
05/05/2026 17:37,8221,VAN29,Stewart's Shops #312,Burlington,VT,UNLEADED REG,27.064,GAL,3.508,94.94
05/06/2026 06:12,6042,VAN21,Champlain Farms,S Burlington,VT,CAR WASH,1,EA,12.000,12.00
05/06/2026 08:14,8299,TRUCK27,Mobil Mart,Essex Jct,VT,DIESEL #2,41.143,GAL,4.293,176.63
05/06/2026 11:12,6445,TRUCK28,Mobil Mart,Essex Jct,VT,DIESEL #2,32.51,GAL,4.059,131.96
05/06/2026 14:10,7584,VAN26,Champlain Farms,S Burlington,VT,UNLEADED REG,24.684,GAL,3.523,86.96
05/06/2026 14:49,8937,VAN22,Sunoco 0441,Plattsburgh,NY,UNLEADED REG,18.598,GAL,3.369,62.66
05/06/2026 15:11,6042,VAN21,Irving Oil,St Albans,VT,UNLEADED REG,18.51,GAL,3.442,63.71
05/06/2026 16:08,5980,VAN25,Sunoco 0441,Plattsburgh,NY,UNLEADED REG,23.766,GAL,3.367,80.02
05/08/2026 09:27,3996,VAN30,Champlain Farms,S Burlington,VT,UNLEADED REG,18.257,GAL,3.431,62.64
05/08/2026 12:29,3996,VAN30,Stewart's Shops #312,Burlington,VT,CAR WASH,1,EA,18.000,18.00
05/12/2026 09:37,8221,VAN29,Champlain Farms,S Burlington,VT,UNLEADED REG,24.999,GAL,3.534,88.35
05/12/2026 16:16,8299,TRUCK27,Stewart's Shops #312,Burlington,VT,CAR WASH,1,EA,18.000,18.00
05/12/2026 16:33,8299,TRUCK27,Irving Oil,St Albans,VT,MERCHANDISE,1,EA,8.470,8.47
05/13/2026 06:14,6042,VAN21,Sunoco 0441,Plattsburgh,NY,UNLEADED REG,18.589,GAL,3.772,70.12
05/13/2026 07:01,5980,VAN25,Mobil Mart,Essex Jct,VT,UNLEADED REG,22.295,GAL,3.585,79.93
05/13/2026 13:42,8937,VAN22,Sunoco 0441,Plattsburgh,NY,UNLEADED REG,22.722,GAL,3.538,80.39
05/13/2026 14:25,5330,VAN23,Stewart's Shops #312,Burlington,VT,MERCHANDISE,1,EA,8.310,8.31
05/13/2026 16:25,7584,VAN26,Sunoco 0441,Plattsburgh,NY,UNLEADED REG,27.564,GAL,3.498,96.42
05/13/2026 17:05,5330,VAN23,Champlain Farms,S Burlington,VT,UNLEADED REG,25.04,GAL,3.751,93.93
05/14/2026 08:47,3996,VAN30,Mobil Mart,Essex Jct,VT,CAR WASH,1,EA,14.000,14.00
05/15/2026 09:46,6445,TRUCK28,Mobil Mart,Essex Jct,VT,DIESEL #2,30.074,GAL,3.787,113.89
05/15/2026 16:41,8299,TRUCK27,Sunoco 0441,Plattsburgh,NY,DIESEL #2,34.574,GAL,4.125,142.62
05/16/2026 10:40,3996,VAN30,Stewart's Shops #312,Burlington,VT,UNLEADED REG,20.999,GAL,3.548,74.50
05/19/2026 10:04,8221,VAN29,Champlain Farms,S Burlington,VT,UNLEADED REG,28.985,GAL,3.184,92.29
05/19/2026 14:40,7584,VAN26,Petro-Canada,Saint-Jean-sur-Richelieu,QC,UNLEADED REG,104.57,LTR,0.934,97.67
05/20/2026 15:32,6042,VAN21,Maplefields,Williston,VT,UNLEADED REG,21.227,GAL,3.597,76.35
05/20/2026 16:43,8937,VAN22,Irving Oil,St Albans,VT,UNLEADED REG,22.579,GAL,3.375,76.20
05/21/2026 06:05,5330,VAN23,Champlain Farms,S Burlington,VT,UNLEADED REG,21.058,GAL,3.041,64.04
05/21/2026 15:15,5980,VAN25,Sunoco 0441,Plattsburgh,NY,UNLEADED REG,25.201,GAL,3.603,90.80
05/21/2026 15:34,6042,VAN21,Stewart's Shops #312,Burlington,VT,MERCHANDISE,1,EA,8.290,8.29
05/21/2026 15:52,3996,VAN30,Maplefields,Williston,VT,MERCHANDISE,1,EA,14.160,14.16
05/23/2026 10:47,3996,VAN30,Sunoco 0441,Plattsburgh,NY,UNLEADED REG,21.888,GAL,3.498,76.56
05/25/2026 07:40,7584,VAN26,Stewart's Shops #312,Burlington,VT,UNLEADED REG,25.469,GAL,3.493,88.96
05/25/2026 14:10,8299,TRUCK27,Maplefields,Williston,VT,DIESEL #2,30.261,GAL,4.335,131.18
05/27/2026 07:22,6445,TRUCK28,Irving Oil,St Albans,VT,DIESEL #2,34.173,GAL,3.728,127.40
05/27/2026 11:48,8221,VAN29,Sunoco 0441,Plattsburgh,NY,UNLEADED REG,29.873,GAL,3.490,104.26
05/27/2026 14:44,8937,VAN22,Mobil Mart,Essex Jct,VT,UNLEADED REG,20.237,GAL,3.119,63.12
05/28/2026 07:09,3996,VAN30,Irving Oil,St Albans,VT,MERCHANDISE,1,EA,9.730,9.73
05/28/2026 08:01,6042,VAN21,Sunoco 0441,Plattsburgh,NY,UNLEADED REG,23.226,GAL,3.685,85.59
