Order,Created,Channel,Status,Subtotal,Discount,Shipping,Tax,Total,Discount codes
WS-58256,2026-08-04 14:03,POS,completed,47.46,0.00,0.00,3.44,50.90,
WS-58257,2026-08-04 14:05,Online Store,completed,12.95,1.94,5.99,0.80,17.80,Summerreads15
WS-58258,2026-08-04 14:22,Online Store,completed,19.10,0.00,5.99,1.38,26.47,
WS-58259,2026-08-04 14:35,Online Store,completed,68.42,0.00,7.99,4.96,81.37,
WS-58260,2026-08-04 15:30,Online Store,completed,27.61,0.00,5.99,2.00,35.60,
WS-58261,2026-08-04 16:58,Online Store,completed,71.24,7.12,0.00,4.65,68.77,"Free Ship 50, TEACHER10"
WS-58262,2026-08-04 17:56,Online Store,completed,44.25,6.64,5.99,2.73,46.33,Summer Reads15
WS-58263,2026-08-04 19:31,Online Store,completed,50.58,0.00,0.00,3.67,54.25,FREESHIP50 
WS-58264,2026-08-05 08:05,Online Store,completed,35.19,0.00,5.99,2.55,43.73,
WS-58265,2026-08-05 10:00,Online Store,completed,122.20,0.00,7.99,8.86,139.05,
WS-58266,2026-08-05 11:28,Online Store,completed,110.36,22.07,7.99,6.40,102.68,spring 2026
WS-58267,2026-08-05 11:29,Online Store,completed,70.25,0.00,7.99,5.09,83.33,
WS-58268,2026-08-05 12:35,POS,completed,14.17,0.00,0.00,1.03,15.20,
WS-58269,2026-08-05 14:47,POS,completed,53.88,0.00,0.00,3.91,57.79,
WS-58270,2026-08-05 15:56,POS,completed,198.53,20.00,0.00,12.94,191.47,BOOKCLUB20
WS-58271,2026-08-05 16:12,POS,completed,48.32,0.00,0.00,3.50,51.82,
WS-58272,2026-08-05 16:44,Online Store,completed,86.93,0.00,7.99,6.30,101.22,
WS-58273,2026-08-05 16:54,POS,completed,94.74,14.21,0.00,5.84,86.37, SUMMERREADS15
WS-58274,2026-08-05 17:45,POS,completed,22.35,5.00,0.00,1.26,18.61,WELCOME5
WS-58275,2026-08-05 18:05,POS,completed,101.22,0.00,0.00,7.34,108.56,
WS-58276,2026-08-05 18:20,Online Store,completed,78.31,0.00,7.99,5.68,91.98,
WS-58277,2026-08-05 18:22,POS,completed,92.39,0.00,0.00,6.70,99.09,
WS-58278,2026-08-05 18:33,POS,completed,87.41,8.74,0.00,5.70,84.37,TEACHER10
WS-58279,2026-08-05 18:42,POS,completed,27.20,4.08,0.00,1.68,24.80,Summer Reads15
WS-58280,2026-08-05 19:19,Online Store,completed,47.65,0.00,5.99,3.45,57.09,
WS-58281,2026-08-05 19:39,Online Store,completed,15.55,0.00,5.99,1.13,22.67,
WS-58282,2026-08-05 20:09,POS,completed,190.16,20.00,0.00,12.34,182.50,Book Club 20
WS-58283,2026-08-05 20:42,POS,completed,59.00,0.00,0.00,4.28,63.28,
WS-58284,2026-08-05 21:23,POS,completed,39.40,0.00,0.00,2.86,42.26,
WS-58285,2026-08-05 21:55,Online Store,completed,43.62,0.00,5.99,3.16,52.77,
WS-58286,2026-08-06 08:32,Online Store,completed,69.50,6.95,0.00,4.53,67.08,"Free Ship 50, TEACHER10"
WS-58287,2026-08-06 09:11,POS,completed,49.51,4.95,0.00,3.23,47.79, TEACHER10
WS-58288,2026-08-06 09:32,Online Store,completed,103.40,0.00,7.99,7.50,118.89,
WS-58289,2026-08-06 12:23,POS,completed,62.11,0.00,0.00,4.50,66.61,
WS-58290,2026-08-06 14:39,POS,completed,20.39,0.00,0.00,1.48,21.87,
WS-58291,2026-08-06 14:57,Online Store,completed,32.91,4.94,5.99,2.03,35.99, SUMMERREADS15
WS-58292,2026-08-06 15:07,Online Store,completed,110.87,0.00,7.99,8.04,126.90,
WS-58293,2026-08-06 15:16,POS,completed,100.11,15.02,0.00,6.17,91.26,summerreads15 
WS-58294,2026-08-06 15:52,Online Store,completed,41.57,0.00,5.99,3.01,50.57,
WS-58295,2026-08-06 15:59,Online Store,completed,164.95,20.00,7.99,10.51,163.45,BOOK CLUB 20
WS-58296,2026-08-06 16:16,Online Store,completed,18.05,0.00,5.99,1.31,25.35,
WS-58297,2026-08-06 19:17,POS,completed,75.22,0.00,0.00,5.45,80.67,
WS-58298,2026-08-06 19:48,Online Store,completed,169.44,20.00,7.99,10.83,168.26,Book Club 20
WS-58299,2026-08-06 20:57,Online Store,completed,71.36,0.00,7.99,5.17,84.52,
WS-58300,2026-08-06 21:10,Online Store,completed,51.00,0.00,7.99,3.70,62.69,
WS-58301,2026-08-06 21:24,POS,completed,125.56,0.00,0.00,9.10,134.66,
WS-58302,2026-08-07 08:02,POS,completed,188.41,20.00,0.00,12.21,180.62,bookclub20
WS-58303,2026-08-07 09:27,Online Store,completed,42.59,0.00,5.99,3.09,51.67,
WS-58304,2026-08-07 10:39,Online Store,completed,104.47,0.00,0.00,7.57,112.04,freeship50
WS-58305,2026-08-07 10:44,POS,completed,22.37,0.00,0.00,1.62,23.99,bookclub2o
WS-58306,2026-08-07 12:33,POS,completed,89.10,8.91,0.00,5.81,86.00,TEACHER 10
WS-58307,2026-08-07 12:34,POS,completed,58.01,0.00,0.00,4.21,62.22,
WS-58308,2026-08-07 12:35,Online Store,completed,21.76,0.00,5.99,1.58,29.33,
WS-58309,2026-08-07 12:56,POS,cancelled,74.52,0.00,0.00,5.40,79.92,
WS-58310,2026-08-07 12:59,Online Store,completed,70.33,0.00,7.99,5.10,83.42,
WS-58311,2026-08-07 13:17,Online Store,cancelled,16.23,1.62,5.99,1.06,21.66,Teacher10
WS-58312,2026-08-07 14:05,Online Store,completed,43.55,6.53,5.99,2.68,45.69,Summer Reads15
WS-58313,2026-08-07 14:37,Online Store,completed,115.93,20.00,7.99,6.95,110.87,Book Club 20 
WS-58314,2026-08-07 14:43,Online Store,completed,127.04,0.00,7.99,9.21,144.24,
WS-58315,2026-08-07 16:06,Online Store,completed,112.16,0.00,7.99,8.13,128.28,
WS-58316,2026-08-07 17:09,Online Store,completed,48.04,4.80,5.99,3.13,52.36,TEACHER 10
WS-58317,2026-08-07 17:41,Online Store,completed,72.76,10.91,0.00,4.48,66.33,"freeship50, summer reads15"
WS-58318,2026-08-07 17:45,Online Store,completed,41.33,0.00,5.99,3.00,50.32,
WS-58319,2026-08-07 18:00,POS,completed,90.88,0.00,0.00,6.59,97.47,
WS-58320,2026-08-07 19:50,Online Store,completed,33.96,0.00,5.99,2.46,42.41,
WS-58321,2026-08-07 20:05,Online Store,completed,18.44,0.00,5.99,1.34,25.77,
WS-58322,2026-08-07 20:16,Online Store,completed,111.63,11.16,7.99,7.28,115.74, Teacher 10
WS-58323,2026-08-08 08:19,Online Store,completed,84.54,12.68,7.99,5.21,85.06,Summer Reads15
WS-58324,2026-08-08 08:19,POS,completed,12.24,0.00,0.00,0.89,13.13,
WS-58325,2026-08-08 12:46,POS,completed,36.49,0.00,0.00,2.65,39.14,
WS-58326,2026-08-08 13:40,Online Store,completed,75.89,11.38,7.99,4.68,77.18,Summer Reads15 
WS-58327,2026-08-08 14:01,POS,completed,16.76,0.00,0.00,1.22,17.98,
WS-58328,2026-08-08 15:45,POS,completed,81.40,8.14,0.00,5.31,78.57,teacher10
WS-58329,2026-08-08 15:55,POS,completed,29.18,2.92,0.00,1.90,28.16, Teacher10
WS-58330,2026-08-08 16:55,Online Store,completed,47.11,0.00,5.99,3.42,56.52,
WS-58331,2026-08-08 17:35,POS,completed,28.72,0.00,0.00,2.08,30.80,
WS-58332,2026-08-08 17:57,Online Store,completed,36.57,0.00,5.99,2.65,45.21,
WS-58333,2026-08-08 18:05,POS,completed,113.47,11.35,0.00,7.40,109.52,teacher10
WS-58334,2026-08-08 19:20,POS,completed,16.97,0.00,0.00,1.23,18.20,
WS-58335,2026-08-08 20:09,POS,completed,52.20,0.00,0.00,3.78,55.98,
WS-58336,2026-08-08 20:10,Online Store,completed,34.85,0.00,5.99,2.53,43.37,
WS-58337,2026-08-08 20:11,Online Store,completed,63.63,0.00,7.99,4.61,76.23,
WS-58338,2026-08-08 21:08,Online Store,completed,34.28,0.00,5.99,2.49,42.76,
WS-58339,2026-08-08 21:13,POS,completed,75.52,0.00,0.00,5.48,81.00,
WS-58340,2026-08-09 09:47,Online Store,completed,29.55,0.00,5.99,2.14,37.68,
WS-58341,2026-08-09 14:05,Online Store,completed,67.77,0.00,7.99,4.91,80.67,
WS-58342,2026-08-09 14:27,Online Store,completed,16.27,0.00,5.99,1.18,23.44,
WS-58343,2026-08-09 16:20,POS,completed,80.23,0.00,0.00,5.82,86.05,
WS-58344,2026-08-09 18:43,Online Store,completed,69.68,0.00,7.99,5.05,82.72,
WS-58345,2026-08-09 20:07,POS,completed,78.51,0.00,0.00,5.69,84.20,
WS-58346,2026-08-09 21:11,POS,completed,20.81,4.16,0.00,1.21,17.86,Spring 2026 
WS-58347,2026-08-10 10:12,POS,completed,27.93,0.00,0.00,2.02,29.95,
WS-58348,2026-08-10 10:48,Online Store,completed,63.52,0.00,7.99,4.61,76.12,
WS-58349,2026-08-10 12:59,POS,completed,183.14,20.00,0.00,11.83,174.97,bookclub20
WS-58350,2026-08-10 13:25,POS,completed,19.63,0.00,0.00,1.42,21.05,
WS-58351,2026-08-10 16:03,Online Store,completed,35.68,0.00,5.99,2.59,44.26,
WS-58352,2026-08-10 16:36,Online Store,completed,124.83,20.00,7.99,7.60,120.42,Book Club 20
WS-58353,2026-08-10 17:34,POS,completed,96.86,9.69,0.00,6.32,93.49,BACK TO SCHOOL
WS-58354,2026-08-10 21:06,Online Store,completed,31.15,0.00,5.99,2.26,39.40,
WS-58355,2026-08-10 21:29,Online Store,completed,54.87,0.00,7.99,3.98,66.84,
WS-58356,2026-08-10 21:38,POS,completed,23.88,0.00,0.00,1.73,25.61,
WS-58357,2026-08-10 21:45,POS,cancelled,40.82,6.12,0.00,2.52,37.22, Summerreads15
WS-58358,2026-08-11 08:13,Online Store,completed,37.49,0.00,5.99,2.72,46.20,
WS-58359,2026-08-11 08:46,POS,completed,113.83,17.07,0.00,7.02,103.78, SUMMERREAD15
WS-58360,2026-08-11 08:52,POS,completed,23.12,0.00,0.00,1.68,24.80,
WS-58361,2026-08-11 10:48,Online Store,completed,116.11,0.00,7.99,8.42,132.52,
WS-58362,2026-08-11 11:09,POS,completed,52.26,0.00,0.00,3.79,56.05,
WS-58363,2026-08-11 12:24,POS,completed,39.24,0.00,0.00,2.84,42.08,
WS-58364,2026-08-11 12:27,Online Store,completed,93.95,0.00,7.99,6.81,108.75,
WS-58365,2026-08-11 13:35,POS,completed,43.68,0.00,0.00,3.17,46.85,
WS-58366,2026-08-11 14:32,Online Store,completed,53.11,5.31,7.99,3.47,59.26,TEACHER10
WS-58367,2026-08-11 14:49,POS,completed,191.55,20.00,0.00,12.44,183.99,bookclub20
WS-58368,2026-08-11 15:13,Online Store,completed,31.19,4.68,5.99,1.92,34.42,SUMMER READS15
WS-58369,2026-08-11 16:09,Online Store,completed,82.48,0.00,7.99,5.98,96.45,
WS-58370,2026-08-11 16:43,Online Store,completed,155.41,20.00,7.99,9.82,153.22, Bookclub20
WS-58371,2026-08-11 18:26,Online Store,completed,118.65,0.00,7.99,8.60,135.24,
WS-58372,2026-08-11 18:31,Online Store,completed,56.37,0.00,7.99,4.09,68.45,
WS-58373,2026-08-11 18:58,POS,completed,167.77,20.00,0.00,10.71,158.48,Book Club 20
WS-58374,2026-08-11 20:29,Online Store,completed,110.13,11.01,7.99,7.19,114.30,BACKTOSCHOOL
WS-58375,2026-08-12 08:27,Online Store,completed,49.79,0.00,5.99,3.61,59.39,
WS-58376,2026-08-12 08:47,POS,completed,18.06,2.71,0.00,1.11,16.46,SUMMERREADS15
WS-58377,2026-08-12 11:49,Online Store,completed,105.61,15.84,7.99,6.51,104.27,SUMMERREADS15
WS-58378,2026-08-12 12:05,POS,completed,27.96,0.00,0.00,2.03,29.99,
WS-58379,2026-08-12 13:53,POS,cancelled,59.86,0.00,0.00,4.34,64.20,
WS-58380,2026-08-12 15:49,POS,completed,23.62,0.00,0.00,1.71,25.33,
WS-58381,2026-08-12 18:25,Online Store,completed,35.21,3.52,5.99,2.30,39.98,BACKTOSCHOOL
WS-58382,2026-08-12 20:10,Online Store,completed,14.62,1.46,5.99,0.95,20.10, BACKTOSCHOOL
WS-58383,2026-08-12 20:12,Online Store,completed,88.05,0.00,7.99,6.38,102.42,
WS-58384,2026-08-12 21:22,Online Store,completed,62.52,0.00,7.99,4.53,75.04,
WS-58385,2026-08-12 21:26,Online Store,completed,13.13,0.00,5.99,0.95,20.07,
WS-58386,2026-08-13 08:14,Online Store,completed,57.66,8.65,0.00,3.55,52.56," FREESHIP50,SUMMERREADS15"
WS-58387,2026-08-13 09:06,Online Store,completed,25.17,0.00,5.99,1.82,32.98,
WS-58388,2026-08-13 09:27,Online Store,completed,21.59,3.24,5.99,1.33,25.67,SUMMERREADS15 
WS-58389,2026-08-13 09:44,Online Store,completed,42.62,0.00,5.99,3.09,51.70,
WS-58390,2026-08-13 11:36,POS,completed,42.45,6.37,0.00,2.62,38.70,SUMMERREADS15
WS-58391,2026-08-13 14:47,Online Store,completed,45.28,0.00,5.99,3.28,54.55,
WS-58392,2026-08-13 14:49,POS,completed,94.10,0.00,0.00,6.82,100.92,
WS-58393,2026-08-13 14:59,Online Store,completed,43.90,0.00,5.99,3.18,53.07,
WS-58394,2026-08-13 15:03,Online Store,completed,12.53,0.00,5.99,0.91,19.43,
WS-58395,2026-08-13 15:32,Online Store,completed,71.03,0.00,7.99,5.15,84.17,
WS-58396,2026-08-13 16:22,Online Store,completed,30.90,0.00,5.99,2.24,39.13,
WS-58397,2026-08-13 16:24,Online Store,completed,74.61,0.00,7.99,5.41,88.01,
WS-58398,2026-08-13 17:04,POS,completed,56.68,5.67,0.00,3.70,54.71,TEACHER 10
WS-58399,2026-08-13 17:37,Online Store,completed,29.08,2.91,5.99,1.90,34.06, BACKTOSCHOOL
WS-58400,2026-08-13 19:13,Online Store,completed,14.87,0.00,5.99,1.08,21.94,
WS-58401,2026-08-13 19:55,Online Store,completed,64.11,6.41,7.99,4.18,69.87,backtoschool
WS-58402,2026-08-13 19:57,Online Store,completed,101.20,10.12,7.99,6.60,105.67, Backtoschool
WS-58403,2026-08-13 20:50,POS,completed,38.14,0.00,0.00,2.77,40.91,
WS-58404,2026-08-13 20:53,Online Store,completed,56.49,5.65,7.99,3.69,62.52,backtoschool
WS-58405,2026-08-14 09:07,Online Store,completed,68.57,10.29,7.99,4.23,70.50,Summerreads15
WS-58406,2026-08-14 10:09,Online Store,completed,25.09,0.00,5.99,1.82,32.90,
WS-58407,2026-08-14 10:12,POS,cancelled,21.14,0.00,0.00,1.53,22.67,
WS-58408,2026-08-14 10:37,POS,completed,46.73,0.00,0.00,3.39,50.12,
WS-58409,2026-08-14 11:24,POS,completed,128.01,20.00,0.00,7.83,115.84, book club 20
WS-58410,2026-08-14 12:47,POS,completed,15.62,2.34,0.00,0.96,14.24,Summer Read15
WS-58411,2026-08-14 12:53,Online Store,completed,13.65,0.00,5.99,0.99,20.63,
WS-58412,2026-08-14 14:15,Online Store,completed,35.82,3.58,5.99,2.34,40.57,TEACHER10
WS-58413,2026-08-14 14:45,POS,completed,76.86,7.69,0.00,5.01,74.18,back to school
WS-58414,2026-08-14 18:40,POS,completed,93.35,0.00,0.00,6.77,100.12,
WS-58415,2026-08-14 19:10,Online Store,completed,78.73,0.00,7.99,5.71,92.43,
WS-58416,2026-08-14 20:31,Online Store,completed,32.69,0.00,5.99,2.37,41.05,
WS-58417,2026-08-14 21:20,POS,completed,127.50,19.12,0.00,7.86,116.24,SUMMERREADS15
WS-58418,2026-08-14 21:27,Online Store,completed,61.85,9.28,7.99,3.81,64.37,SUMMERREADS15
WS-58419,2026-08-15 08:24,POS,completed,45.55,4.55,0.00,2.97,43.97,TEACHER10
WS-58420,2026-08-15 08:58,POS,completed,39.04,5.86,0.00,2.41,35.59,SUMMERREADS15
WS-58421,2026-08-15 10:27,Online Store,completed,88.13,0.00,7.99,6.39,102.51,
WS-58422,2026-08-15 13:53,Online Store,completed,72.07,0.00,0.00,5.23,77.30,FREESHIP50
WS-58423,2026-08-15 13:55,Online Store,completed,48.44,0.00,5.99,3.51,57.94,
WS-58424,2026-08-15 14:09,Online Store,completed,28.88,0.00,5.99,2.09,36.96,
WS-58425,2026-08-15 14:28,POS,completed,58.18,8.73,0.00,3.59,53.04,SUMMERREADS15 
WS-58426,2026-08-15 16:29,POS,completed,73.66,7.37,0.00,4.81,71.10,back to school 
WS-58427,2026-08-15 17:53,Online Store,completed,69.77,0.00,7.99,5.06,82.82,
WS-58428,2026-08-15 20:56,Online Store,completed,17.13,1.71,5.99,1.12,22.53,teacher10
WS-58429,2026-08-15 21:12,Online Store,completed,85.80,12.87,7.99,5.29,86.21,summer reads15
WS-58430,2026-08-16 09:05,POS,completed,34.80,0.00,0.00,2.52,37.32,
WS-58431,2026-08-16 09:22,Online Store,completed,23.91,0.00,5.99,1.73,31.63,
WS-58432,2026-08-16 09:23,Online Store,completed,56.18,0.00,7.99,4.07,68.24,
WS-58433,2026-08-16 10:36,Online Store,completed,113.30,0.00,7.99,8.21,129.50,
WS-58434,2026-08-16 11:41,POS,completed,102.80,0.00,0.00,7.45,110.25,
WS-58435,2026-08-16 13:39,Online Store,completed,62.54,0.00,7.99,4.53,75.06,
WS-58436,2026-08-16 14:36,POS,completed,172.11,20.00,0.00,11.03,163.14,BOOK CLUB 20
WS-58437,2026-08-16 15:38,POS,completed,49.32,0.00,0.00,3.58,52.90,
WS-58438,2026-08-16 15:55,Online Store,completed,32.93,0.00,5.99,2.39,41.31,
WS-58439,2026-08-16 16:06,Online Store,completed,63.62,0.00,7.99,4.61,76.22,
WS-58440,2026-08-16 16:27,Online Store,completed,15.74,0.00,5.99,1.14,22.87,
WS-58441,2026-08-16 18:42,POS,completed,66.39,0.00,0.00,4.81,71.20,
WS-58442,2026-08-16 21:46,Online Store,completed,32.69,4.90,5.99,2.01,35.79,summer reads15
WS-58443,2026-08-17 08:02,Online Store,completed,26.90,2.69,5.99,1.76,31.96,Backtoschool
WS-58444,2026-08-17 08:12,Online Store,completed,34.62,0.00,5.99,2.51,43.12,
WS-58445,2026-08-17 08:14,POS,completed,40.18,4.02,0.00,2.62,38.78, Back To School
WS-58446,2026-08-17 10:38,Online Store,completed,81.28,0.00,7.99,5.89,95.16,
WS-58447,2026-08-17 10:51,Online Store,completed,90.87,0.00,7.99,6.59,105.45,
WS-58448,2026-08-17 13:12,Online Store,completed,32.77,0.00,5.99,2.38,41.14,
WS-58449,2026-08-17 13:24,POS,completed,44.15,4.42,0.00,2.88,42.61,BACKTOSCHOOL
WS-58450,2026-08-17 17:54,Online Store,completed,70.83,7.08,0.00,4.62,68.37,"Free Ship 50,back to school"
WS-58451,2026-08-17 20:19,POS,completed,128.63,12.86,0.00,8.39,124.16,back to school
WS-58452,2026-08-18 08:40,Online Store,completed,45.51,0.00,5.99,3.30,54.80,
WS-58453,2026-08-18 10:02,POS,completed,128.68,20.00,0.00,7.88,116.56,BOOKCLUB20
WS-58454,2026-08-18 11:51,Online Store,completed,66.61,0.00,0.00,4.83,71.44,Free Ship 50
WS-58455,2026-08-18 12:49,POS,completed,50.72,0.00,0.00,3.68,54.40,
WS-58456,2026-08-18 13:55,POS,completed,129.83,20.00,0.00,7.96,117.79,Book Club 20
WS-58457,2026-08-18 14:48,POS,completed,123.17,20.00,0.00,7.48,110.65,bookclub20
WS-58458,2026-08-18 14:59,Online Store,completed,19.77,2.97,5.99,1.22,24.01,SUMMERREADS15
WS-58459,2026-08-18 15:02,POS,completed,75.64,0.00,0.00,5.48,81.12,
WS-58460,2026-08-18 15:45,POS,completed,104.47,0.00,0.00,7.57,112.04,
WS-58461,2026-08-18 17:09,Online Store,completed,39.35,0.00,5.99,2.85,48.19,
WS-58462,2026-08-18 17:44,Online Store,completed,101.15,10.12,7.99,6.60,105.62,TEACHER 10 
WS-58463,2026-08-18 18:25,Online Store,completed,17.97,0.00,5.99,1.30,25.26,
WS-58464,2026-08-18 18:43,Online Store,completed,112.04,20.00,7.99,6.67,106.70,BOOK CLUB 20
WS-58465,2026-08-18 20:25,Online Store,completed,15.14,0.00,5.99,1.10,22.23,
WS-58466,2026-08-18 20:56,POS,completed,36.93,3.69,0.00,2.41,35.65,back to school
WS-58467,2026-08-18 21:03,Online Store,completed,35.64,0.00,5.99,2.58,44.21,
WS-58468,2026-08-19 08:58,Online Store,completed,28.75,0.00,5.99,2.08,36.82,
WS-58469,2026-08-19 09:26,Online Store,completed,88.90,8.89,7.99,5.80,93.80,TEACHER10
WS-58470,2026-08-19 09:32,POS,completed,178.26,20.00,0.00,11.47,169.73,BOOKCLUB20
WS-58471,2026-08-19 09:42,Online Store,completed,47.86,0.00,5.99,3.47,57.32,
WS-58472,2026-08-19 09:43,POS,completed,100.88,0.00,0.00,7.31,108.19,
WS-58473,2026-08-19 10:41,Online Store,completed,93.04,0.00,0.00,6.75,99.79,FREESHIP50
WS-58474,2026-08-19 11:08,Online Store,completed,18.70,0.00,5.99,1.36,26.05,
WS-58475,2026-08-19 11:16,POS,completed,63.59,0.00,0.00,4.61,68.20,
WS-58476,2026-08-19 12:45,POS,completed,27.93,0.00,0.00,2.02,29.95,
WS-58477,2026-08-19 13:02,POS,completed,20.86,0.00,0.00,1.51,22.37,
WS-58478,2026-08-19 14:19,POS,completed,18.45,0.00,0.00,1.34,19.79,
WS-58479,2026-08-19 14:38,Online Store,completed,49.64,0.00,5.99,3.60,59.23,
WS-58480,2026-08-19 14:59,Online Store,completed,22.81,2.28,5.99,1.49,28.01,BACKTOSCHOOL
WS-58481,2026-08-19 18:08,Online Store,completed,88.28,8.83,7.99,5.76,93.20,TEACHER10
WS-58482,2026-08-19 18:46,Online Store,completed,50.80,5.08,7.99,3.31,57.02,BACKTOSCHOOL
WS-58483,2026-08-19 20:16,Online Store,completed,130.41,20.00,7.99,8.00,126.40,BOOK CLUB 20
WS-58484,2026-08-19 21:03,Online Store,completed,149.71,20.00,7.99,9.40,147.10,BOOKCLUB20
WS-58485,2026-08-19 21:32,Online Store,completed,46.15,4.62,5.99,3.01,50.53,Backtoschool
WS-58486,2026-08-20 09:02,Online Store,completed,40.78,0.00,5.99,2.96,49.73,
WS-58487,2026-08-20 09:12,Online Store,completed,83.66,0.00,7.99,6.07,97.72,
WS-58488,2026-08-20 09:53,Online Store,completed,113.87,20.00,7.99,6.81,108.67, BOOKCLUB20
WS-58489,2026-08-20 10:19,Online Store,completed,35.37,5.31,5.99,2.18,38.23,SUMMERREADS15
WS-58490,2026-08-20 12:50,POS,completed,68.62,0.00,0.00,4.97,73.59,
WS-58491,2026-08-20 13:05,Online Store,cancelled,30.80,0.00,5.99,2.23,39.02,
WS-58492,2026-08-20 14:10,Online Store,completed,26.78,0.00,5.99,1.94,34.71,
WS-58493,2026-08-20 15:00,Online Store,completed,31.98,0.00,5.99,2.32,40.29,
WS-58494,2026-08-20 16:26,POS,completed,18.54,1.85,0.00,1.21,17.90, BACKTOSCHOOL
WS-58495,2026-08-20 16:35,POS,completed,23.06,0.00,0.00,1.67,24.73,
WS-58496,2026-08-20 17:32,Online Store,completed,119.81,0.00,7.99,8.69,136.49,
