Receipt,Date,SKU,Item,Qty,Unit price,Line total,Type,Return reason,Original receipt
R51024,01/05/2026 04:27 PM,HAY-MT05,Meadow timothy hay 5 lb,1,16.99,16.99,Sale,,
R51025,01/05/2026 05:57 PM,OIL-SO16,Wild salmon oil 16 oz,1,24.99,24.99,Sale,,
R51026,01/05/2026 06:30 PM,CHW-DC30,"Dental chews, 30 count",1,28.99,28.99,Sale,,
R51027,01/06/2026 02:08 PM,DOG-SR25,Summit Ridge grain-free dog food 25 lb,3,74.99,224.97,Sale,,
R51028,01/06/2026 05:50 PM,DOG-SR25,Summit Ridge grain-free dog food 25 lb,1,74.99,74.99,Sale,,
R51029,01/06/2026 06:11 PM,CAT-WF12,Whisker Farm indoor cat food 12 lb,1,37.99,37.99,Sale,,
R51030,01/06/2026 06:28 PM,LIT-CC35,Clumping clay litter 35 lb,1,21.99,21.99,Sale,,
R51031,01/07/2026 10:48 AM,DOG-SR25,Summit Ridge grain-free dog food 25 lb,1,74.99,74.99,Sale,,
R51032,01/07/2026 11:11 AM,DOG-SR25,Summit Ridge grain-free dog food 25 lb,2,74.99,149.98,Sale,,
R51033,01/07/2026 11:19 AM,CAT-WF12,Whisker Farm indoor cat food 12 lb,2,37.99,75.98,Sale,,
R51034,01/07/2026 11:41 AM,LIT-CC35,Clumping clay litter 35 lb,1,21.99,21.99,Sale,,
R51035,01/07/2026 05:48 PM,LIT-CC35,Clumping clay litter 35 lb,2,21.99,43.98,Sale,,
R51036,01/08/2026 09:16 AM,DOG-SR25,Summit Ridge grain-free dog food 25 lb,1,74.99,74.99,Sale,,
R51037,01/08/2026 01:28 PM,CAT-WF12,Whisker Farm indoor cat food 12 lb,1,37.99,37.99,Sale,,
R51038,01/08/2026 02:14 PM,LIT-CC35,Clumping clay litter 35 lb,3,21.99,65.97,Sale,,
R51039,01/08/2026 02:38 PM,LIT-CC35,Clumping clay litter 35 lb,1,21.99,21.99,Sale,,
R51040,01/08/2026 04:57 PM,HAY-MT05,Meadow timothy hay 5 lb,1,16.99,16.99,Sale,,
R51041,01/08/2026 06:52 PM,OIL-SO16,Wild salmon oil 16 oz,1,24.99,24.99,Sale,,
R51042,01/09/2026 10:17 AM,DOG-SR25,Summit Ridge grain-free dog food 25 lb,1,74.99,74.99,Sale,,
R51043,01/09/2026 12:10 PM,LIT-CC35,Clumping clay litter 35 lb,1,21.99,21.99,Sale,,
R51044,01/09/2026 03:50 PM,LIT-CC35,Clumping clay litter 35 lb,1,21.99,21.99,Sale,,
R51045,01/09/2026 04:57 PM,HAY-MT05,Meadow timothy hay 5 lb,1,16.99,16.99,Sale,,
R51046,01/09/2026 06:35 PM,TOY-TR-L,"TuffRope tug toy, large",2,12.99,25.98,Sale,,
R51047,01/10/2026 09:19 AM,CAT-WF12,Whisker Farm indoor cat food 12 lb,1,37.99,37.99,Sale,,
R51048,01/10/2026 03:10 PM,LIT-CC35,Clumping clay litter 35 lb,1,21.99,21.99,Sale,,
R51049,01/10/2026 05:09 PM,CHW-DC30,"Dental chews, 30 count",3,28.99,86.97,Sale,,
R51050,01/12/2026 03:21 PM,CAT-WF12,Whisker Farm indoor cat food 12 lb,1,37.99,37.99,Sale,,
R51051,01/12/2026 03:38 PM,LIT-CC35,Clumping clay litter 35 lb,1,21.99,21.99,Sale,,
R51052,01/12/2026 05:11 PM,TOY-TR-L,"TuffRope tug toy, large",1,12.99,12.99,Sale,,
R51053,01/13/2026 10:42 AM,CAT-WF12,Whisker Farm indoor cat food 12 lb,3,37.99,113.97,Sale,,
R51054,01/13/2026 05:53 PM,TOY-TR-L,"TuffRope tug toy, large",1,12.99,12.99,Sale,,
R51055,01/13/2026 06:45 PM,OIL-SO16,Wild salmon oil 16 oz,1,24.99,24.99,Sale,,
R51056,01/13/2026 06:58 PM,CHW-DC30,"Dental chews, 30 count",1,28.99,28.99,Sale,,
R51057,01/14/2026 09:00 AM,CAT-WF12,Whisker Farm indoor cat food 12 lb,1,37.99,37.99,Sale,,
R51058,01/14/2026 11:13 AM,CAT-WF12,Whisker Farm indoor cat food 12 lb,1,37.99,37.99,Sale,,
R51059,01/14/2026 12:45 PM,HAY-MT05,Meadow timothy hay 5 lb,1,16.99,16.99,Sale,,
R51060,01/14/2026 06:25 PM,CHW-DC30,"Dental chews, 30 count",1,28.99,28.99,Sale,,
R51061,01/15/2026 10:41 AM,DOG-SR25,Summit Ridge grain-free dog food 25 lb,1,74.99,74.99,Sale,,
R51062,01/15/2026 11:39 AM,DOG-SR25,Summit Ridge grain-free dog food 25 lb,1,74.99,74.99,Sale,,
R51063,01/15/2026 01:21 PM,CAT-WF12,Whisker Farm indoor cat food 12 lb,1,37.99,37.99,Sale,,
R51064,01/15/2026 03:20 PM,HAY-MT05,Meadow timothy hay 5 lb,1,16.99,16.99,Sale,,
R51065,01/15/2026 04:56 PM,TOY-TR-L,"TuffRope tug toy, large",2,12.99,25.98,Sale,,
R51066,01/15/2026 06:05 PM,CHW-DC30,"Dental chews, 30 count",1,28.99,28.99,Sale,,
R51067,01/16/2026 09:37 AM,DOG-SR25,Summit Ridge grain-free dog food 25 lb,2,74.99,149.98,Sale,,
R51068,01/16/2026 10:07 AM,DOG-SR25,Summit Ridge grain-free dog food 25 lb,1,74.99,74.99,Sale,,
R51069,01/16/2026 10:15 AM,CAT-WF12,Whisker Farm indoor cat food 12 lb,2,37.99,75.98,Sale,,
R51070,01/16/2026 10:42 AM,HAY-MT05,Meadow timothy hay 5 lb,1,16.99,16.99,Sale,,
R51071,01/16/2026 11:10 AM,TOY-TR-L,"TuffRope tug toy, large",3,12.99,38.97,Sale,,
R51072,01/16/2026 11:43 AM,OIL-SO16,Wild salmon oil 16 oz,1,24.99,24.99,Sale,,
R51073,01/17/2026 09:01 AM,DOG-SR25,Summit Ridge grain-free dog food 25 lb,3,74.99,224.97,Sale,,
R51074,01/17/2026 10:14 AM,DOG-SR25,Summit Ridge grain-free dog food 25 lb,1,74.99,74.99,Sale,,
R51075,01/17/2026 10:54 AM,CAT-WF12,Whisker Farm indoor cat food 12 lb,1,37.99,37.99,Sale,,
R51076,01/17/2026 11:09 AM,LIT-CC35,Clumping clay litter 35 lb,2,21.99,43.98,Sale,,
R51077,01/17/2026 11:25 AM,HAY-MT05,Meadow timothy hay 5 lb,1,16.99,16.99,Sale,,
R51078,01/17/2026 12:39 PM,TOY-TR-L,"TuffRope tug toy, large",1,12.99,12.99,Sale,,
R51079,01/17/2026 02:27 PM,OIL-SO16,Wild salmon oil 16 oz,2,24.99,49.98,Sale,,
R51080,01/17/2026 02:34 PM,CHW-DC30,"Dental chews, 30 count",1,28.99,28.99,Sale,,
R51081,01/19/2026 09:24 AM,DOG-SR25,Summit Ridge grain-free dog food 25 lb,1,74.99,74.99,Sale,,
R51082,01/19/2026 10:30 AM,DOG-SR25,Summit Ridge grain-free dog food 25 lb,1,74.99,74.99,Sale,,
R51083,01/19/2026 11:28 AM,CAT-WF12,Whisker Farm indoor cat food 12 lb,1,37.99,37.99,Sale,,
R51084,01/19/2026 03:10 PM,LIT-CC35,Clumping clay litter 35 lb,1,21.99,21.99,Sale,,
R51085,01/19/2026 03:13 PM,HAY-MT05,Meadow timothy hay 5 lb,1,16.99,16.99,Sale,,
R51086,01/19/2026 03:39 PM,CHW-DC30,"Dental chews, 30 count",1,28.99,28.99,Sale,,
R51087,01/20/2026 09:08 AM,DOG-SR25,Summit Ridge grain-free dog food 25 lb,1,74.99,74.99,Sale,,
R51088,01/20/2026 10:04 AM,CAT-WF12,Whisker Farm indoor cat food 12 lb,1,37.99,37.99,Sale,,
R51089,01/20/2026 01:38 PM,LIT-CC35,Clumping clay litter 35 lb,1,21.99,21.99,Sale,,
R51090,01/20/2026 02:34 PM,LIT-CC35,Clumping clay litter 35 lb,3,21.99,65.97,Sale,,
R51091,01/20/2026 02:36 PM,HAY-MT05,Meadow timothy hay 5 lb,1,16.99,16.99,Sale,,
R51092,01/20/2026 05:42 PM,TOY-TR-L,"TuffRope tug toy, large",1,12.99,12.99,Sale,,
R51093,01/20/2026 06:53 PM,CHW-DC30,"Dental chews, 30 count",1,28.99,28.99,Sale,,
R51094,01/21/2026 09:50 AM,DOG-SR25,Summit Ridge grain-free dog food 25 lb,2,74.99,149.98,Sale,,
R51095,01/21/2026 09:56 AM,CAT-WF12,Whisker Farm indoor cat food 12 lb,1,37.99,37.99,Sale,,
R51096,01/21/2026 01:13 PM,CAT-WF12,Whisker Farm indoor cat food 12 lb,1,37.99,37.99,Sale,,
R51097,01/21/2026 02:04 PM,LIT-CC35,Clumping clay litter 35 lb,1,21.99,21.99,Sale,,
R51098,01/21/2026 06:03 PM,TOY-TR-L,"TuffRope tug toy, large",1,12.99,12.99,Sale,,
R51099,01/22/2026 10:05 AM,DOG-SR25,Summit Ridge grain-free dog food 25 lb,1,74.99,74.99,Sale,,
R51100,01/22/2026 11:40 AM,DOG-SR25,Summit Ridge grain-free dog food 25 lb,1,74.99,74.99,Sale,,
R51101,01/22/2026 11:57 AM,CAT-WF12,Whisker Farm indoor cat food 12 lb,1,37.99,37.99,Sale,,
R51102,01/22/2026 12:52 PM,LIT-CC35,Clumping clay litter 35 lb,1,21.99,21.99,Sale,,
R51103,01/22/2026 05:03 PM,LIT-CC35,Clumping clay litter 35 lb,1,21.99,21.99,Sale,,
R51104,01/22/2026 05:33 PM,HAY-MT05,Meadow timothy hay 5 lb,1,16.99,16.99,Sale,,
R51105,01/22/2026 06:37 PM,OIL-SO16,Wild salmon oil 16 oz,1,24.99,24.99,Sale,,
R51106,01/23/2026 11:30 AM,DOG-SR25,Summit Ridge grain-free dog food 25 lb,1,74.99,74.99,Sale,,
R51107,01/23/2026 11:33 AM,CAT-WF12,Whisker Farm indoor cat food 12 lb,1,37.99,37.99,Sale,,
R51108,01/23/2026 01:34 PM,LIT-CC35,Clumping clay litter 35 lb,3,21.99,65.97,Sale,,
R51109,01/23/2026 01:54 PM,HAY-MT05,Meadow timothy hay 5 lb,1,16.99,16.99,Sale,,
R51110,01/23/2026 05:36 PM,TOY-TR-L,"TuffRope tug toy, large",1,12.99,12.99,Sale,,
R51111,01/23/2026 06:46 PM,CHW-DC30,"Dental chews, 30 count",1,28.99,28.99,Sale,,
R51112,01/24/2026 09:02 AM,DOG-SR25,Summit Ridge grain-free dog food 25 lb,1,74.99,74.99,Sale,,
R51113,01/24/2026 09:06 AM,DOG-SR25,Summit Ridge grain-free dog food 25 lb,1,74.99,74.99,Sale,,
R51114,01/24/2026 11:20 AM,CAT-WF12,Whisker Farm indoor cat food 12 lb,2,37.99,75.98,Sale,,
R51115,01/24/2026 11:28 AM,LIT-CC35,Clumping clay litter 35 lb,1,21.99,21.99,Sale,,
R51116,01/24/2026 01:17 PM,HAY-MT05,Meadow timothy hay 5 lb,1,16.99,16.99,Sale,,
R51117,01/24/2026 03:15 PM,TOY-TR-L,"TuffRope tug toy, large",3,12.99,38.97,Sale,,
R51118,01/24/2026 05:11 PM,CHW-DC30,"Dental chews, 30 count",1,28.99,28.99,Sale,,
R51119,01/26/2026 09:35 AM,DOG-SR25,Summit Ridge grain-free dog food 25 lb,1,74.99,74.99,Sale,,
R51120,01/26/2026 11:00 AM,DOG-SR25,Summit Ridge grain-free dog food 25 lb,1,74.99,74.99,Sale,,
R51121,01/26/2026 11:27 AM,CAT-WF12,Whisker Farm indoor cat food 12 lb,1,37.99,37.99,Sale,,
R51122,01/26/2026 12:31 PM,LIT-CC35,Clumping clay litter 35 lb,1,21.99,21.99,Sale,,
R51123,01/26/2026 04:24 PM,LIT-CC35,Clumping clay litter 35 lb,1,21.99,21.99,Sale,,
R51124,01/26/2026 04:47 PM,HAY-MT05,Meadow timothy hay 5 lb,1,16.99,16.99,Sale,,
R51125,01/26/2026 06:27 PM,OIL-SO16,Wild salmon oil 16 oz,1,24.99,24.99,Sale,,
R51126,01/27/2026 10:21 AM,DOG-SR25,Summit Ridge grain-free dog food 25 lb,1,74.99,74.99,Sale,,
R51127,01/27/2026 02:56 PM,DOG-SR25,Summit Ridge grain-free dog food 25 lb,2,74.99,149.98,Sale,,
R51128,01/27/2026 03:28 PM,CAT-WF12,Whisker Farm indoor cat food 12 lb,1,37.99,37.99,Sale,,
R51129,01/27/2026 03:57 PM,LIT-CC35,Clumping clay litter 35 lb,1,21.99,21.99,Sale,,
R51130,01/27/2026 04:27 PM,LIT-CC35,Clumping clay litter 35 lb,3,21.99,65.97,Sale,,
R51131,01/27/2026 06:10 PM,HAY-MT05,Meadow timothy hay 5 lb,2,16.99,33.98,Sale,,
R51132,01/27/2026 06:11 PM,TOY-TR-L,"TuffRope tug toy, large",1,12.99,12.99,Sale,,
R51133,01/28/2026 09:47 AM,DOG-SR25,Summit Ridge grain-free dog food 25 lb,3,74.99,224.97,Sale,,
R51134,01/28/2026 11:56 AM,CAT-WF12,Whisker Farm indoor cat food 12 lb,1,37.99,37.99,Sale,,
R51135,01/28/2026 01:12 PM,LIT-CC35,Clumping clay litter 35 lb,2,21.99,43.98,Sale,,
R51136,01/28/2026 02:09 PM,HAY-MT05,Meadow timothy hay 5 lb,1,16.99,16.99,Sale,,
R51137,01/28/2026 04:59 PM,TOY-TR-L,"TuffRope tug toy, large",1,12.99,12.99,Sale,,
R51138,01/28/2026 06:19 PM,OIL-SO16,Wild salmon oil 16 oz,1,24.99,24.99,Sale,,
R51139,01/28/2026 06:58 PM,CHW-DC30,"Dental chews, 30 count",1,28.99,28.99,Sale,,
R51140,01/29/2026 09:28 AM,DOG-SR25,Summit Ridge grain-free dog food 25 lb,1,74.99,74.99,Sale,,
R51141,01/29/2026 09:32 AM,DOG-SR25,Summit Ridge grain-free dog food 25 lb,2,74.99,149.98,Sale,,
R51142,01/29/2026 12:00 PM,CAT-WF12,Whisker Farm indoor cat food 12 lb,1,37.99,37.99,Sale,,
R51143,01/29/2026 12:17 PM,LIT-CC35,Clumping clay litter 35 lb,1,21.99,21.99,Sale,,
R51144,01/29/2026 04:51 PM,HAY-MT05,Meadow timothy hay 5 lb,1,16.99,16.99,Sale,,
R51145,01/29/2026 06:08 PM,TOY-TR-L,"TuffRope tug toy, large",1,12.99,12.99,Sale,,
R51146,01/30/2026 10:54 AM,DOG-SR25,Summit Ridge grain-free dog food 25 lb,1,74.99,74.99,Sale,,
R51147,01/30/2026 11:09 AM,DOG-SR25,Summit Ridge grain-free dog food 25 lb,1,74.99,74.99,Sale,,
R51148,01/30/2026 02:57 PM,CAT-WF12,Whisker Farm indoor cat food 12 lb,1,37.99,37.99,Sale,,
R51149,01/30/2026 03:04 PM,LIT-CC35,Clumping clay litter 35 lb,1,21.99,21.99,Sale,,
R51150,01/30/2026 03:23 PM,OIL-SO16,Wild salmon oil 16 oz,1,24.99,24.99,Sale,,
R51151,01/31/2026 11:39 AM,DOG-SR25,Summit Ridge grain-free dog food 25 lb,1,74.99,74.99,Sale,,
R51152,01/31/2026 12:59 PM,CAT-WF12,Whisker Farm indoor cat food 12 lb,3,37.99,113.97,Sale,,
R51153,01/31/2026 01:36 PM,LIT-CC35,Clumping clay litter 35 lb,1,21.99,21.99,Sale,,
R51154,01/31/2026 01:50 PM,HAY-MT05,Meadow timothy hay 5 lb,1,16.99,16.99,Sale,,
R51155,01/31/2026 04:23 PM,TOY-TR-L,"TuffRope tug toy, large",2,12.99,25.98,Sale,,
R51156,02/02/2026 10:25 AM,DOG-SR25,Summit Ridge grain-free dog food 25 lb,1,74.99,74.99,Sale,,
R51157,02/02/2026 10:41 AM,DOG-SR25,Summit Ridge grain-free dog food 25 lb,1,74.99,74.99,Sale,,
R51158,02/02/2026 01:16 PM,CAT-WF12,Whisker Farm indoor cat food 12 lb,1,37.99,37.99,Sale,,
R51159,02/02/2026 01:37 PM,LIT-CC35,Clumping clay litter 35 lb,1,21.99,21.99,Sale,,
R51160,02/03/2026 10:45 AM,DOG-SR25,Summit Ridge grain-free dog food 25 lb,2,74.99,149.98,Sale,,
R51161,02/03/2026 11:39 AM,DOG-SR25,Summit Ridge grain-free dog food 25 lb,1,74.99,74.99,Sale,,
R51162,02/03/2026 12:12 PM,CAT-WF12,Whisker Farm indoor cat food 12 lb,1,37.99,37.99,Sale,,
R51163,02/03/2026 02:46 PM,LIT-CC35,Clumping clay litter 35 lb,1,21.99,21.99,Sale,,
R51164,02/03/2026 04:23 PM,OIL-SO16,Wild salmon oil 16 oz,1,24.99,24.99,Sale,,
R51165,02/04/2026 09:10 AM,DOG-SR25,Summit Ridge grain-free dog food 25 lb,1,74.99,74.99,Sale,,
R51166,02/04/2026 09:33 AM,DOG-SR25,Summit Ridge grain-free dog food 25 lb,2,74.99,149.98,Sale,,
R51167,02/04/2026 11:43 AM,CAT-WF12,Whisker Farm indoor cat food 12 lb,1,37.99,37.99,Sale,,
R51168,02/04/2026 12:25 PM,CAT-WF12,Whisker Farm indoor cat food 12 lb,1,37.99,37.99,Sale,,
R51169,02/04/2026 12:30 PM,LIT-CC35,Clumping clay litter 35 lb,1,21.99,21.99,Sale,,
R51170,02/04/2026 01:23 PM,LIT-CC35,Clumping clay litter 35 lb,1,21.99,21.99,Sale,,
R51171,02/04/2026 02:27 PM,HAY-MT05,Meadow timothy hay 5 lb,1,16.99,16.99,Sale,,
R51172,02/04/2026 04:44 PM,CHW-DC30,"Dental chews, 30 count",1,28.99,28.99,Sale,,
R51173,02/05/2026 11:08 AM,DOG-SR25,Summit Ridge grain-free dog food 25 lb,2,74.99,149.98,Sale,,
R51174,02/05/2026 11:23 AM,CAT-WF12,Whisker Farm indoor cat food 12 lb,1,37.99,37.99,Sale,,
R51175,02/05/2026 02:28 PM,LIT-CC35,Clumping clay litter 35 lb,1,21.99,21.99,Sale,,
R51176,02/05/2026 05:42 PM,OIL-SO16,Wild salmon oil 16 oz,1,24.99,24.99,Sale,,
R51177,02/05/2026 06:06 PM,CHW-DC30,"Dental chews, 30 count",1,28.99,28.99,Sale,,
R51178,02/06/2026 09:06 AM,CAT-WF12,Whisker Farm indoor cat food 12 lb,1,37.99,37.99,Sale,,
R51179,02/06/2026 12:49 PM,LIT-CC35,Clumping clay litter 35 lb,1,21.99,21.99,Sale,,
R51180,02/06/2026 05:28 PM,HAY-MT05,Meadow timothy hay 5 lb,3,16.99,50.97,Sale,,
R51181,02/07/2026 01:36 PM,CAT-WF12,Whisker Farm indoor cat food 12 lb,1,37.99,37.99,Sale,,
R51182,02/07/2026 01:54 PM,LIT-CC35,Clumping clay litter 35 lb,1,21.99,21.99,Sale,,
R51183,02/07/2026 03:21 PM,HAY-MT05,Meadow timothy hay 5 lb,1,16.99,16.99,Sale,,
R51184,02/07/2026 04:36 PM,OIL-SO16,Wild salmon oil 16 oz,1,24.99,24.99,Sale,,
R51185,02/07/2026 06:17 PM,CHW-DC30,"Dental chews, 30 count",2,28.99,57.98,Sale,,
R51186,02/09/2026 09:20 AM,CAT-WF12,Whisker Farm indoor cat food 12 lb,2,37.99,75.98,Sale,,
R51187,02/09/2026 01:42 PM,LIT-CC35,Clumping clay litter 35 lb,3,21.99,65.97,Sale,,
R51188,02/09/2026 02:09 PM,LIT-CC35,Clumping clay litter 35 lb,3,21.99,65.97,Sale,,
R51189,02/09/2026 03:32 PM,HAY-MT05,Meadow timothy hay 5 lb,1,16.99,16.99,Sale,,
R51190,02/09/2026 05:29 PM,CHW-DC30,"Dental chews, 30 count",1,28.99,28.99,Sale,,
R51191,02/10/2026 11:05 AM,CAT-WF12,Whisker Farm indoor cat food 12 lb,1,37.99,37.99,Sale,,
R51192,02/10/2026 11:56 AM,LIT-CC35,Clumping clay litter 35 lb,1,21.99,21.99,Sale,,
R51193,02/10/2026 02:47 PM,LIT-CC35,Clumping clay litter 35 lb,1,21.99,21.99,Sale,,
R51194,02/10/2026 04:06 PM,TOY-TR-L,"TuffRope tug toy, large",1,12.99,12.99,Sale,,
R51195,02/10/2026 05:58 PM,OIL-SO16,Wild salmon oil 16 oz,1,24.99,24.99,Sale,,
R51196,02/10/2026 06:10 PM,CHW-DC30,"Dental chews, 30 count",1,28.99,28.99,Sale,,
R51197,02/11/2026 11:14 AM,DOG-SR25,Summit Ridge grain-free dog food 25 lb,1,74.99,74.99,Sale,,
R51198,02/11/2026 02:26 PM,DOG-SR25,Summit Ridge grain-free dog food 25 lb,1,74.99,74.99,Sale,,
R51199,02/11/2026 02:44 PM,CAT-WF12,Whisker Farm indoor cat food 12 lb,3,37.99,113.97,Sale,,
R51200,02/11/2026 04:11 PM,LIT-CC35,Clumping clay litter 35 lb,2,21.99,43.98,Sale,,
R51201,02/11/2026 04:40 PM,OIL-SO16,Wild salmon oil 16 oz,2,24.99,49.98,Sale,,
R51202,02/11/2026 06:50 PM,CHW-DC30,"Dental chews, 30 count",1,28.99,28.99,Sale,,
R51203,02/12/2026 09:22 AM,DOG-SR25,Summit Ridge grain-free dog food 25 lb,2,74.99,149.98,Sale,,
R51204,02/12/2026 10:32 AM,CAT-WF12,Whisker Farm indoor cat food 12 lb,1,37.99,37.99,Sale,,
R51205,02/12/2026 01:46 PM,LIT-CC35,Clumping clay litter 35 lb,1,21.99,21.99,Sale,,
R51206,02/12/2026 02:05 PM,LIT-CC35,Clumping clay litter 35 lb,1,21.99,21.99,Sale,,
R51207,02/12/2026 02:20 PM,OIL-SO16,Wild salmon oil 16 oz,2,24.99,49.98,Sale,,
R51208,02/12/2026 05:47 PM,CHW-DC30,"Dental chews, 30 count",1,28.99,28.99,Sale,,
R51209,02/13/2026 10:45 AM,DOG-SR25,Summit Ridge grain-free dog food 25 lb,1,74.99,74.99,Sale,,
R51210,02/13/2026 01:03 PM,DOG-SR25,Summit Ridge grain-free dog food 25 lb,1,74.99,74.99,Sale,,
R51211,02/13/2026 05:28 PM,CAT-WF12,Whisker Farm indoor cat food 12 lb,3,37.99,113.97,Sale,,
R51212,02/13/2026 05:28 PM,LIT-CC35,Clumping clay litter 35 lb,1,21.99,21.99,Sale,,
R51213,02/13/2026 05:30 PM,HAY-MT05,Meadow timothy hay 5 lb,1,16.99,16.99,Sale,,
R51214,02/14/2026 09:17 AM,DOG-SR25,Summit Ridge grain-free dog food 25 lb,1,74.99,74.99,Sale,,
R51215,02/14/2026 10:46 AM,DOG-SR25,Summit Ridge grain-free dog food 25 lb,1,74.99,74.99,Sale,,
R51216,02/14/2026 12:14 PM,CAT-WF12,Whisker Farm indoor cat food 12 lb,1,37.99,37.99,Sale,,
R51217,02/14/2026 02:06 PM,TOY-TR-L,"TuffRope tug toy, large",1,12.99,12.99,Sale,,
R51218,02/14/2026 06:22 PM,OIL-SO16,Wild salmon oil 16 oz,1,24.99,24.99,Sale,,
R51219,02/16/2026 10:27 AM,DOG-SR25,Summit Ridge grain-free dog food 25 lb,1,74.99,74.99,Sale,,
R51220,02/16/2026 11:48 AM,DOG-SR25,Summit Ridge grain-free dog food 25 lb,1,74.99,74.99,Sale,,
R51221,02/16/2026 12:17 PM,CAT-WF12,Whisker Farm indoor cat food 12 lb,1,37.99,37.99,Sale,,
R51222,02/16/2026 12:19 PM,LIT-CC35,Clumping clay litter 35 lb,1,21.99,21.99,Sale,,
R51223,02/16/2026 12:31 PM,CAT-WF12,Whisker Farm indoor cat food 12 lb,-2,37.99,-75.98,Return,"Wrong formula - unopened, back to shelf",R51186
R51224,02/16/2026 03:09 PM,HAY-MT05,Meadow timothy hay 5 lb,1,16.99,16.99,Sale,,
R51225,02/16/2026 03:59 PM,TOY-TR-L,"TuffRope tug toy, large",1,12.99,12.99,Sale,,
R51226,02/16/2026 05:30 PM,CHW-DC30,"Dental chews, 30 count",1,28.99,28.99,Sale,,
R51227,02/17/2026 11:04 AM,DOG-SR25,Summit Ridge grain-free dog food 25 lb,2,74.99,149.98,Sale,,
R51228,02/17/2026 03:33 PM,DOG-SR25,Summit Ridge grain-free dog food 25 lb,1,74.99,74.99,Sale,,
R51229,02/17/2026 04:01 PM,LIT-CC35,Clumping clay litter 35 lb,1,21.99,21.99,Sale,,
R51230,02/17/2026 04:51 PM,HAY-MT05,Meadow timothy hay 5 lb,1,16.99,16.99,Sale,,
R51231,02/17/2026 05:13 PM,TOY-TR-L,"TuffRope tug toy, large",2,12.99,25.98,Sale,,
R51232,02/17/2026 06:40 PM,OIL-SO16,Wild salmon oil 16 oz,2,24.99,49.98,Sale,,
R51233,02/18/2026 10:54 AM,DOG-SR25,Summit Ridge grain-free dog food 25 lb,1,74.99,74.99,Sale,,
R51234,02/18/2026 12:06 PM,CAT-WF12,Whisker Farm indoor cat food 12 lb,1,37.99,37.99,Sale,,
R51235,02/18/2026 03:48 PM,LIT-CC35,Clumping clay litter 35 lb,2,21.99,43.98,Sale,,
R51236,02/18/2026 03:52 PM,LIT-CC35,Clumping clay litter 35 lb,1,21.99,21.99,Sale,,
R51237,02/18/2026 03:53 PM,HAY-MT05,Meadow timothy hay 5 lb,1,16.99,16.99,Sale,,
R51238,02/18/2026 04:23 PM,CHW-DC30,"Dental chews, 30 count",1,28.99,28.99,Sale,,
R51239,02/19/2026 09:49 AM,DOG-SR25,Summit Ridge grain-free dog food 25 lb,1,74.99,74.99,Sale,,
R51240,02/19/2026 12:52 PM,CAT-WF12,Whisker Farm indoor cat food 12 lb,1,37.99,37.99,Sale,,
R51241,02/19/2026 01:23 PM,CAT-WF12,Whisker Farm indoor cat food 12 lb,1,37.99,37.99,Sale,,
