line_id,date,description,amount,type
BK-63902,08/26/2026,ONLINE PMT Payment 0426 Meridian,554.32,CREDIT
BK-63903,08/26/2026,ACH CREDIT SILVERLINE LOGISTICS INV-2026-0455,"2,089.73",CREDIT
BK-63904,08/29/2026,ACH CREDIT BRIGHTWATER DENTAL G INV#20260433,"4,173.62",CREDIT
BK-63905,08/29/2026,ACH CREDIT FOXGLOVE INTERIORS INV#20260453,"2,012.22",CREDIT
BK-63906,08/30/2026,FEDEX,236.85,DEBIT
BK-63907,08/31/2026,INTEREST PAID,8.81,CREDIT
BK-63908,08/31/2026,MONTHLY SERVICE FEE,25.00,DEBIT
BK-63909,09/01/2026,ULINE SHIPPING SUPPLIES,153.90,DEBIT
BK-63910,09/02/2026,WIRE IN PINNACLE ROOFING,"6,068.04",CREDIT
BK-63911,09/02/2026,CHECK 2043,"2,130.84",DEBIT
BK-63912,09/02/2026,PAYROLL GUSTO,"18,835.94",DEBIT
BK-63913,09/04/2026,CHECK DEP YELLOWTAIL SEAFOOD M 2026-0466,390.15,CREDIT
BK-63914,09/05/2026,DEPOSIT FOXGLOVE INTERIORS inv2026-0441,"9,314.65",CREDIT
BK-63915,09/07/2026,ONLINE PMT Payment 0459 Quarry,"6,803.75",CREDIT
BK-63916,09/09/2026,ONLINE PMT JUNIPER STREET CAFE INVOICE,"6,032.42",CREDIT
BK-63917,09/10/2026,WIRE IN NORTHFIELD AUTO BODY REF INV 2026-0451,"6,680.83",CREDIT
BK-63918,09/10/2026,WIRE IN DORSEY FREIGHT,"4,259.17",CREDIT
