Name,Created at,Financial Status,Total,Currency
#20467,2026-08-07 20:58:46 -0700,paid,232.79,USD
#20468,2026-08-08 10:38:37 -0700,paid,419.50,USD
#20469,2026-08-08 12:46:31 -0700,paid,143.78,USD
#20470,2026-08-08 13:18:51 -0700,pending,146.17,USD
#20471,2026-08-08 17:31:27 -0700,paid,76.66,USD
#20472,2026-08-08 21:29:33 -0700,paid,31.79,USD
#20473,2026-08-08 22:02:49 -0700,paid,43.60,USD
#20474,2026-08-08 22:03:30 -0700,paid,30.75,USD
#20475,2026-08-08 22:11:03 -0700,refunded,77.06,USD
#20476,2026-08-08 23:25:04 -0700,paid,57.85,USD
#20477,2026-08-09 07:14:07 -0700,paid,30.83,USD
#20478,2026-08-09 08:59:14 -0700,paid,32.16,USD
#20479,2026-08-09 12:16:41 -0700,paid,123.45,USD
#20480,2026-08-09 12:45:14 -0700,refunded,31.21,USD
#20481,2026-08-09 16:26:20 -0700,paid,47.11,USD
#20482,2026-08-09 23:39:47 -0700,paid,80.52,USD
#20483,2026-08-10 06:13:05 -0700,paid,31.96,USD
#20484,2026-08-10 10:02:08 -0700,paid,45.42,USD
#20485,2026-08-10 10:45:53 -0700,voided,44.82,USD
#20486,2026-08-10 18:30:11 -0700,paid,47.12,USD
#20487,2026-08-10 20:27:26 -0700,paid,79.53,USD
#20488,2026-08-10 22:55:38 -0700,paid,142.97,USD
#20489,2026-08-10 23:13:53 -0700,paid,180.89,USD
#20490,2026-08-11 06:58:12 -0700,paid,340.28,USD
#20491,2026-08-11 09:20:04 -0700,paid,408.09,USD
#20492,2026-08-11 13:09:16 -0700,paid,421.63,USD
#20493,2026-08-11 16:58:10 -0700,refunded,186.03,USD
#20494,2026-08-11 21:52:39 -0700,paid,76.12,USD
#20495,2026-08-11 22:14:58 -0700,paid,78.06,USD
#20496,2026-08-11 23:07:13 -0700,paid,242.62,USD
#20497,2026-08-12 09:43:08 -0700,paid,190.06,USD
#20498,2026-08-12 10:25:30 -0700,pending,425.66,USD
#20499,2026-08-12 10:57:56 -0700,paid,46.86,USD
#20500,2026-08-12 13:05:24 -0700,paid,45.51,USD
#20501,2026-08-12 14:10:49 -0700,refunded,251.77,USD
#20502,2026-08-12 17:08:13 -0700,paid,76.08,USD
#20503,2026-08-12 22:32:34 -0700,paid,32.21,USD
#20504,2026-08-13 11:22:02 -0700,refunded,331.51,USD
#20505,2026-08-13 12:20:39 -0700,paid,191.29,USD
#20506,2026-08-13 18:57:06 -0700,refunded,33.45,USD
#20507,2026-08-13 20:11:04 -0700,paid,246.51,USD
#20508,2026-08-13 20:30:20 -0700,paid,31.42,USD
#20509,2026-08-14 06:01:42 -0700,pending,247.36,USD
#20510,2026-08-14 08:52:41 -0700,paid,188.98,USD
#20511,2026-08-14 08:56:38 -0700,paid,412.23,USD
#20512,2026-08-14 11:27:25 -0700,paid,113.76,USD
#20513,2026-08-14 12:43:32 -0700,refunded,47.08,USD
#20514,2026-08-14 13:25:05 -0700,paid,328.01,USD
#20515,2026-08-14 15:45:22 -0700,pending,400.27,USD
#20516,2026-08-14 22:34:23 -0700,pending,342.42,USD
#20517,2026-08-15 09:18:13 -0700,paid,45.85,USD
#20518,2026-08-15 11:27:23 -0700,paid,122.09,USD
#20519,2026-08-15 13:21:07 -0700,paid,117.84,USD
#20520,2026-08-15 15:14:36 -0700,paid,122.86,USD
#20521,2026-08-15 15:51:42 -0700,paid,156.36,USD
#20522,2026-08-15 16:30:58 -0700,paid,324.64,USD
#20523,2026-08-15 20:41:37 -0700,paid,56.61,USD
#20524,2026-08-16 06:24:17 -0700,paid,75.50,USD
#20525,2026-08-16 07:40:53 -0700,paid,31.21,USD
#20526,2026-08-16 09:04:10 -0700,refunded,31.71,USD
#20527,2026-08-16 09:19:38 -0700,paid,181.80,USD
#20528,2026-08-16 11:03:06 -0700,voided,113.84,USD
#20529,2026-08-16 14:30:08 -0700,paid,30.51,USD
#20530,2026-08-16 15:17:09 -0700,paid,57.03,USD
#20531,2026-08-16 21:02:40 -0700,paid,58.84,USD
#20532,2026-08-16 23:57:08 -0700,paid,59.20,USD
#20533,2026-08-17 07:18:05 -0700,paid,58.49,USD
#20534,2026-08-17 09:10:17 -0700,paid,82.35,USD
#20535,2026-08-17 11:37:08 -0700,paid,33.15,USD
#20536,2026-08-17 14:20:00 -0700,paid,251.76,USD
#20537,2026-08-17 14:35:39 -0700,paid,399.63,USD
#20538,2026-08-17 14:55:52 -0700,paid,46.61,USD
#20539,2026-08-17 18:01:44 -0700,paid,147.50,USD
#20540,2026-08-17 20:41:19 -0700,paid,75.68,USD
#20541,2026-08-18 12:28:27 -0700,paid,151.52,USD
#20542,2026-08-18 17:47:47 -0700,paid,116.81,USD
#20543,2026-08-18 18:00:22 -0700,paid,59.36,USD
#20544,2026-08-18 21:14:04 -0700,paid,249.24,USD
#20545,2026-08-18 22:56:01 -0700,paid,328.47,USD
#20546,2026-08-19 08:30:32 -0700,paid,154.83,USD
#20547,2026-08-19 09:01:31 -0700,paid,115.09,USD
#20548,2026-08-19 15:09:08 -0700,paid,248.11,USD
#20549,2026-08-19 15:36:03 -0700,paid,403.08,USD
#20550,2026-08-19 16:57:42 -0700,paid,58.71,USD
#20551,2026-08-19 20:28:31 -0700,paid,152.72,USD
#20552,2026-08-19 23:28:11 -0700,paid,58.48,USD
#20553,2026-08-20 07:38:56 -0700,paid,31.10,USD
#20554,2026-08-20 08:58:19 -0700,paid,315.15,USD
#20555,2026-08-20 09:28:16 -0700,paid,144.56,USD
#20556,2026-08-20 16:05:02 -0700,paid,60.05,USD
#20557,2026-08-20 21:27:26 -0700,paid,78.44,USD
#20558,2026-08-20 22:19:13 -0700,paid,145.03,USD
#20559,2026-08-20 23:15:40 -0700,paid,242.99,USD
#20560,2026-08-20 23:22:03 -0700,paid,44.77,USD
#20561,2026-08-20 23:45:02 -0700,paid,190.37,USD
#20562,2026-08-21 07:56:57 -0700,voided,43.14,USD
#20563,2026-08-21 07:58:37 -0700,paid,32.27,USD
#20564,2026-08-21 12:55:03 -0700,refunded,198.16,USD
#20565,2026-08-21 13:09:01 -0700,paid,33.04,USD
#20566,2026-08-21 14:58:26 -0700,paid,339.25,USD
#20567,2026-08-21 17:27:19 -0700,paid,251.42,USD
#20568,2026-08-21 18:39:38 -0700,paid,337.37,USD
#20569,2026-08-21 20:06:19 -0700,pending,145.76,USD
#20570,2026-08-21 22:51:55 -0700,paid,45.07,USD
#20571,2026-08-22 11:06:49 -0700,paid,335.61,USD
#20572,2026-08-22 17:53:33 -0700,paid,75.44,USD
#20573,2026-08-22 20:32:08 -0700,paid,149.08,USD
#20574,2026-08-22 22:16:59 -0700,paid,31.70,USD
#20575,2026-08-23 06:10:34 -0700,paid,195.15,USD
#20576,2026-08-23 09:16:48 -0700,paid,143.27,USD
#20577,2026-08-23 13:27:31 -0700,paid,113.19,USD
#20578,2026-08-23 17:03:07 -0700,paid,182.66,USD
#20579,2026-08-23 17:29:36 -0700,pending,253.22,USD
#20580,2026-08-24 12:32:57 -0700,refunded,249.83,USD
#20581,2026-08-24 15:42:39 -0700,paid,79.49,USD
#20582,2026-08-24 20:07:03 -0700,paid,76.67,USD
#20583,2026-08-24 22:30:53 -0700,paid,180.52,USD
#20584,2026-08-25 06:21:51 -0700,paid,415.28,USD
#20585,2026-08-25 12:18:00 -0700,paid,75.93,USD
#20586,2026-08-25 17:00:51 -0700,paid,392.24,USD
#20587,2026-08-25 17:56:11 -0700,paid,44.66,USD
#20588,2026-08-25 18:41:40 -0700,paid,58.49,USD
#20589,2026-08-25 21:09:21 -0700,paid,182.17,USD
#20590,2026-08-25 22:10:15 -0700,paid,45.35,USD
#20591,2026-08-26 06:14:10 -0700,voided,321.98,USD
#20592,2026-08-26 09:24:24 -0700,paid,32.10,USD
#20593,2026-08-26 10:11:19 -0700,paid,46.44,USD
#20594,2026-08-26 12:05:51 -0700,refunded,412.00,USD
#20595,2026-08-26 19:52:15 -0700,paid,147.62,USD
#20596,2026-08-26 21:39:16 -0700,paid,56.02,USD
#20597,2026-08-26 23:06:18 -0700,refunded,77.35,USD
#20598,2026-08-26 23:38:49 -0700,paid,33.38,USD
#20599,2026-08-27 10:51:44 -0700,voided,81.49,USD
#20600,2026-08-27 18:02:30 -0700,paid,181.17,USD
#20601,2026-08-27 20:29:43 -0700,paid,195.87,USD
#20602,2026-08-27 23:33:45 -0700,paid,81.55,USD
#20603,2026-08-28 06:22:15 -0700,paid,114.80,USD
#20604,2026-08-28 07:28:22 -0700,paid,189.36,USD
#20605,2026-08-28 16:13:56 -0700,refunded,120.49,USD
#20606,2026-08-28 18:20:03 -0700,paid,79.83,USD
#20607,2026-08-29 09:50:18 -0700,voided,318.09,USD
#20608,2026-08-29 12:57:36 -0700,paid,405.33,USD
#20609,2026-08-29 13:44:58 -0700,paid,321.42,USD
#20610,2026-08-29 14:11:27 -0700,paid,331.35,USD
#20611,2026-08-29 17:23:01 -0700,paid,59.17,USD
#20612,2026-08-30 07:10:22 -0700,voided,427.12,USD
#20613,2026-08-30 10:05:36 -0700,paid,117.17,USD
#20614,2026-08-30 12:39:35 -0700,paid,32.04,USD
#20615,2026-08-30 16:14:13 -0700,pending,191.38,USD
#20616,2026-08-30 18:06:05 -0700,paid,197.35,USD
#20617,2026-08-30 22:41:07 -0700,paid,389.50,USD
#20618,2026-08-30 23:25:20 -0700,paid,151.65,USD
#20619,2026-08-31 09:16:48 -0700,voided,56.70,USD
#20620,2026-08-31 11:24:31 -0700,paid,77.11,USD
#20621,2026-08-31 15:48:09 -0700,refunded,30.84,USD
#20622,2026-08-31 20:00:55 -0700,paid,319.23,USD
#20623,2026-08-31 23:08:19 -0700,paid,44.77,USD
#20624,2026-09-01 06:14:01 -0700,paid,31.25,USD
#20625,2026-09-01 14:42:10 -0700,paid,237.27,USD
#20626,2026-09-01 17:18:01 -0700,paid,252.23,USD
#20627,2026-09-02 06:17:02 -0700,paid,55.58,USD
#20628,2026-09-02 09:30:34 -0700,paid,392.00,USD
#20629,2026-09-02 10:30:32 -0700,paid,188.59,USD
#20630,2026-09-02 12:13:55 -0700,paid,32.34,USD
#20631,2026-09-03 06:54:21 -0700,paid,45.48,USD
#20632,2026-09-03 09:22:24 -0700,voided,32.07,USD
#20633,2026-09-03 09:31:16 -0700,paid,188.60,USD
#20634,2026-09-03 18:50:20 -0700,paid,32.75,USD
#20635,2026-09-03 19:54:20 -0700,paid,119.37,USD
#20636,2026-09-03 23:22:10 -0700,paid,45.02,USD
#20637,2026-09-04 16:58:31 -0700,refunded,241.64,USD
#20638,2026-09-04 20:38:13 -0700,paid,113.51,USD
#20639,2026-09-04 23:45:52 -0700,paid,118.06,USD
#20640,2026-09-05 08:09:09 -0700,paid,407.70,USD
#20641,2026-09-05 09:04:39 -0700,paid,185.98,USD
#20642,2026-09-05 11:43:52 -0700,paid,344.89,USD
#20643,2026-09-05 11:48:54 -0700,paid,45.11,USD
#20644,2026-09-05 11:50:47 -0700,paid,242.88,USD
#20645,2026-09-05 12:07:50 -0700,paid,56.48,USD
#20646,2026-09-05 14:08:38 -0700,paid,151.22,USD
#20647,2026-09-05 15:04:19 -0700,paid,390.32,USD
#20648,2026-09-05 21:05:05 -0700,paid,32.96,USD
#20649,2026-09-06 06:29:50 -0700,paid,78.74,USD
#20650,2026-09-06 07:17:31 -0700,paid,44.35,USD
#20651,2026-09-06 09:53:36 -0700,paid,143.02,USD
#20652,2026-09-06 10:09:31 -0700,paid,407.58,USD
#20653,2026-09-06 21:15:31 -0700,paid,60.13,USD
#20654,2026-09-06 21:31:07 -0700,paid,318.48,USD
#20655,2026-09-07 10:52:35 -0700,paid,112.42,USD
#20656,2026-09-07 11:04:56 -0700,paid,112.30,USD
#20657,2026-09-07 11:53:08 -0700,paid,192.77,USD
#20658,2026-09-08 08:17:56 -0700,paid,76.36,USD
#20659,2026-09-08 10:04:00 -0700,paid,326.88,USD
#20660,2026-09-08 10:13:48 -0700,paid,152.04,USD
#20661,2026-09-08 10:22:37 -0700,paid,56.62,USD
#20662,2026-09-08 10:27:44 -0700,paid,142.15,USD
#20663,2026-09-08 13:13:45 -0700,paid,409.40,USD
#20664,2026-09-08 19:45:01 -0700,paid,187.93,USD
#20665,2026-09-08 22:07:03 -0700,paid,154.25,USD
#20666,2026-09-09 07:08:17 -0700,pending,76.48,USD
#20667,2026-09-09 08:34:38 -0700,paid,153.24,USD
#20668,2026-09-09 09:26:07 -0700,paid,251.80,USD
#20669,2026-09-09 11:32:47 -0700,refunded,77.63,USD
#20670,2026-09-09 15:18:26 -0700,voided,75.68,USD
#20671,2026-09-09 16:51:41 -0700,refunded,76.16,USD
#20672,2026-09-09 18:00:44 -0700,paid,56.74,USD
#20673,2026-09-09 19:12:29 -0700,paid,45.20,USD
#20674,2026-09-10 08:22:50 -0700,paid,252.57,USD
#20675,2026-09-10 12:46:27 -0700,paid,190.58,USD
#20676,2026-09-10 14:33:25 -0700,paid,122.60,USD
#20677,2026-09-11 11:45:39 -0700,paid,46.03,USD
#20678,2026-09-11 14:00:33 -0700,paid,147.91,USD
#20679,2026-09-11 14:07:52 -0700,paid,184.97,USD
#20680,2026-09-11 14:59:50 -0700,paid,117.15,USD
#20681,2026-09-11 16:59:48 -0700,paid,179.73,USD
#20682,2026-09-11 17:06:39 -0700,paid,243.26,USD
#20683,2026-09-11 19:30:02 -0700,paid,188.73,USD
#20684,2026-09-11 21:00:15 -0700,paid,32.22,USD
#20685,2026-09-11 22:04:01 -0700,paid,181.31,USD
#20686,2026-09-12 10:27:09 -0700,paid,33.49,USD
#20687,2026-09-12 11:51:24 -0700,paid,76.51,USD
#20688,2026-09-12 18:00:26 -0700,paid,113.73,USD
#20689,2026-09-12 22:11:56 -0700,paid,250.59,USD
#20690,2026-09-12 23:00:44 -0700,paid,317.79,USD
#20691,2026-09-13 10:20:26 -0700,paid,143.18,USD
#20692,2026-09-13 16:29:32 -0700,paid,30.73,USD
#20693,2026-09-13 16:45:31 -0700,paid,120.60,USD
#20694,2026-09-13 21:17:42 -0700,pending,334.39,USD
#20695,2026-09-14 06:32:38 -0700,paid,192.35,USD
#20696,2026-09-14 08:21:16 -0700,paid,112.13,USD
#20697,2026-09-14 12:02:20 -0700,paid,30.57,USD
#20698,2026-09-14 14:28:52 -0700,paid,32.49,USD
#20699,2026-09-14 15:10:29 -0700,paid,31.29,USD
#20700,2026-09-14 21:12:10 -0700,paid,155.90,USD
#20701,2026-09-14 23:55:03 -0700,paid,44.07,USD
#20702,2026-09-15 09:13:01 -0700,paid,32.74,USD
#20703,2026-09-15 19:17:13 -0700,paid,56.19,USD
#20704,2026-09-15 20:54:03 -0700,paid,338.04,USD
#20705,2026-09-15 23:18:47 -0700,paid,57.13,USD
