txn_id,date,time,description,amount,card_last4
TXN-GKVSB1,2026-08-05,16:05,RIVERA & CO CPA,733.40,7752
TXN-6CAU4T,2026-08-05,18:31,GOOGLE *ADS 5124000348,922.74,6104
TXN-35ZM05,2026-08-05,22:08,USPS PO 1760452296,26.34,6104
TXN-YP78L1,2026-08-06,10:58,BILL.COM,62.75,7752
TXN-2L4CVF,2026-08-06,16:07,STAMPS.COM,31.99,6104
TXN-R9BY48,2026-08-06,19:39,HOTELTONIGHT,192.90,6104
TXN-G8RCLJ,2026-08-07,10:56,CHIPOTLE 7207,44.51,4417
TXN-GLGGZV,2026-08-07,12:10,SHIPSTATION,40.41,7752
TXN-G2VR7R,2026-08-07,12:32,STAPLES 65030,97.18,7752
TXN-VXGWDM,2026-08-07,13:13,ZOOM.US 888-799-9666,46.86,6104
TXN-W2L1LR,2026-08-07,17:14,SEMRUSH,133.28,4417
TXN-6LD9RT,2026-08-08,04:55,NOTION LABS INC,95.29,6104
TXN-T6JCJU,2026-08-08,06:09,DELTA AIR 0062173008691,500.55,7752
TXN-ECUD3Q,2026-08-08,08:48,SQ *BLUE BOTTLE COFFEE,8.68,6104
TXN-H223AN,2026-08-09,15:59,GITHUB INC,41.05,6104
TXN-0YLP18,2026-08-10,06:15,AMTRAK .COM,55.66,7752
TXN-2EFJMA,2026-08-10,10:49,FEDEX 97034148926,57.97,4417
TXN-9U92BY,2026-08-10,11:03,ULINE *SHIP SUPPLIES,211.48,4417
TXN-QMA9AB,2026-08-11,08:01,DOORDASH*CHIPOTLE,38.06,4417
TXN-6TNUMQ,2026-08-11,14:40,GUSTO PAYROLL FEE,224.79,6104
TXN-3PN2YK,2026-08-11,18:00,BLUEBOTTLECOFFEE.COM OAKLAND CA,33.85,6104
TXN-0GJ7VU,2026-08-11,18:03,PURCHASE 0811 TERM 8714 SAN JOSE CA,95.13,6104
TXN-4TR2BF,2026-08-11,20:13,SENTRY.IO,75.52,7752
TXN-VGCQ4N,2026-08-12,07:26,ROCKET LAWYER,54.90,6104
TXN-0J084T,2026-08-12,07:57,ADOBE *CREATIVE CLOUD,82.46,6104
TXN-N55BGC,2026-08-12,18:04,UPS*1ZBZ4KRMKS66WWMM7W,20.77,7752
TXN-S3KQ3A,2026-08-13,07:19,UPWORK -1113306,921.45,4417
TXN-2U8M0W,2026-08-13,13:35,INSTACART*KITCHEN,64.96,7752
TXN-BEK5YJ,2026-08-13,15:29,GOOGLE *GSUITE_zlx5dg,73.08,4417
TXN-MUEGNA,2026-08-13,16:22,PHILZ COFFEE,15.99,4417
TXN-XVU755,2026-08-13,16:53,TWILIO INC,28.68,4417
TXN-NKBMSQ,2026-08-13,19:49,PANERA BREAD #4412,57.26,7752
TXN-S4UFUY,2026-08-14,07:04,BART EMBR,15.23,6104
TXN-N4S3UN,2026-08-14,11:06,NORTHWEST REGISTERED AGENT,104.39,4417
TXN-RHGTNL,2026-08-14,17:42,FACEBK *WZC975ZMP,743.51,7752
TXN-Q3D2LF,2026-08-14,20:05,STARBUCKS STORE 69845,20.32,7752
TXN-X1FFHB,2026-08-14,21:45,CLIPPER SYSTEMS AUTOLOAD,73.51,6104
TXN-P8Q0A0,2026-08-14,22:18,HERTZ RENT-A-CAR,258.16,4417
TXN-1SF4HB,2026-08-15,07:33,PAYPAL *JKOWALSKI 4029357733,453.08,6104
TXN-GC4THB,2026-08-15,12:05,CB2 STORE 0231,339.68,4417
TXN-65LLVL,2026-08-15,18:50,1PASSWORD,36.80,4417
TXN-DXDF8E,2026-08-15,22:31,SOUTHWEST 5262302258419,345.86,7752
TXN-8CX6WM,2026-08-16,05:36,BLUE BOTTLE COFFEE SUBSCRIPTION,59.01,7752
TXN-EF4ZKL,2026-08-16,07:07,HERTZ RENT-A-CAR,303.66,6104
TXN-G1Z2CP,2026-08-16,12:47,DROPBOX*H3FZHCBN,20.88,7752
TXN-NSV3ZT,2026-08-16,19:27,SLACK T0KQCEBHN,94.78,4417
TXN-F69SDU,2026-08-17,14:27,ATLASSIAN,63.86,4417
TXN-QN8X61,2026-08-17,14:34,HYATT REGENCY DENVER,326.25,6104
TXN-FNEASV,2026-08-17,16:42,GOOGLE *ADS 7173864014,501.63,6104
TXN-9MW3XA,2026-08-18,07:09,UBER *TRIP JUJG,28.84,4417
TXN-2HV8PL,2026-08-18,07:29,UBER *TRIP KVGE,35.57,6104
TXN-WNF2K4,2026-08-18,20:06,VERCEL INC,57.80,6104
TXN-4K7QD2,2026-08-19,07:36,UBER *TRIP S93V,37.23,6104
TXN-0EL43N,2026-08-19,10:20,SQ *SIGHTGLASS COFFEE,10.23,7752
TXN-QH7NEJ,2026-08-19,11:01,HILTON GARDEN INN AUSTIN,297.93,4417
TXN-VZAM8W,2026-08-19,11:15,DHL EXPRESS,54.36,6104
TXN-UNQTXQ,2026-08-19,15:09,LYFT *RIDE MON 3PM,25.09,4417
TXN-AMST9U,2026-08-19,15:52,UBER *TRIP F3TR,40.88,7752
TXN-R0LVXW,2026-08-19,18:07,AMZN Mktp US*PZU8FMGTH,102.84,7752
TXN-THGZLM,2026-08-19,20:56,CALTRAIN MOBILE,22.00,6104
TXN-0HJE9J,2026-08-20,10:21,UBER *TRIP RUMN,39.93,4417
TXN-Q12X5N,2026-08-20,13:57,AMZN Mktp US*4FANXLRQ6,105.74,7752
TXN-ARMHXR,2026-08-20,16:32,AMZN Mktp US*SL69AC9WV,16.61,6104
TXN-J0YT37,2026-08-20,19:22,MARRIOTT SF MARQUIS,504.86,6104
TXN-0VXU3S,2026-08-20,22:46,OPENAI *CHATGPT SUBSCR,24.19,7752
TXN-XE8HNL,2026-08-21,17:26,HUBSPOT INC,179.75,6104
TXN-GJDZZM,2026-08-21,21:56,COSTCO WHSE #0891,192.13,7752
TXN-0SGV27,2026-08-21,21:57,ZUNI CAFE,81.83,6104
TXN-QGD7MF,2026-08-22,18:10,IKEA EMERYVILLE,333.20,4417
TXN-ZNXVK0,2026-08-22,19:33,DOORDASH*SWEETGREEN,67.02,4417
TXN-KY3A88,2026-08-23,06:25,USPS PO 5159004229,21.84,4417
TXN-VN8HL1,2026-08-23,06:30,LINKEDIN *ADS,178.26,7752
TXN-6V92GM,2026-08-23,08:35,AMZN Mktp US*JR8YUYJV2,30.61,7752
TXN-2E5BP3,2026-08-23,12:14,UBER *EATS PENDING,77.50,6104
TXN-QPV2SE,2026-08-23,14:56,IMPARK 76104 SF,33.82,7752
TXN-9ZL8DB,2026-08-23,16:28,LYFT *RIDE FRI 3PM,21.36,7752
TXN-53RG1Z,2026-08-24,10:18,AMZN Mktp US*K63M45MR7,113.37,7752
TXN-9Q1STM,2026-08-24,14:07,UBER *TRIP 37JV,24.04,7752
TXN-QB911L,2026-08-24,19:17,CALTRAIN MOBILE,19.05,7752
TXN-SQA0Y8,2026-08-24,20:09,SQ *THE MILL,10.30,7752
TXN-9NPJJL,2026-08-24,20:53,THE HOME DEPOT #4421,131.91,4417
TXN-YVGHE1,2026-08-24,21:20,UNITED 0164131456208,513.41,7752
TXN-AFM1WR,2026-08-25,08:47,SQ *BOBA GUYS 407,26.91,6104
TXN-65MN6W,2026-08-25,17:28,GOOGLE *CLOUD 58257173,95.18,6104
TXN-CT90Y9,2026-08-25,19:59,FASTRAK CSC,36.48,4417
TXN-2BK5ZD,2026-08-26,12:34,SP HLDNGS CO 8583 REF 98947,140.16,7752
TXN-5TQ1JE,2026-08-27,22:34,UBER *TRIP SDAF,36.15,4417
TXN-NA9M03,2026-08-28,08:10,OFFICE DEPOT #3193,46.12,7752
TXN-T8DUT9,2026-08-28,10:28,TST* NOPA,71.81,7752
TXN-F1AA5T,2026-08-28,16:16,AMZN Mktp US*2SKA7FXCT,44.13,4417
TXN-EREVCM,2026-08-28,17:58,FIGMA MONTHLY RENEWAL,64.32,6104
TXN-K1N39N,2026-08-28,19:37,SQ *TARTINE BAKERY,16.71,6104
TXN-5K1X0G,2026-08-28,22:25,MAILCHIMP,43.62,7752
TXN-7RZ5NC,2026-08-28,23:14,UBER *TRIP Y5WP,43.06,4417
