Sales by territory (v2 export)
Range 05/27/2026 - 06/30/2026
"Document","Posting Date","Sales Territory","Customer Name","Net Amount"
"SO-40517","14-Jun-2026","Pacific","Zephyr Bike Works","7,890.39 USD"
"SO-40424","14-Jun-2026","Gulf","Copperfield Law","2,735.18 USD"
"SO-40465","06/14/2026","Great Lakes","Lakeside Veterinary","8,960.68"
"SO-40415","14-Jun-2026","Gulf","Saltmarsh Kayaks","5,528.12 USD"
"CM-7104","2026-06-14","Mountain","Riverbend Physio","(4,529.31)"
"SO-40386","2026-06-15","Atlantic","Harbor Light Marine","$5,355.07"
"SO-40398","2026-06-15","Atlantic","Acme Industrial","$1,643.41"
"SO-40488","2026-06-15","Mountain","Glassworks Optical","$8,240.13"
"SO-40501","06/15/2026","Pacific","Ellington Bakeries","8,669.67"
"SO-40468","06/15/2026","Mountain","Vantage Point Media","8,552.28"
"SO-40489","06/15/2026","Mountain","Northfield Auto Body","6,531.60"
"SO-40474","06/16/2026","Mountain","Kingfisher Charters","3,617.84"
"SO-40409","16-Jun-2026","Gulf","Mossbank Accounting","2,910.91 USD"
"SO-40483","06/16/2026","Mountain","Quill & Ink Print Shop","6,362.76"
"CM-7111","06/17/2026","Mountain","Ivy Lane Florist","(8,773.61)"
"SO-40473","2026-06-17","Mountain","Meridian Title","$2,179.80"
"SO-40384","06/17/2026","Atlantic","Meridian Title","6,538.72"
"SO-40392","2026-06-17","Atlantic","Driftwood Studio","$5,237.92"
"SO-40481","17-Jun-2026","Mountain","Ivy Lane Florist","8,773.61 USD"
"SO-40416","2026-06-17","Gulf","Kingfisher Charters","$3,843.78"
"SO-40451","17-Jun-2026","Great Lakes","Driftwood Studio","7,614.75 USD"
"SO-40457","18-Jun-2026","Great Lakes","Thistle & Thread Alterations","2,653.74 USD"
"SO-40439","18-Jun-2026","Great Lakes","Hollowell Electric","474.74 USD"
"SO-40400","18-Jun-2026","Atlantic","Riverbend Physio","2,081.89 USD"
"SO-40441","06/18/2026","Great Lakes","Redwood Property Mgmt","904.90"
"SO-40471","06/18/2026","Mountain","Cedar & Pine Landscaping","401.50"
"SO-40524","2026-06-19","Pacific","Lakeside Veterinary","$4,809.85"
"SO-40482","2026-06-19","Mountain","Umber Ceramics","$5,207.25"
"SO-40405","06/19/2026","Atlantic","Quill & Ink Print Shop","1,467.08"
"SO-40464","2026-06-19","Great Lakes","Wren & Sparrow Bookshop","$6,212.84"
"SO-40444","06/19/2026","Great Lakes","Larkspur Yoga","447.71"
"CM-7105","06/20/2026","Pacific","Juniper Street Cafe","(6,714.37)"
"SO-40455","2026-06-20","Great Lakes","Foxglove Interiors","$985.24"
"SO-40504","06/20/2026","Pacific","Juniper Street Cafe","6,714.37"
"SO-40479","2026-06-20","Mountain","Everline Insurance","$7,666.56"
"SO-40421","20-Jun-2026","Gulf","Oakhurst Pediatrics","2,696.82 USD"
"CM-7106","21-Jun-2026","Pacific","Wren & Sparrow Bookshop","(6,443.99)"
"SO-40475","21-Jun-2026","Mountain","Ellington Bakeries","2,053.74 USD"
"CM-7109","21-Jun-2026","Atlantic","Mossbank Accounting","(1,005.72)"
"SO-40385","21-Jun-2026","Atlantic","Mossbank Accounting","1,005.72 USD"
"SO-40498","06/21/2026","Pacific","Wren & Sparrow Bookshop","6,443.99"
"SO-40422","2026-06-22","Gulf","Umber Ceramics","$8,501.76"
"SO-40432","06/22/2026","Gulf","Pemberton HVAC","9,035.46"
"SO-40496","22-Jun-2026","Mountain","Thistle & Thread Alterations","908.48 USD"
"SO-40510","06/22/2026","Pacific","Redwood Property Mgmt","4,134.26"
"SO-40476","2026-06-22","Mountain","Riverbend Physio","$2,957.03"
"SO-40417","06/23/2026","Gulf","Northfield Auto Body","7,595.23"
"SO-40393","06/23/2026","Atlantic","Blue Heron Consulting","7,498.38"
"SO-40490","23-Jun-2026","Mountain","Saltmarsh Kayaks","1,606.14 USD"
"SO-40463","24-Jun-2026","Great Lakes","Kestrel Analytics","8,195.41 USD"
"SO-40396","06/24/2026","Atlantic","Yellowtail Seafood","3,304.70"
"SO-40462","06/24/2026","Great Lakes","Cedar & Pine Landscaping","574.94"
"SO-40427","24-Jun-2026","Gulf","Mossbank Accounting","7,622.43 USD"
"SO-40440","2026-06-24","Great Lakes","Uptown Fitness","$7,381.56"
"SO-40404","2026-06-24","Atlantic","Copperfield Law","$3,717.75"
"SO-40505","24-Jun-2026","Pacific","Yellowtail Seafood","332.99 USD"
"SO-40408","06/24/2026","Atlantic","Lakeside Veterinary","2,318.88"
"SO-40412","25-Jun-2026","Gulf","Fernbrook Montessori","2,583.48 USD"
"SO-40511","25-Jun-2026","Pacific","Foxglove Interiors","5,991.69 USD"
"SO-40486","06/25/2026","Mountain","Copperfield Law","5,713.55"
"SO-40426","06/25/2026","Gulf","Cedar & Pine Landscaping","4,657.49"
"SO-40420","06/25/2026","Gulf","Orchard Hill Dental","3,677.08"
"SO-40454","25-Jun-2026","Great Lakes","Copperfield Law","5,207.44 USD"
"SO-40499","25-Jun-2026","Pacific","Kingfisher Charters","6,978.58 USD"
"SO-40459","06/26/2026","Great Lakes","Northfield Auto Body","7,619.51"
"SO-40443","2026-06-26","Great Lakes","Brightwater Dental","$5,431.76"
"SO-40448","26-Jun-2026","Great Lakes","Mossbank Accounting","350.25 USD"
"SO-40411","06/26/2026","Gulf","Riverbend Physio","5,582.24"
"SO-40437","2026-06-26","Gulf","Kingfisher Charters","$7,797.54"
"SO-40508","26-Jun-2026","Pacific","Kingfisher Charters","4,668.49 USD"
"SO-40442","26-Jun-2026","Great Lakes","Yellowtail Seafood","4,006.36 USD"
"SO-40425","2026-06-27","Gulf","Ironwood Fabrication","$1,977.47"
"SO-40413","2026-06-27","Gulf","Uptown Fitness","$1,739.93"
"SO-40434","2026-06-27","Gulf","Riverbend Physio","$1,889.81"
"SO-40391","27-Jun-2026","Atlantic","Uptown Fitness","7,162.92 USD"
"SO-40452","2026-06-28","Great Lakes","Quarry Road Nursery","$5,726.48"
"SO-40484","28-Jun-2026","Mountain","Fernbrook Montessori","5,681.06 USD"
"SO-40429","06/28/2026","Gulf","Everline Insurance","7,723.82"
"SO-40401","2026-06-28","Atlantic","Pinnacle Roofing","$5,449.20"
"SO-40389","2026-06-28","Atlantic","Tamarack Brewing","$4,461.89"
"SO-40423","06/28/2026","Gulf","Driftwood Studio","8,913.64"
"SO-40516","06/29/2026","Pacific","Ellington Bakeries","2,258.02"
"SO-40414","06/30/2026","Gulf","Saltmarsh Kayaks","7,618.29"
"SO-40456","06/30/2026","Great Lakes","Redwood Property Mgmt","3,994.53"
"SO-40380","2026-06-30","Atlantic","Kestrel Analytics","$6,200.94"
"SO-40492","06/30/2026","Mountain","Acme Industrial","2,591.54"
"SO-40435","06/30/2026","Gulf","Silverline Logistics","4,486.11"
"SO-40418","30-Jun-2026","Gulf","Larkspur Yoga","1,509.52 USD"
"SO-40513","06/30/2026","Pacific","Quarry Road Nursery","4,198.55"
"TOTAL","","","","$706,643.82"
