Sales by territory
Range 03/27/2026 - 04/30/2026
Doc No,Doc Date,Territory,Customer,Amount
SO-40176,2026-04-10,Gulf,Northfield Auto Body,"$5,009.46"
SO-40145,10-Apr-2026,Atlantic,Juniper Street Cafe,"5,135.97 USD"
SO-40199,10-Apr-2026,Great Lakes,Glassworks Optical,"5,177.53 USD"
SO-40161,2026-04-10,Atlantic,Wren & Sparrow Bookshop,"$1,832.38"
SO-40190,10-Apr-2026,Great Lakes,Copperfield Law,"2,455.58 USD"
SO-40222,04/11/2026,Mountain,Cedar & Pine Landscaping,"1,444.44"
SO-40156,04/11/2026,Atlantic,Valley Forge Storage,"5,394.17"
CM-7107,2026-04-11,Gulf,Redwood Property Mgmt,(928.76)
SO-40240,04/11/2026,Pacific,Uptown Fitness,"5,409.22"
SO-40177,04/11/2026,Gulf,Redwood Property Mgmt,928.76
SO-40238,11-Apr-2026,Mountain,Westbrook Plumbing,"2,741.30 USD"
SO-40230,2026-04-11,Mountain,Kingfisher Charters,"$7,278.56"
SO-40246,04/12/2026,Pacific,Thistle & Thread Alterations,"3,606.80"
SO-40162,04/12/2026,Gulf,Larkspur Yoga,351.25
SO-40169,12-Apr-2026,Gulf,Quarry Road Nursery,"7,408.88 USD"
SO-40192,04/13/2026,Great Lakes,Uptown Fitness,"4,692.17"
SO-40149,2026-04-13,Atlantic,Northfield Auto Body,"$2,842.34"
SO-40142,13-Apr-2026,Atlantic,Nightjar Coffee Roasters,355.60 USD
SO-40203,2026-04-13,Great Lakes,Pemberton HVAC,"$2,870.47"
SO-40235,13-Apr-2026,Mountain,Larkspur Yoga,"3,199.08 USD"
CM-7103,13-Apr-2026,Great Lakes,Uptown Fitness,"(4,692.17)"
SO-40261,04/13/2026,Pacific,Riverbend Physio,"8,158.35"
SO-40163,14-Apr-2026,Gulf,Copperfield Law,"3,303.77 USD"
SO-40212,2026-04-15,Great Lakes,Blue Heron Consulting,"$3,248.67"
SO-40137,2026-04-15,Atlantic,Pinnacle Roofing,"$8,944.32"
SO-40139,15-Apr-2026,Atlantic,Ironwood Fabrication,"5,846.93 USD"
SO-40200,2026-04-15,Great Lakes,Zephyr Bike Works,"$2,609.93"
SO-40143,2026-04-15,Atlantic,Pemberton HVAC,$506.79
SO-40232,15-Apr-2026,Mountain,Larkspur Yoga,"9,093.71 USD"
CM-7112,15-Apr-2026,Atlantic,Ironwood Fabrication,"(5,846.93)"
SO-40207,04/15/2026,Great Lakes,Thistle & Thread Alterations,"7,779.03"
SO-40165,04/16/2026,Gulf,Pinnacle Roofing,"6,006.36"
SO-40257,2026-04-16,Pacific,Pinnacle Roofing,"$4,097.94"
SO-40195,04/17/2026,Great Lakes,Riverbend Physio,"4,247.51"
SO-40239,2026-04-17,Pacific,Harbor Light Marine,"$1,640.96"
SO-40244,17-Apr-2026,Pacific,Ivy Lane Florist,"5,431.36 USD"
SO-40251,2026-04-18,Pacific,Valley Forge Storage,"$2,679.68"
CM-7101,2026-04-18,Atlantic,Silverline Logistics,"(8,888.71)"
SO-40260,2026-04-18,Pacific,Blue Heron Consulting,"$4,886.84"
SO-40179,2026-04-18,Gulf,Dorsey Freight,"$1,816.76"
SO-40258,04/18/2026,Pacific,Meridian Title,"7,407.67"
SO-40151,18-Apr-2026,Atlantic,Silverline Logistics,"8,888.71 USD"
SO-40188,2026-04-19,Gulf,Juniper Street Cafe,"$5,703.59"
SO-40214,19-Apr-2026,Great Lakes,Pemberton HVAC,"1,876.46 USD"
SO-40146,2026-04-19,Atlantic,Quarry Road Nursery,"$7,711.31"
SO-40255,04/19/2026,Pacific,Yellowtail Seafood,"8,312.12"
SO-40231,04/19/2026,Mountain,Hollowell Electric,"1,249.63"
SO-40262,19-Apr-2026,Pacific,Everline Insurance,676.26 USD
SO-40247,20-Apr-2026,Pacific,Vantage Point Media,"5,045.30 USD"
SO-40144,04/20/2026,Atlantic,Pinnacle Roofing,"7,737.75"
SO-40185,2026-04-20,Gulf,Copperfield Law,"$3,130.78"
SO-40160,20-Apr-2026,Atlantic,Larkspur Yoga,"3,951.61 USD"
CM-7102,04/21/2026,Gulf,Kestrel Analytics,"(8,054.95)"
SO-40152,2026-04-21,Atlantic,Ironwood Fabrication,$987.63
SO-40187,21-Apr-2026,Gulf,Kestrel Analytics,"8,054.95 USD"
SO-40166,21-Apr-2026,Gulf,Brightwater Dental,"3,934.15 USD"
SO-40167,2026-04-21,Gulf,Copperfield Law,"$7,268.37"
SO-40170,2026-04-22,Gulf,Mossbank Accounting,"$3,016.58"
SO-40223,22-Apr-2026,Mountain,Ironwood Fabrication,"8,271.27 USD"
SO-40191,2026-04-23,Great Lakes,Valley Forge Storage,"$3,032.80"
SO-40155,2026-04-23,Atlantic,Fernbrook Montessori,"$3,429.89"
SO-40180,04/23/2026,Gulf,Nightjar Coffee Roasters,"2,715.47"
SO-40216,04/23/2026,Mountain,Mossbank Accounting,"4,086.18"
SO-40217,23-Apr-2026,Mountain,Redwood Property Mgmt,"6,920.35 USD"
SO-40250,24-Apr-2026,Pacific,Riverbend Physio,764.93 USD
SO-40227,2026-04-24,Mountain,Ironwood Fabrication,"$2,631.46"
SO-40164,2026-04-24,Gulf,Wren & Sparrow Bookshop,"$8,293.43"
SO-40242,2026-04-24,Pacific,Blue Heron Consulting,"$7,562.79"
SO-40154,25-Apr-2026,Atlantic,Larkspur Yoga,"3,194.35 USD"
SO-40186,04/25/2026,Gulf,Pinnacle Roofing,"7,294.46"
SO-40198,04/25/2026,Great Lakes,Kestrel Analytics,"8,964.13"
SO-40168,04/25/2026,Gulf,Ellington Bakeries,"7,560.09"
SO-40218,2026-04-25,Mountain,Ellington Bakeries,"$2,554.04"
SO-40256,26-Apr-2026,Pacific,Silverline Logistics,"2,273.02 USD"
SO-40202,26-Apr-2026,Great Lakes,Acme Industrial,"7,935.38 USD"
SO-40182,2026-04-26,Gulf,Quarry Road Nursery,"$8,016.45"
SO-40237,04/26/2026,Mountain,Thistle & Thread Alterations,"5,059.09"
SO-40153,04/26/2026,Atlantic,Tamarack Brewing,"4,202.06"
SO-40245,2026-04-26,Pacific,Pinnacle Roofing,"$6,561.90"
SO-40150,04/26/2026,Atlantic,Brightwater Dental,"1,368.48"
SO-40138,04/26/2026,Atlantic,Everline Insurance,"3,847.49"
SO-40259,27-Apr-2026,Pacific,Quarry Road Nursery,"3,936.92 USD"
SO-40221,2026-04-27,Mountain,Kingfisher Charters,"$4,486.20"
SO-40254,2026-04-27,Pacific,Lakeside Veterinary,"$4,861.91"
SO-40233,2026-04-27,Mountain,Pemberton HVAC,"$6,547.42"
SO-40159,04/27/2026,Atlantic,Kingfisher Charters,"2,086.05"
SO-40220,28-Apr-2026,Mountain,Cedar & Pine Landscaping,788.96 USD
SO-40147,04/28/2026,Atlantic,Kestrel Analytics,"5,162.95"
SO-40148,28-Apr-2026,Atlantic,Harbor Light Marine,"7,149.32 USD"
SO-40184,28-Apr-2026,Gulf,Umber Ceramics,591.15 USD
SO-40234,04/29/2026,Mountain,Silverline Logistics,"6,919.43"
SO-40194,2026-04-29,Great Lakes,Northfield Auto Body,"$6,387.70"
SO-40224,2026-04-29,Mountain,Fernbrook Montessori,$538.62
SO-40215,2026-04-29,Mountain,Westbrook Plumbing,"$5,176.70"
SO-40243,04/30/2026,Pacific,Pemberton HVAC,"7,436.14"
SO-40141,04/30/2026,Atlantic,Harbor Light Marine,"6,185.33"
SO-40249,04/30/2026,Pacific,Harbor Light Marine,"1,959.25"
SO-40178,30-Apr-2026,Gulf,Larkspur Yoga,"6,170.01 USD"
SO-40157,30-Apr-2026,Atlantic,Blue Heron Consulting,"3,715.58 USD"
TOTAL,,,,"$674,393.63"
