Sales by territory
Range 02/24/2026 - 03/31/2026
Doc No,Doc Date,Territory,Customer,Amount
SO-40103,12-Mar-2026,Mountain,Ivy Lane Florist,"4,483.25 USD"
SO-40089,2026-03-13,Mountain,Uptown Fitness,"$3,859.17"
SO-40044,2026-03-13,Gulf,Vantage Point Media,"$4,057.76"
SO-40018,03/13/2026,Atlantic,Driftwood Studio,"6,222.92"
SO-40008,2026-03-13,Atlantic,Valley Forge Storage,"$2,243.40"
SO-40004,14-Mar-2026,Atlantic,Quill & Ink Print Shop,"7,089.05 USD"
SO-40012,03/14/2026,Atlantic,Nightjar Coffee Roasters,"8,509.03"
SO-40113,2026-03-14,Pacific,Nightjar Coffee Roasters,"$2,541.95"
SO-40049,14-Mar-2026,Gulf,Mossbank Accounting,"7,710.33 USD"
SO-40129,03/15/2026,Pacific,Quill & Ink Print Shop,"1,074.56"
SO-40005,2026-03-15,Atlantic,Redwood Property Mgmt,"$6,727.28"
SO-40027,03/15/2026,Gulf,Redwood Property Mgmt,"6,173.83"
SO-40002,2026-03-15,Atlantic,Hollowell Electric,"$6,106.15"
SO-40010,16-Mar-2026,Atlantic,Nightjar Coffee Roasters,"2,389.79 USD"
SO-40120,03/16/2026,Pacific,Acme Industrial,"1,896.89"
SO-40123,03/16/2026,Pacific,Oakhurst Pediatrics,"6,650.07"
SO-40073,16-Mar-2026,Great Lakes,Ironwood Fabrication,"5,470.02 USD"
SO-40015,03/17/2026,Atlantic,Umber Ceramics,"2,005.87"
SO-40032,2026-03-17,Gulf,Driftwood Studio,"$4,626.13"
SO-40105,03/17/2026,Mountain,Umber Ceramics,"1,858.39"
SO-40030,03/18/2026,Gulf,Northfield Auto Body,"4,103.69"
SO-40134,2026-03-18,Pacific,Cedar & Pine Landscaping,"$4,974.66"
SO-40128,2026-03-18,Pacific,Yellowtail Seafood,"$1,786.79"
SO-40114,03/18/2026,Pacific,Glassworks Optical,416.49
SO-40077,2026-03-19,Great Lakes,Nightjar Coffee Roasters,"$2,306.58"
SO-40119,2026-03-19,Pacific,Copperfield Law,"$1,848.91"
SO-40083,2026-03-19,Great Lakes,Driftwood Studio,"$1,758.74"
SO-40001,19-Mar-2026,Atlantic,Ellington Bakeries,"2,585.01 USD"
SO-40057,03/19/2026,Great Lakes,Northfield Auto Body,"8,864.35"
SO-40017,2026-03-19,Atlantic,Cedar & Pine Landscaping,"$4,584.42"
SO-40034,20-Mar-2026,Gulf,Vantage Point Media,"4,388.34 USD"
SO-40040,20-Mar-2026,Gulf,Lakeside Veterinary,"3,378.48 USD"
SO-40099,03/20/2026,Mountain,Pemberton HVAC,"7,491.20"
SO-40130,20-Mar-2026,Pacific,Kingfisher Charters,"5,392.55 USD"
SO-40076,20-Mar-2026,Great Lakes,Pemberton HVAC,"7,263.30 USD"
SO-40124,20-Mar-2026,Pacific,Thistle & Thread Alterations,"2,764.00 USD"
SO-40087,03/21/2026,Mountain,Uptown Fitness,671.83
SO-40050,2026-03-21,Gulf,Wren & Sparrow Bookshop,"$4,907.40"
SO-40013,21-Mar-2026,Atlantic,Silverline Logistics,"1,393.50 USD"
SO-40122,2026-03-21,Pacific,Oakhurst Pediatrics,"$2,436.77"
SO-40051,03/21/2026,Gulf,Brightwater Dental,"3,826.69"
SO-40133,21-Mar-2026,Pacific,Westbrook Plumbing,"3,729.71 USD"
SO-40081,03/22/2026,Great Lakes,Acme Industrial,"1,134.15"
SO-40067,22-Mar-2026,Great Lakes,Mossbank Accounting,"4,622.35 USD"
SO-40117,03/23/2026,Pacific,Westbrook Plumbing,"5,471.03"
SO-40022,24-Mar-2026,Atlantic,Brightwater Dental,"4,487.56 USD"
SO-40028,24-Mar-2026,Gulf,Acme Industrial,"3,727.16 USD"
SO-40014,2026-03-24,Atlantic,Zephyr Bike Works,"$4,767.10"
SO-40039,03/25/2026,Gulf,Redwood Property Mgmt,"2,536.09"
SO-40132,03/25/2026,Pacific,Dorsey Freight,"4,715.83"
SO-40112,25-Mar-2026,Pacific,Ellington Bakeries,"6,376.83 USD"
SO-40095,2026-03-25,Mountain,Fernbrook Montessori,"$1,123.54"
SO-40070,25-Mar-2026,Great Lakes,Vantage Point Media,"5,649.85 USD"
SO-40025,25-Mar-2026,Atlantic,Meridian Title,"5,111.80 USD"
SO-40080,2026-03-26,Great Lakes,Cedar & Pine Landscaping,"$7,670.58"
SO-40085,26-Mar-2026,Mountain,Mossbank Accounting,"8,393.90 USD"
SO-40064,26-Mar-2026,Great Lakes,Orchard Hill Dental,"7,270.38 USD"
SO-40075,03/26/2026,Great Lakes,Juniper Street Cafe,"7,677.13"
SO-40110,2026-03-27,Mountain,Wren & Sparrow Bookshop,"$2,144.26"
SO-40107,2026-03-27,Mountain,Quill & Ink Print Shop,"$2,926.19"
SO-40037,27-Mar-2026,Gulf,Quarry Road Nursery,608.24 USD
SO-40031,28-Mar-2026,Gulf,Yellowtail Seafood,"5,381.59 USD"
SO-40092,2026-03-28,Mountain,Wren & Sparrow Bookshop,"$4,484.01"
SO-40023,2026-03-28,Atlantic,Riverbend Physio,"$5,587.47"
SO-40072,03/28/2026,Great Lakes,Quill & Ink Print Shop,"7,242.31"
SO-40036,03/28/2026,Gulf,Foxglove Interiors,"7,410.14"
SO-40098,2026-03-29,Mountain,Tamarack Brewing,"$2,503.13"
SO-40060,03/29/2026,Great Lakes,Everline Insurance,"5,571.71"
SO-40016,29-Mar-2026,Atlantic,Ivy Lane Florist,"7,834.23 USD"
SO-40019,29-Mar-2026,Atlantic,Wren & Sparrow Bookshop,"7,209.44 USD"
SO-40082,29-Mar-2026,Great Lakes,Cedar & Pine Landscaping,"1,988.75 USD"
SO-40121,29-Mar-2026,Pacific,Thistle & Thread Alterations,"8,493.47 USD"
SO-40116,2026-03-30,Pacific,Driftwood Studio,"$8,989.65"
SO-40079,30-Mar-2026,Great Lakes,Harbor Light Marine,"4,384.99 USD"
SO-40088,30-Mar-2026,Mountain,Silverline Logistics,"6,771.18 USD"
SO-40066,03/30/2026,Great Lakes,Nightjar Coffee Roasters,"3,373.39"
SO-40006,03/31/2026,Atlantic,Granite Peak Outfitters,"8,324.68"
SO-40055,31-Mar-2026,Gulf,Tamarack Brewing,"6,925.32 USD"
SO-40061,31-Mar-2026,Great Lakes,Umber Ceramics,"3,783.74 USD"
SO-40048,03/31/2026,Gulf,Kestrel Analytics,"4,277.54"
SO-40029,2026-03-31,Gulf,Kingfisher Charters,"$7,505.16"
