Record ID,Customer Code,Month,Net Sales
EMB-1575-202512,EMB-1575,2025-12,94.34
EMB-1575-202601,EMB-1575,2026-01,173.78
EMB-1575-202602,EMB-1575,2026-02,266.68
EMB-1575-202603,EMB-1575,2026-03,106.73
EMB-1575-202605,EMB-1575,2026-05,100.37
EMB-1575-202606,EMB-1575,2026-06,249.91
EMB-1575-202607,EMB-1575,2026-07,118.83
EMB-1575-202608,EMB-1575,2026-08,160.95
EMB-1710-202602,EMB-1710,2026-02,487.64
EMB-1710-202603,EMB-1710,2026-03,314.91
EMB-1710-202604,EMB-1710,2026-04,529.74
EMB-1710-202606,EMB-1710,2026-06,746.17
EMB-1710-202608,EMB-1710,2026-08,502.47
EMB-1113-202507,EMB-1113,2025-07,317.47
EMB-1113-202508,EMB-1113,2025-08,402.77
EMB-1113-202509,EMB-1113,2025-09,881.45
EMB-1113-202511,EMB-1113,2025-11,472.10
EMB-1113-202601,EMB-1113,2026-01,590.41
EMB-1113-202602,EMB-1113,2026-02,974.08
EMB-1113-202605,EMB-1113,2026-05,246.81
EMB-1113-202606,EMB-1113,2026-06,910.16
EMB-1113-202607,EMB-1113,2026-07,508.32
EMB-1498-202507,EMB-1498,2025-07,1120.90
EMB-1498-202508,EMB-1498,2025-08,948.37
EMB-1498-202509,EMB-1498,2025-09,994.62
EMB-1498-202510,EMB-1498,2025-10,416.55
EMB-1498-202511,EMB-1498,2025-11,1046.83
EMB-1498-202601,EMB-1498,2026-01,795.96
EMB-1498-202602,EMB-1498,2026-02,823.68
EMB-1498-202603,EMB-1498,2026-03,856.95
EMB-1498-202604,EMB-1498,2026-04,635.89
EMB-1498-202605,EMB-1498,2026-05,495.41
EMB-1498-202606,EMB-1498,2026-06,775.15
EMB-1498-202607,EMB-1498,2026-07,603.03
EMB-1498-202608,EMB-1498,2026-08,917.32
EMB-1348-202511,EMB-1348,2025-11,231.19
EMB-1348-202512,EMB-1348,2025-12,121.45
EMB-1348-202603,EMB-1348,2026-03,209.33
EMB-1348-202604,EMB-1348,2026-04,76.32
EMB-1348-202605,EMB-1348,2026-05,161.84
EMB-1348-202607,EMB-1348,2026-07,342.26
EMB-1665-202507,EMB-1665,2025-07,362.27
EMB-1665-202508,EMB-1665,2025-08,248.58
EMB-1665-202509,EMB-1665,2025-09,562.59
EMB-1665-202510,EMB-1665,2025-10,373.34
EMB-1665-202511,EMB-1665,2025-11,393.34
EMB-1665-202601,EMB-1665,2026-01,177.38
EMB-1665-202602,EMB-1665,2026-02,536.88
EMB-1665-202603,EMB-1665,2026-03,548.11
EMB-1665-202604,EMB-1665,2026-04,623.79
EMB-1665-202607,EMB-1665,2026-07,528.16
EMB-1665-202608,EMB-1665,2026-08,737.45
EMB-1372-202508,EMB-1372,2025-08,199.69
EMB-1372-202509,EMB-1372,2025-09,384.81
EMB-1372-202510,EMB-1372,2025-10,524.55
EMB-1372-202511,EMB-1372,2025-11,342.49
EMB-1372-202512,EMB-1372,2025-12,235.57
EMB-1372-202601,EMB-1372,2026-01,181.64
EMB-1372-202603,EMB-1372,2026-03,544.61
EMB-1372-202605,EMB-1372,2026-05,257.01
EMB-1372-202606,EMB-1372,2026-06,568.60
EMB-1085-202509,EMB-1085,2025-09,820.80
EMB-1085-202512,EMB-1085,2025-12,436.06
EMB-1085-202601,EMB-1085,2026-01,1630.39
EMB-1085-202602,EMB-1085,2026-02,411.22
EMB-1085-202604,EMB-1085,2026-04,535.59
EMB-1085-202605,EMB-1085,2026-05,1689.09
EMB-1085-202606,EMB-1085,2026-06,635.95
EMB-1085-202607,EMB-1085,2026-07,1017.62
EMB-1085-202608,EMB-1085,2026-08,1630.74
EMB-1454-202511,EMB-1454,2025-11,298.91
EMB-1454-202512,EMB-1454,2025-12,-42.22
EMB-1454-202601,EMB-1454,2026-01,546.14
EMB-1454-202602,EMB-1454,2026-02,929.71
EMB-1454-202603,EMB-1454,2026-03,992.44
EMB-1454-202604,EMB-1454,2026-04,374.40
EMB-1454-202605,EMB-1454,2026-05,225.13
EMB-1454-202606,EMB-1454,2026-06,915.70
EMB-1944-202508,EMB-1944,2025-08,1541.01
EMB-1944-202509,EMB-1944,2025-09,1371.84
EMB-1944-202510,EMB-1944,2025-10,1520.99
EMB-1944-202512,EMB-1944,2025-12,930.13
EMB-1944-202601,EMB-1944,2026-01,1526.80
EMB-1944-202602,EMB-1944,2026-02,1687.20
EMB-1944-202603,EMB-1944,2026-03,1686.23
EMB-1944-202604,EMB-1944,2026-04,1215.94
EMB-1944-202606,EMB-1944,2026-06,1662.84
EMB-1944-202607,EMB-1944,2026-07,1397.31
EMB-1944-202608,EMB-1944,2026-08,1749.38
EMB-1930-202511,EMB-1930,2025-11,409.94
EMB-1930-202512,EMB-1930,2025-12,738.23
EMB-1930-202602,EMB-1930,2026-02,1026.83
EMB-1930-202603,EMB-1930,2026-03,561.95
EMB-1930-202604,EMB-1930,2026-04,878.94
EMB-1930-202606,EMB-1930,2026-06,1460.02
EMB-1930-202607,EMB-1930,2026-07,513.25
EMB-1930-202608,EMB-1930,2026-08,621.82
EMB-1463-202603,EMB-1463,2026-03,682.74
EMB-1463-202604,EMB-1463,2026-04,881.14
EMB-1463-202605,EMB-1463,2026-05,1245.50
EMB-1463-202606,EMB-1463,2026-06,1056.38
EMB-1463-202607,EMB-1463,2026-07,892.58
EMB-1463-202608,EMB-1463,2026-08,1473.84
EMB-1493-202509,EMB-1493,2025-09,-143.74
EMB-1493-202511,EMB-1493,2025-11,424.49
EMB-1493-202512,EMB-1493,2025-12,567.62
EMB-1493-202601,EMB-1493,2026-01,719.47
EMB-1493-202603,EMB-1493,2026-03,571.72
EMB-1493-202604,EMB-1493,2026-04,454.02
EMB-1493-202605,EMB-1493,2026-05,595.16
EMB-1493-202607,EMB-1493,2026-07,1399.00
