Yellowtail Seafood - Invoice Register
Run 09/08/2026 07:12 - all invoices since 03/01/2026
Invoice No,Customer,Invoice Date,Terms,Due Date,Amount,Paid/Credited,Balance,Status
YS-31308,Juniper Street Cafe,04/21/2026,Net 15,05/06/2026,"3,708.30","3,708.30",0.00,Paid
YS-31309,Driftwood Taqueria,04/22/2026,Net 30,05/22/2026,"1,675.74","1,675.74",0.00,Paid
YS-31310,Tamarack Brewing,04/22/2026,Net 30,05/22/2026,"6,651.77","6,651.77",0.00,Paid
YS-31311,The Saltwater Grill,04/22/2026,Net 45,06/06/2026,"11,744.43","11,744.43",0.00,Paid
YS-31312,Blue Heron Catering,04/23/2026,Net 30,05/23/2026,"7,514.55","7,514.55",0.00,Paid
YS-31313,Larkspur Hotel Kitchen,04/23/2026,Net 45,06/07/2026,"6,861.88","6,861.88",0.00,Paid
YS-31314,Mossbank Country Club,04/24/2026,Net 30,05/24/2026,"3,510.84","3,510.84",0.00,Paid
YS-31315,Riverbend Bistro,04/24/2026,Net 30,05/24/2026,"5,342.58","5,342.58",0.00,Paid
YS-31316,Harborview Oyster Bar,04/25/2026,Net 30,05/25/2026,"7,549.44","7,549.44",0.00,Paid
YS-31317,Pier 9 Fish House,04/25/2026,Net 30,05/25/2026,"6,708.16","2,683.26","4,024.90",Partially Paid
YS-31318,The Saltwater Grill,04/25/2026,Net 45,06/09/2026,"5,054.14","5,054.14",0.00,Paid
YS-31319,Copper Kettle Diner,04/26/2026,Net 15,05/11/2026,"1,238.69",371.61,867.08,Partially Paid
YS-31320,Larkspur Hotel Kitchen,04/26/2026,Net 45,06/10/2026,"5,854.13","5,854.13",0.00,Paid
YS-31321,Riverbend Bistro,04/28/2026,Net 30,05/28/2026,"6,632.89","6,632.89",0.00,Paid
YS-31322,The Saltwater Grill,04/28/2026,Net 45,06/12/2026,"12,116.06","12,116.06",0.00,Paid
YS-31323,Harborview Oyster Bar,04/30/2026,Net 30,05/30/2026,"1,004.26",602.56,401.70,Partially Paid
YS-31324,Larkspur Hotel Kitchen,04/30/2026,Net 45,06/14/2026,"3,568.07","2,140.84","1,427.23",Partially Paid
YS-31325,Mossbank Country Club,04/30/2026,Net 30,05/30/2026,"3,893.25","3,893.25",0.00,Paid
YS-31326,The Saltwater Grill,04/30/2026,Net 45,06/14/2026,"11,671.39","11,671.39",0.00,Paid
YS-31327,Blue Heron Catering,05/01/2026,Net 30,05/31/2026,"3,463.64","3,463.64",0.00,Paid
YS-31328,Pier 9 Fish House,05/01/2026,Net 30,05/31/2026,"1,656.37",662.55,993.82,Partially Paid
YS-31329,Harborview Oyster Bar,05/02/2026,Net 30,06/01/2026,"3,935.00","3,935.00",0.00,Paid
YS-31330,Copper Kettle Diner,05/03/2026,Net 15,05/18/2026,"1,779.87","1,779.87",0.00,Paid
YS-31331,Driftwood Taqueria,05/03/2026,Net 30,06/02/2026,"6,222.60","6,222.60",0.00,Paid
YS-31332,Kingfisher Charters Galley,05/03/2026,Net 15,05/18/2026,"1,554.84","1,554.84",0.00,Paid
YS-31333,Nightjar Supper Club,05/03/2026,Net 15,05/18/2026,"1,887.97",0.00,"1,887.97",Open
YS-31334,The Saltwater Grill,05/03/2026,Net 45,06/17/2026,"3,518.20","3,518.20",0.00,Paid
YS-31335,Blue Heron Catering,05/04/2026,Net 30,06/03/2026,"1,348.84","1,348.84",0.00,Paid
YS-31336,Juniper Street Cafe,05/04/2026,Net 15,05/19/2026,"7,095.38","4,257.23","2,838.15",Partially Paid
YS-31337,Riverbend Bistro,05/04/2026,Net 30,06/03/2026,"7,291.00","2,259.54","5,031.46",Partially Paid
YS-31338,Pier 9 Fish House,05/05/2026,Net 30,06/04/2026,"4,154.13","4,154.13",0.00,Paid
YS-31339,Tamarack Brewing,05/05/2026,Net 30,06/04/2026,"2,161.53","2,161.53",0.00,Paid
YS-31340,Mossbank Country Club,05/06/2026,Net 30,06/05/2026,"3,554.39","3,554.39",0.00,Paid
YS-31341,Harborview Oyster Bar,05/07/2026,Net 30,06/06/2026,"6,623.58","6,623.58",0.00,Paid
YS-31342,Larkspur Hotel Kitchen,05/07/2026,Net 45,06/21/2026,"2,332.48","2,332.48",0.00,Paid
YS-31343,Pier 9 Fish House,05/08/2026,Net 30,06/07/2026,"3,188.21",0.00,"3,188.21",Open
YS-31344,The Saltwater Grill,05/08/2026,Net 45,06/22/2026,"10,750.14","10,750.14",0.00,Paid
YS-31345,Blue Heron Catering,05/09/2026,Net 30,06/08/2026,"6,240.44","6,240.44",0.00,Paid
YS-31346,Ellington Bakeries,05/09/2026,Net 15,05/24/2026,"1,467.44","1,467.44",0.00,Paid
YS-31347,Larkspur Hotel Kitchen,05/09/2026,Net 45,06/23/2026,"2,630.56","2,630.56",0.00,Paid
YS-31348,Copper Kettle Diner,05/10/2026,Net 15,05/25/2026,"1,972.03","1,972.03",0.00,Paid
YS-31349,Harborview Oyster Bar,05/10/2026,Net 30,06/09/2026,924.55,924.55,0.00,Paid
YS-31350,Riverbend Bistro,05/11/2026,Net 30,06/10/2026,"4,247.36","4,247.36",0.00,Paid
YS-31351,Harborview Oyster Bar,05/12/2026,Net 30,06/11/2026,"7,694.09","7,694.09",0.00,Paid
YS-31352,The Saltwater Grill,05/12/2026,Net 45,06/26/2026,"1,536.62","1,536.62",0.00,Paid
YS-31353,Driftwood Taqueria,05/13/2026,Net 30,06/12/2026,"1,104.01","1,104.01",0.00,Paid
YS-31354,Tamarack Brewing,05/13/2026,Net 30,06/12/2026,"6,558.19","6,558.19",0.00,Paid
YS-31355,Mossbank Country Club,05/14/2026,Net 30,06/13/2026,"1,948.59","1,948.59",0.00,Paid
YS-31356,Harborview Oyster Bar,05/15/2026,Net 30,06/14/2026,"2,415.17","1,449.10",966.07,Partially Paid
YS-31357,Juniper Street Cafe,05/15/2026,Net 15,05/30/2026,"5,706.04",0.00,"5,706.04",Open
YS-31358,Larkspur Hotel Kitchen,05/15/2026,Net 45,06/29/2026,"5,380.96","5,380.96",0.00,Paid
YS-31359,Pier 9 Fish House,05/15/2026,Net 30,06/14/2026,"1,213.55","1,213.55",0.00,Paid
YS-31360,The Saltwater Grill,05/15/2026,Net 45,06/29/2026,"10,913.44","10,913.44",0.00,Paid
YS-31361,Riverbend Bistro,05/16/2026,Net 30,06/15/2026,"6,271.13","6,271.13",0.00,Paid
YS-31362,Blue Heron Catering,05/17/2026,Net 30,06/16/2026,"2,704.18","2,704.18",0.00,Paid
YS-31363,Copper Kettle Diner,05/17/2026,Net 15,06/01/2026,"1,301.45","1,301.45",0.00,Paid
YS-31364,The Saltwater Grill,05/17/2026,Net 45,07/01/2026,"10,089.30","10,089.30",0.00,Paid
YS-31365,Kingfisher Charters Galley,05/18/2026,Net 15,06/02/2026,"1,714.23","1,714.23",0.00,Paid
YS-31366,Harborview Oyster Bar,05/20/2026,Net 30,06/19/2026,"2,255.51","2,255.51",0.00,Paid
YS-31367,Larkspur Hotel Kitchen,05/20/2026,Net 45,07/04/2026,"6,779.30","6,779.30",0.00,Paid
YS-31368,Mossbank Country Club,05/20/2026,Net 30,06/19/2026,"5,860.84","5,860.84",0.00,Paid
YS-31369,Pier 9 Fish House,05/21/2026,Net 30,06/20/2026,"6,130.92","6,130.92",0.00,Paid
YS-31370,Tamarack Brewing,05/21/2026,Net 30,06/20/2026,"3,576.73","1,788.37","1,788.36",Partially Paid
YS-31371,The Saltwater Grill,05/21/2026,Net 45,07/05/2026,"4,313.82","4,313.82",0.00,Paid
YS-31372,Blue Heron Catering,05/22/2026,Net 30,06/21/2026,"3,155.96","3,155.96",0.00,Paid
YS-31373,Pier 9 Fish House,05/23/2026,Net 30,06/22/2026,"1,088.53",0.00,"1,088.53",Open
YS-31374,The Saltwater Grill,05/23/2026,Net 45,07/07/2026,"7,835.30","7,835.30",0.00,Paid
YS-31375,Copper Kettle Diner,05/24/2026,Net 15,06/08/2026,"2,997.93","2,997.93",0.00,Paid
YS-31376,Driftwood Taqueria,05/24/2026,Net 30,06/23/2026,"2,659.04","2,659.04",0.00,Paid
YS-31377,Ellington Bakeries,05/24/2026,Net 15,06/08/2026,"6,703.85","6,703.85",0.00,Paid
YS-31378,Harborview Oyster Bar,05/24/2026,Net 30,06/23/2026,"5,540.24","5,540.24",0.00,Paid
YS-31379,Larkspur Hotel Kitchen,05/24/2026,Net 45,07/08/2026,"2,052.63","2,052.63",0.00,Paid
YS-31380,Riverbend Bistro,05/24/2026,Net 30,06/23/2026,"7,568.42",0.00,"7,568.42",Open
YS-31381,Juniper Street Cafe,05/25/2026,Net 15,06/09/2026,"7,336.80","7,336.80",0.00,Paid
YS-31382,The Saltwater Grill,05/25/2026,Net 45,07/09/2026,"4,541.14","4,541.14",0.00,Paid
YS-31383,Riverbend Bistro,05/26/2026,Net 30,06/25/2026,"2,183.66","2,183.66",0.00,Paid
YS-31384,Mossbank Country Club,05/27/2026,Net 30,06/26/2026,"2,192.93","2,192.93",0.00,Paid
YS-31385,The Saltwater Grill,05/27/2026,Net 45,07/11/2026,"10,430.82","10,430.82",0.00,Paid
YS-31386,Blue Heron Catering,05/28/2026,Net 30,06/27/2026,"7,432.17","7,432.17",0.00,Paid
YS-31387,Harborview Oyster Bar,05/28/2026,Net 30,06/27/2026,"2,944.25","2,944.25",0.00,Paid
YS-31388,Nightjar Supper Club,05/29/2026,Net 15,06/13/2026,"3,194.04","3,194.04",0.00,Paid
YS-31389,Copper Kettle Diner,05/30/2026,Net 15,06/14/2026,"3,491.47","3,491.47",0.00,Paid
YS-31390,Harborview Oyster Bar,05/30/2026,Net 30,06/29/2026,"1,397.52","1,397.52",0.00,Paid
YS-31391,Larkspur Hotel Kitchen,05/30/2026,Net 45,07/14/2026,900.97,0.00,900.97,Open
YS-31392,Blue Heron Catering,05/31/2026,Net 30,06/30/2026,"7,492.08","7,492.08",0.00,Paid
YS-31393,Driftwood Taqueria,05/31/2026,Net 30,06/30/2026,"3,723.40","3,723.40",0.00,Paid
YS-31394,Kingfisher Charters Galley,05/31/2026,Net 15,06/15/2026,"2,335.53",0.00,"2,335.53",Open
YS-31395,Pier 9 Fish House,05/31/2026,Net 30,06/30/2026,"4,516.63","4,516.63",0.00,Paid
YS-31396,The Saltwater Grill,05/31/2026,Net 45,07/15/2026,"2,831.47","2,831.47",0.00,Paid
YS-31397,Larkspur Hotel Kitchen,06/01/2026,Net 45,07/16/2026,"2,502.73","2,502.73",0.00,Paid
YS-31398,Tamarack Brewing,06/01/2026,Net 30,07/01/2026,"2,792.06","2,792.06",0.00,Paid
YS-31399,Juniper Street Cafe,06/02/2026,Net 15,06/17/2026,"4,486.11","4,486.11",0.00,Paid
YS-31400,Mossbank Country Club,06/02/2026,Net 30,07/02/2026,"1,511.00","1,511.00",0.00,Paid
YS-31401,Pier 9 Fish House,06/02/2026,Net 30,07/02/2026,"3,472.55",0.00,"3,472.55",Open
YS-31402,Harborview Oyster Bar,06/03/2026,Net 30,07/03/2026,"6,144.09","6,144.09",0.00,Paid
YS-31403,Larkspur Hotel Kitchen,06/03/2026,Net 45,07/18/2026,"6,020.82","6,020.82",0.00,Paid
YS-31404,Riverbend Bistro,06/03/2026,Net 30,07/03/2026,"1,065.37","1,065.37",0.00,Paid
YS-31405,The Saltwater Grill,06/03/2026,Net 45,07/18/2026,"4,318.23","4,318.23",0.00,Paid
YS-31406,The Saltwater Grill,06/05/2026,Net 45,07/20/2026,"2,051.53","2,051.53",0.00,Paid
YS-31407,Pier 9 Fish House,06/06/2026,Net 30,07/06/2026,"5,732.09","5,732.09",0.00,Paid
YS-31408,Driftwood Taqueria,06/07/2026,Net 30,07/07/2026,"6,933.19","6,933.19",0.00,Paid
YS-31409,Larkspur Hotel Kitchen,06/07/2026,Net 45,07/22/2026,"5,109.77","5,109.77",0.00,Paid
YS-31410,Blue Heron Catering,06/08/2026,Net 30,07/08/2026,"3,192.77","3,192.77",0.00,Paid
YS-31411,Copper Kettle Diner,06/08/2026,Net 15,06/23/2026,"2,062.54",825.02,"1,237.52",Partially Paid
YS-31412,Harborview Oyster Bar,06/08/2026,Net 30,07/08/2026,"7,026.40","7,026.40",0.00,Paid
YS-31413,Tamarack Brewing,06/08/2026,Net 30,07/08/2026,"3,075.42","3,075.42",0.00,Paid
YS-31414,Ellington Bakeries,06/09/2026,Net 15,06/24/2026,"2,926.53","2,926.53",0.00,Paid
YS-31415,Riverbend Bistro,06/09/2026,Net 30,07/09/2026,"7,532.34","7,532.34",0.00,Paid
YS-31416,The Saltwater Grill,06/09/2026,Net 45,07/24/2026,"12,116.21","12,116.21",0.00,Paid
YS-31417,Juniper Street Cafe,06/10/2026,Net 15,06/25/2026,"5,125.46","5,125.46",0.00,Paid
YS-31418,Pier 9 Fish House,06/11/2026,Net 30,07/11/2026,963.64,963.64,0.00,Paid
YS-31419,Blue Heron Catering,06/13/2026,Net 30,07/13/2026,"2,574.89","2,574.89",0.00,Paid
YS-31420,Larkspur Hotel Kitchen,06/13/2026,Net 45,07/28/2026,"5,908.19","5,908.19",0.00,Paid
YS-31421,Riverbend Bistro,06/13/2026,Net 30,07/13/2026,"2,166.52",0.00,"2,166.52",Open
YS-31422,The Saltwater Grill,06/13/2026,Net 45,07/28/2026,"11,047.54","11,047.54",0.00,Paid
YS-31423,Harborview Oyster Bar,06/14/2026,Net 30,07/14/2026,"4,012.23","4,012.23",0.00,Paid
YS-31424,Juniper Street Cafe,06/14/2026,Net 15,06/29/2026,"7,231.18","7,231.18",0.00,Paid
YS-31425,Mossbank Country Club,06/14/2026,Net 30,07/14/2026,"6,780.66","6,780.66",0.00,Paid
YS-31426,Driftwood Taqueria,06/15/2026,Net 30,07/15/2026,"7,087.41","7,087.41",0.00,Paid
YS-31427,Kingfisher Charters Galley,06/15/2026,Net 15,06/30/2026,"2,700.30","2,700.30",0.00,Paid
YS-31428,The Saltwater Grill,06/15/2026,Net 45,07/30/2026,"1,451.85",725.92,725.93,Partially Paid
YS-31429,Copper Kettle Diner,06/16/2026,Net 15,07/01/2026,"5,668.06","5,668.06",0.00,Paid
YS-31430,Pier 9 Fish House,06/16/2026,Net 30,07/16/2026,"4,458.60","4,458.60",0.00,Paid
YS-31431,Harborview Oyster Bar,06/17/2026,Net 30,07/17/2026,"7,110.58","3,199.76","3,910.82",Partially Paid
YS-31432,The Saltwater Grill,06/17/2026,Net 45,08/01/2026,"4,793.44","4,793.44",0.00,Paid
YS-31433,Larkspur Hotel Kitchen,06/18/2026,Net 45,08/02/2026,"4,004.06","4,004.06",0.00,Paid
YS-31434,Mossbank Country Club,06/18/2026,Net 30,07/18/2026,"5,536.55","5,536.55",0.00,Paid
YS-31435,Tamarack Brewing,06/18/2026,Net 30,07/18/2026,"2,871.07","2,871.07",0.00,Paid
YS-31436,Driftwood Taqueria,06/20/2026,Net 30,07/20/2026,"5,212.47","5,212.47",0.00,Paid
YS-31437,Ellington Bakeries,06/20/2026,Net 15,07/05/2026,"2,563.19","2,563.19",0.00,Paid
YS-31438,Larkspur Hotel Kitchen,06/20/2026,Net 45,08/04/2026,"6,324.53","6,324.53",0.00,Paid
YS-31439,Pier 9 Fish House,06/20/2026,Net 30,07/20/2026,"4,906.69","4,906.69",0.00,Paid
YS-31440,Blue Heron Catering,06/21/2026,Net 30,07/21/2026,"1,600.63",640.25,960.38,Partially Paid
YS-31441,Juniper Street Cafe,06/21/2026,Net 15,07/06/2026,"7,348.63","7,348.63",0.00,Paid
