Tanager Electric LLC
Transaction Detail by Account
January 1 through August 31, 2026

Line ID,Type,Date,Name,Memo,Account,Amount
JL-02075,Bill,01/23/2026,Shell,,6300 · Vehicle Expense:6310 · Fuel,91.71
JL-09085,Check,01/23/2026,Amazon,monthly,6999 · Ask My Accountant,574.18
JL-05292,Invoice,01/26/2026,Brightside Bakery,Job 2339,4000 · Service Revenue:4020 · Commercial Service,"2,143.74"
JL-05961,Check,01/27/2026,Verizon Wireless,see receipt,6100 · Utilities & Telephone:6130 · Cell Phones,189.45
JL-07685,Bill,01/31/2026,Home Depot Pro,Trailer-mounted wire puller,6180 · Tools & Equipment,"3,930.22"
JL-07294,Invoice,02/01/2026,Alder Creek School District,Job 2364,4000 · Service Revenue:4020 · Commercial Service,"5,612.32"
JL-07286,Check,02/01/2026,Lumen,,6100 · Utilities & Telephone:6110 · Telephone,114.15
JL-02020,Check,02/02/2026,Les Schwab,,6300 · Vehicle Expense:6320 · Vehicle Repairs,"1,560.31"
JL-03683,Check,02/04/2026,Grainger,Trailer-mounted wire puller,6180 · Tools & Equipment,"4,285.65"
JL-03086,Bill,02/05/2026,Les Schwab,,6300 · Vehicle Expense:6320 · Vehicle Repairs,"1,649.06"
JL-04914,Invoice,02/07/2026,Linden Dental Group,Job 2372,4030 · Materials Resale,"1,457.82"
JL-05703,Bill,02/09/2026,CED Portland,Materials job 2399,5000 · Job Materials:5010 · Wire & Conduit,420.66
JL-06472,Credit Card Charge,02/10/2026,CED Portland,Materials job 2217,5000 · Job Materials:5020 · Fixtures & Devices,"1,065.88"
JL-01909,Invoice,02/16/2026,R. Castillo,Job 2241,4030 · Materials Resale,143.97
JL-01588,Check,02/17/2026,Multnomah County,see receipt,6440 · Permits,151.19
JL-08886,Invoice,02/18/2026,R. Castillo,Job 2211,4000 · Service Revenue:4010 · Residential Service,"2,313.49"
JL-07846,Check,02/20/2026,Fastenal,reimb,6170 · Shop Supplies,75.80
JL-03308,Bill,02/21/2026,Fluke Direct,Fish tape,6180 · Tools & Equipment,946.59
JL-09058,Check,02/21/2026,Progressive Commercial,monthly,6300 · Vehicle Expense:6330 · Vehicle Insurance,410.00
JL-02337,Bill,02/23/2026,Platt Electric Supply,Materials job 2353,5000 · Job Materials:5010 · Wire & Conduit,"2,035.17"
JL-03480,Invoice,02/26/2026,Brightside Bakery,Job 2385,4000 · Service Revenue:4010 · Residential Service,"2,284.47"
JL-06779,Credit Memo,02/26/2026,J. Nguyen,Job 2300,4000 · Service Revenue:4010 · Residential Service,(198.78)
JL-07736,Invoice,03/04/2026,Linden Dental Group,Job 2383,4000 · Service Revenue:4020 · Commercial Service,"3,876.18"
JL-01576,Invoice,03/09/2026,J. Nguyen,Job 2310,4000 · Service Revenue:4010 · Residential Service,636.73
JL-08639,Check,03/09/2026,Platt Electric Supply,Materials job 2302,5000 · Job Materials:5020 · Fixtures & Devices,"1,582.00"
JL-07335,Credit Card Charge,03/09/2026,Chevron,see receipt,6300 · Vehicle Expense:6310 · Fuel,129.12
JL-08518,Credit Card Charge,03/12/2026,CED Portland,Materials job 2314,5000 · Job Materials:5010 · Wire & Conduit,373.53
JL-01770,Bill,03/12/2026,Home Depot Pro,Fish tape,6180 · Tools & Equipment,68.53
JL-02662,Invoice,03/17/2026,M. Okafor,Job 2225,4000 · Service Revenue:4010 · Residential Service,"1,415.37"
JL-08715,Bill,03/17/2026,Home Depot Pro,Materials job 2210,5000 · Job Materials:5020 · Fixtures & Devices,938.02
JL-01331,Credit Card Charge,03/19/2026,Grainger,Scissor lift deposit,6180 · Tools & Equipment,"3,170.60"
JL-01531,Bill,03/20/2026,CED Portland,Materials job 2256,5000 · Job Materials:5020 · Fixtures & Devices,"1,262.73"
JL-03174,Credit Card Charge,03/20/2026,Comcast Business,reimb,6100 · Utilities & Telephone:6120 · Internet,89.00
JL-06306,Bill,03/20/2026,Multnomah County,monthly,6440 · Permits,337.39
JL-02725,Check,03/23/2026,CED Portland,Materials job 2361,5000 · Job Materials:5020 · Fixtures & Devices,"1,098.48"
JL-09997,Credit Card Charge,03/25/2026,Hartford,reimb,6500 · Insurance:6510 · General Liability,640.00
JL-06679,Check,03/28/2026,Verizon Wireless,monthly,6100 · Utilities & Telephone:6130 · Cell Phones,189.08
JL-04194,Bill,04/02/2026,Platt Electric Supply,Materials job 2330,5000 · Job Materials:5010 · Wire & Conduit,"1,266.80"
JL-07281,Check,04/03/2026,Platt Electric Supply,Materials job 2299,5000 · Job Materials:5020 · Fixtures & Devices,489.09
JL-09033,Bill,04/03/2026,Verizon Wireless,see receipt,6100 · Utilities & Telephone:6130 · Cell Phones,254.75
JL-02818,Check,04/03/2026,Grainger,Trailer-mounted wire puller,6180 · Tools & Equipment,"3,373.07"
JL-01985,Check,04/06/2026,Fastenal,see receipt,6170 · Shop Supplies,157.79
JL-08654,Credit Card Charge,04/07/2026,City of Portland BDS,,6440 · Permits,226.21
JL-06535,Invoice,04/13/2026,Pinecrest Apartments,Job 2287,4000 · Service Revenue:4010 · Residential Service,"2,075.74"
JL-03036,Invoice,04/14/2026,Brightside Bakery,Job 2375,4000 · Service Revenue:4010 · Residential Service,"1,777.74"
JL-05855,Credit Card Charge,04/16/2026,Grainger,Fish tape,6180 · Tools & Equipment,870.06
JL-03082,Credit Card Charge,04/18/2026,Platt Electric Supply,Materials job 2356,5000 · Job Materials:5020 · Fixtures & Devices,552.49
JL-07351,Bill,04/18/2026,Chevron,,6300 · Vehicle Expense:6310 · Fuel,128.42
JL-05813,Check,04/18/2026,City of Portland BDS,reimb,6440 · Permits,270.78
JL-02991,Credit Card Charge,04/19/2026,Multnomah County,see receipt,6440 · Permits,349.55
JL-09503,Bill Credit,04/22/2026,Home Depot Pro,Materials job 2347,5000 · Job Materials:5020 · Fixtures & Devices,(90.82)
JL-04098,Invoice,04/25/2026,Riverside Storage,Job 2346,4030 · Materials Resale,"1,021.39"
JL-01625,Bill,04/26/2026,Graybar,Materials job 2227,5000 · Job Materials:5010 · Wire & Conduit,"1,688.87"
JL-07422,Check,04/29/2026,Verizon Wireless,,6100 · Utilities & Telephone:6130 · Cell Phones,334.59
JL-08283,Invoice,05/05/2026,Pinecrest Apartments,Job 2363,4000 · Service Revenue:4010 · Residential Service,"1,425.04"
JL-07087,Credit Card Charge,05/05/2026,CED Portland,Materials job 2347,5000 · Job Materials:5010 · Wire & Conduit,589.08
JL-04120,Invoice,05/06/2026,R. Castillo,Job 2269,4000 · Service Revenue:4010 · Residential Service,"2,323.33"
JL-08462,Invoice,05/06/2026,Riverside Storage,Job 2273,4000 · Service Revenue:4010 · Residential Service,"1,540.38"
JL-06841,Invoice,05/06/2026,M. Okafor,Job 2232,4000 · Service Revenue:4020 · Commercial Service,"5,595.40"
JL-02234,Invoice,05/06/2026,Riverside Storage,Job 2217,4000 · Service Revenue:4020 · Commercial Service,"9,699.34"
JL-01731,Check,05/08/2026,Chevron,monthly,6300 · Vehicle Expense:6310 · Fuel,235.03
JL-01655,Credit Card Charge,05/10/2026,Verizon Wireless,monthly,6100 · Utilities & Telephone:6130 · Cell Phones,396.26
JL-08965,Check,05/11/2026,Hartford,,6500 · Insurance:6510 · General Liability,640.00
JL-05184,Check,05/14/2026,Home Depot Pro,Cable puller,6180 · Tools & Equipment,"2,500.00"
JL-01436,Bill,05/16/2026,City of Portland BDS,monthly,6440 · Permits,46.46
JL-09520,Invoice,05/17/2026,Linden Dental Group,Job 2239,4000 · Service Revenue:4010 · Residential Service,"2,006.46"
JL-04538,Check,05/18/2026,Hartford,,6500 · Insurance:6510 · General Liability,640.00
JL-04762,Invoice,05/21/2026,Alder Creek School District,Job 2276,4000 · Service Revenue:4010 · Residential Service,"1,820.62"
JL-02531,Check,05/22/2026,Platt Electric Supply,Materials job 2310,5000 · Job Materials:5010 · Wire & Conduit,916.96
JL-09231,Credit Card Charge,05/22/2026,Grainger,monthly,6170 · Shop Supplies,272.89
JL-09580,Check,05/22/2026,Habitat for Humanity,,6725 · Charitable Contributions,236.81
JL-07883,Invoice,05/27/2026,J. Nguyen,Job 2212,4000 · Service Revenue:4010 · Residential Service,"2,115.15"
JL-09308,Bill,05/27/2026,Multnomah County,see receipt,6440 · Permits,114.29
JL-06002,Check,05/27/2026,Hartford,see receipt,6500 · Insurance:6510 · General Liability,640.00
JL-02858,Invoice,05/31/2026,Riverside Storage,Job 2395,4000 · Service Revenue:4010 · Residential Service,543.77
JL-03386,Check,05/31/2026,Lumen,,6100 · Utilities & Telephone:6110 · Telephone,99.09
JL-07979,Check,06/01/2026,Milwaukee Tool,Fish tape,6180 · Tools & Equipment,405.81
JL-07914,Bill,06/01/2026,Habitat for Humanity,see receipt,6725 · Charitable Contributions,321.43
JL-02376,Bill,06/03/2026,Home Depot Pro,Bender set,6180 · Tools & Equipment,"2,499.99"
JL-02716,Bill,06/03/2026,City of Portland BDS,,6440 · Permits,68.50
JL-07809,Check,06/05/2026,Hartford,reimb,6500 · Insurance:6510 · General Liability,640.00
JL-02030,Bill,06/06/2026,Multnomah County,,6440 · Permits,83.16
JL-02625,Credit Card Charge,06/07/2026,Clean Machine Car Wash,,6300 · Vehicle Expense,76.56
JL-07802,Credit Card Charge,06/11/2026,Chevron,,6300 · Vehicle Expense:6310 · Fuel,213.79
JL-03558,Invoice,06/13/2026,Alder Creek School District,Job 2354,4030 · Materials Resale,"1,481.79"
JL-01503,Check,06/13/2026,City of Portland BDS,see receipt,6440 · Permits,449.25
JL-08319,Bill,06/15/2026,Verizon Wireless,,6100 · Utilities & Telephone:6130 · Cell Phones,241.56
JL-08062,Bill,06/16/2026,Platt Electric Supply,Materials job 2251,5000 · Job Materials:5010 · Wire & Conduit,548.16
JL-07832,Credit Card Charge,06/18/2026,Shell,monthly,6300 · Vehicle Expense:6310 · Fuel,195.78
JL-01493,Credit Card Charge,06/20/2026,Grainger,Fish tape,6180 · Tools & Equipment,832.99
JL-09136,Invoice,06/24/2026,M. Okafor,Job 2240,4030 · Materials Resale,434.45
JL-06316,Credit Card Charge,06/24/2026,Voltline Subcontracting,Materials job 2377,5030 · Subcontract Labor,"3,423.13"
JL-05138,Invoice,06/25/2026,Pinecrest Apartments,Job 2211,4000 · Service Revenue:4020 · Commercial Service,"4,512.57"
JL-02286,Bill,06/26/2026,Hartford,reimb,6500 · Insurance:6510 · General Liability,640.00
JL-06775,Invoice,06/29/2026,Alder Creek School District,Job 2281,4000 · Service Revenue:4010 · Residential Service,504.92
JL-02152,Invoice,06/30/2026,J. Nguyen,Job 2293,4000 · Service Revenue:4020 · Commercial Service,"1,468.59"
JL-02988,Check,06/30/2026,Comcast Business,,6100 · Utilities & Telephone:6120 · Internet,89.00
JL-06886,Check,07/01/2026,Graybar,Materials job 2297,5000 · Job Materials:5010 · Wire & Conduit,"1,628.19"
JL-01481,Credit Card Charge,07/01/2026,Home Depot Pro,Materials job 2297,5000 · Job Materials:5020 · Fixtures & Devices,499.24
JL-06659,Bill,07/01/2026,Home Depot Pro,Trailer-mounted wire puller,6180 · Tools & Equipment,"1,232.41"
JL-06699,Credit Card Charge,07/01/2026,SAIF Corporation,see receipt,6500 · Insurance:6520 · Workers Comp,388.44
JL-03914,Invoice,07/02/2026,R. Castillo,Job 2375,4030 · Materials Resale,839.76
JL-01163,Check,07/04/2026,CED Portland,Materials job 2344,5000 · Job Materials:5020 · Fixtures & Devices,"1,271.81"
JL-04776,Bill,07/07/2026,Chevron,,6300 · Vehicle Expense:6310 · Fuel,148.04
JL-06993,Invoice,07/08/2026,R. Castillo,Job 2359,4000 · Service Revenue:4020 · Commercial Service,"1,922.58"
JL-02155,Bill Credit,07/09/2026,Shell,see receipt,6300 · Vehicle Expense:6310 · Fuel,(33.82)
JL-03347,Check,07/10/2026,Fastenal,reimb,6170 · Shop Supplies,19.54
JL-04407,Invoice,07/14/2026,J. Nguyen,Job 2311,4000 · Service Revenue:4010 · Residential Service,211.73
JL-01052,Credit Card Charge,07/14/2026,Home Depot Pro,Fish tape,6180 · Tools & Equipment,198.09
JL-04355,Invoice,07/17/2026,M. Okafor,Job 2312,4000 · Service Revenue:4020 · Commercial Service,"6,886.50"
JL-03018,Invoice,07/24/2026,M. Okafor,Job 2267,4000 · Service Revenue:4020 · Commercial Service,"2,862.10"
JL-01117,Bill,07/25/2026,CED Portland,Materials job 2334,5000 · Job Materials:5010 · Wire & Conduit,274.26
JL-05804,Check,07/25/2026,Milwaukee Tool,Fish tape,6180 · Tools & Equipment,143.98
JL-07047,Invoice,07/27/2026,Harborview HOA,Job 2203,4000 · Service Revenue:4020 · Commercial Service,"5,923.94"
JL-01403,Credit Card Charge,07/27/2026,City of Portland BDS,monthly,6440 · Permits,143.10
JL-04815,Bill,07/28/2026,Chevron,see receipt,6300 · Vehicle Expense:6310 · Fuel,104.26
JL-03324,Bill,07/30/2026,Habitat for Humanity,reimb,6725 · Charitable Contributions,454.55
JL-04063,Bill,08/01/2026,Fluke Direct,Strippers,6180 · Tools & Equipment,676.49
JL-08439,Credit Card Charge,08/02/2026,Grainger,Tape & blades,6180 · Tools & Equipment,371.80
JL-02841,Credit Card Charge,08/03/2026,Grainger,,6170 · Shop Supplies,241.52
JL-08810,Check,08/04/2026,CED Portland,Materials job 2363,5000 · Job Materials:5020 · Fixtures & Devices,"1,181.29"
JL-06643,Check,08/04/2026,Multnomah County,reimb,6440 · Permits,318.65
JL-05230,Bill,08/05/2026,CED Portland,Materials job 2320,5000 · Job Materials:5010 · Wire & Conduit,"1,742.43"
JL-03132,Credit Card Charge,08/05/2026,Comcast Business,reimb,6100 · Utilities & Telephone:6120 · Internet,89.00
JL-01457,Invoice,08/06/2026,J. Nguyen,Job 2374,4000 · Service Revenue:4010 · Residential Service,"1,681.17"
JL-04409,Check,08/06/2026,Fastenal,reimb,6170 · Shop Supplies,325.04
JL-06934,Check,08/11/2026,CED Portland,Materials job 2356,5000 · Job Materials:5020 · Fixtures & Devices,139.62
JL-06488,Invoice,08/12/2026,M. Okafor,Job 2381,4000 · Service Revenue:4010 · Residential Service,"1,275.74"
JL-08755,Check,08/13/2026,CED Portland,Materials job 2272,5000 · Job Materials:5010 · Wire & Conduit,"1,193.23"
JL-05794,Bill,08/13/2026,Hartford,monthly,6500 · Insurance:6510 · General Liability,640.00
JL-06357,Bill,08/14/2026,Progressive Commercial,,6300 · Vehicle Expense:6330 · Vehicle Insurance,410.00
JL-04015,Bill,08/18/2026,Habitat for Humanity,see receipt,6725 · Charitable Contributions,211.12
JL-02323,Credit Card Charge,08/20/2026,Progressive Commercial,,6300 · Vehicle Expense:6330 · Vehicle Insurance,410.00
JL-02680,Bill,08/23/2026,Voltline Subcontracting,Materials job 2374,5030 · Subcontract Labor,"3,943.14"
JL-09736,Check,08/24/2026,Les Schwab,,6300 · Vehicle Expense:6320 · Vehicle Repairs,"1,024.92"
JL-06042,Credit Card Charge,08/24/2026,Hartford,reimb,6500 · Insurance:6510 · General Liability,640.00
JL-03562,Credit Card Charge,08/25/2026,Shell,reimb,6300 · Vehicle Expense:6310 · Fuel,237.30
JL-07170,Check,08/26/2026,City of Portland BDS,monthly,6440 · Permits,407.74
JL-03407,Check,08/28/2026,Amazon,reimb,6999 · Ask My Accountant,789.08
JL-03051,Credit Card Charge,08/30/2026,Grainger,see receipt,6170 · Shop Supplies,360.47
