Building,Unit,Beds,Baths,Sq Ft,Market Rent
Maple Row,2,3,2,1510,"$2,725.00"
Maple Row,3,3,2,1410,2675
Maple Row,5,3,2,1340,"$2,550.00"
Maple Row,12,3,2,1410,"$2,550.00"
Maple Row,16,3,2,1390,2725
Maple Row Townhomes,1,3,2,1370,2400.00
Maple Row Townhomes,4,3,2,1470,2525
Maple Row Townhomes,6,3,2,1310,"$2,550.00"
Maple Row Townhomes,7,3,2,1380,2750.00
Maple Row Townhomes,8,3,2,1410,2825
Maple Row Townhomes,9,3,2,1330,2725.00
Maple Row Townhomes,10,3,2,1350,"$2,425.00"
Maple Row Townhomes,11,3,2,1480,2500
Maple Row Townhomes,13,3,2,1530,2800
Maple Row Townhomes,14,3,2,1310,2525
Maple Row Townhomes,15,3,2,1380,2750.00
Maple Row Townhomes,17,3,2,1530,2475
Maple Row Townhomes,18,3,2,1580,"$2,675.00"
Northgate Lofts,L102,Studio,1,530,1825
Northgate Lofts,L104,1,1,830,1725.00
Northgate Lofts,L105,Studio,1,570,2025
Northgate Lofts,L107,Studio,1,570,1700
Northgate Lofts,L108,Studio,1,630,1600
Northgate Lofts,L109,Studio,1,530,"$1,825.00"
Northgate Lofts,L202,1,1,530,2100
Northgate Lofts,L203,Studio,1,730,1600
Northgate Lofts,L205,1,1,610,1850.00
Northgate Lofts,L206,1,1,600,"$1,625.00"
Northgate Lofts,L207,1,1,660,1900.00
Northgate Lofts,L208,Studio,1,640,1725
Northgate Lofts,L209,Studio,1,590,1575.00
Northgate Lofts,L301,Studio,1,560,2050.00
Northgate Lofts,L303,Studio,1,810,2050
Northgate Lofts,L304,Studio,1,750,"$2,050.00"
Northgate Lofts,L305,Studio,1,670,"$1,550.00"
Northgate Lofts,L306,1,1,850,"$2,075.00"
Northgate Lofts,L307,Studio,1,520,"$1,900.00"
Northgate Lofts,L308,1,1,530,1625.00
Northgate Lofts,L309,1,1,550,"$1,750.00"
Northgate Lofts,L401,1,1,720,"$2,025.00"
Northgate Lofts,L402,Studio,1,550,2075.00
Northgate Lofts,L404,Studio,1,630,1825.00
Northgate Lofts,L405,1,1,520,1775.00
Northgate Lofts,L406,Studio,1,530,1800
Northgate Lofts,L407,1,1,670,"$1,875.00"
Northgate Lofts,L408,1,1,830,"$2,000.00"
Northgate Lofts,L409,1,1,770,1875.00
Northgate Lofts LLC,L101,1,1,550,1925.00
Northgate Lofts LLC,L103,Studio,1,810,1725
Northgate Lofts LLC,L106,Studio,1,780,"$1,875.00"
Northgate Lofts LLC,L201,1,1,870,1975
Northgate Lofts LLC,L204,1,1,520,1900
Northgate Lofts LLC,L302,Studio,1,750,1625
Northgate Lofts LLC,L403,1,1,600,1775
Riverside Cmns,102,2,1,990,1725
Riverside Cmns,103,1,1,870,"$1,525.00"
Riverside Cmns,108,2,1,850,1725.00
Riverside Cmns,301,1,1,910,1700
Riverside Cmns,304,2,2,960,1625
Riverside Cmns,308,2,1,970,"$1,850.00"
Riverside Cmns,402,2,1,830,1825
Riverside Cmns,404,2,2,780,1725
Riverside Cmns,405,1,1,760,1475
Riverside Cmns,406,2,1,790,1525.00
Riverside Commons,101,2,1,930,"$1,925.00"
Riverside Commons,104,2,1,740,"$1,700.00"
Riverside Commons,105,1,1,980,1775.00
Riverside Commons,106,1,1,860,1600.00
Riverside Commons,107,2,1,700,"$1,875.00"
Riverside Commons,201,2,2,950,1750.00
Riverside Commons,202,2,1,900,1600.00
Riverside Commons,203,1,1,880,"$1,500.00"
Riverside Commons,204,2,2,780,1625
Riverside Commons,205,1,1,940,1850
Riverside Commons,206,1,1,990,"$1,875.00"
Riverside Commons,207,2,1,910,1625
Riverside Commons,208,1,1,710,1900
Riverside Commons,302,2,2,920,1550.00
Riverside Commons,303,2,1,820,"$1,475.00"
Riverside Commons,305,2,2,920,1475
Riverside Commons,306,1,1,960,1550
Riverside Commons,307,1,1,900,"$1,850.00"
Riverside Commons,401,2,1,710,1750
Riverside Commons,403,1,1,860,"$1,825.00"
Riverside Commons,407,1,1,760,1800.00
Riverside Commons,408,1,1,780,1675.00
Riverside Commons,402,2,1,830,1825
Maple Row Townhomes,6,3,2,1310,"$2,550.00"
Harbor View,110,1,1,820,"$1,800.00"
Riverside Cmns,201,2,2,950,1750.00
ELM COURT,A4,1,1,610,1475
CEDAR TERRACE,11,3,2,1200,"$1,925.00"
Maple Row Townhomes,1,3,2,1370,2400.00
Harbor View Apts,307,1,1,710,"$2,325.00"
