Check #,Opened,Server,Menu Group,Item,Parent Item,Qty,Gross Price,Discount,Discount Reason,Net Price,Voided
37194,07/02/2026 08:58 AM,Ines,Coffee & Tea,Chai Tea,,1,4.75,0.00,,4.75,No
37195,07/02/2026 02:58 PM,Maribel,Coffee & Tea,Latte,,1,5.25,0.00,,0.00,Yes
37195,07/02/2026 02:58 PM,Maribel,Modifiers,+ Vanilla syrup,Latte,1,0.60,0.00,,0.00,Yes
37195,07/02/2026 02:58 PM,Maribel,Coffee & Tea,Cappuccino,,1,4.75,0.00,,4.75,No
37196,07/03/2026 01:30 PM,Theo,Coffee & Tea,Latte,,1,5.25,0.00,,5.25,No
37196,07/03/2026 01:30 PM,Theo,Bakery,Croissant,,1,3.75,0.00,,3.75,No
37197,07/03/2026 02:52 PM,Theo,Bakery,Blueberry Muffin,,1,3.50,0.00,,3.50,No
37197,07/03/2026 02:52 PM,Theo,Coffee & Tea,Latte,,1,5.25,0.00,,5.25,No
37198,07/03/2026 12:03 PM,Theo,Breakfast,Breakfast Sandwich,,1,9.50,0.00,,9.50,No
37198,07/03/2026 12:03 PM,Theo,Modifiers,+ Add bacon,Breakfast Sandwich,1,2.50,0.00,,2.50,No
37199,07/03/2026 02:30 PM,Theo,Breakfast,Breakfast Sandwich,,1,9.50,0.00,,9.50,No
37199,07/03/2026 02:30 PM,Theo,Modifiers,+ Add bacon,Breakfast Sandwich,1,2.50,0.00,,2.50,No
37199,07/03/2026 02:30 PM,Theo,Coffee & Tea,Latte,,1,5.25,0.00,,5.25,No
37199,07/03/2026 02:30 PM,Theo,Modifiers,+ Extra shot,Latte,1,1.00,0.00,,1.00,No
37200,07/03/2026 10:23 AM,Maribel,Bakery,Chocolate Chip Cookie,,1,2.75,1.38,Staff meal 50%,1.37,No
37200,07/03/2026 10:23 AM,Maribel,Coffee & Tea,Drip Coffee,,1,3.00,1.50,Staff meal 50%,1.50,No
37200,07/03/2026 10:23 AM,Maribel,Bakery,Chocolate Chip Cookie,,1,2.75,1.38,Staff meal 50%,1.37,No
37201,07/03/2026 12:03 PM,Maribel,Coffee & Tea,Drip Coffee,,1,3.00,0.00,,3.00,No
37202,07/03/2026 02:37 PM,Rashid,Coffee & Tea,Cappuccino,,1,4.75,0.00,,4.75,No
37202,07/03/2026 02:37 PM,Rashid,Modifiers,+ Extra shot,Cappuccino,1,1.00,0.00,,1.00,No
37202,07/03/2026 02:37 PM,Rashid,Breakfast,Avocado Toast,,1,11.00,0.00,,11.00,No
37202,07/03/2026 02:37 PM,Rashid,Coffee & Tea,Drip Coffee,,1,3.00,0.00,,3.00,No
37203,07/03/2026 09:56 AM,Theo,Bakery,Chocolate Chip Cookie,,1,2.75,0.00,,2.75,No
37203,07/03/2026 09:56 AM,Theo,Coffee & Tea,Cappuccino,,1,4.75,0.00,,4.75,No
37203,07/03/2026 09:56 AM,Theo,Coffee & Tea,Drip Coffee,,1,3.00,0.00,,3.00,No
37204,07/03/2026 08:25 AM,Maribel,Bakery,Blueberry Muffin,,1,3.50,0.00,,3.50,No
37205,07/03/2026 07:35 AM,Ines,Coffee & Tea,Latte,,1,5.25,0.00,,5.25,No
37205,07/03/2026 07:35 AM,Ines,Modifiers,+ Oat milk,Latte,1,0.75,0.00,,0.75,No
37206,07/03/2026 09:28 AM,Theo,Breakfast,Breakfast Sandwich,,1,9.50,9.50,Comp - manager,0.00,No
37206,07/03/2026 09:28 AM,Theo,Bakery,Blueberry Muffin,,1,3.50,3.50,Comp - manager,0.00,No
37206,07/03/2026 09:28 AM,Theo,Breakfast,Avocado Toast,,1,11.00,11.00,Comp - manager,0.00,No
