Line ID,Date,Old Account,New Account,New Account Name,Amount,Memo,Mapping Note
JL-08639,03/09/2026,5020,5100,Job Materials,1582.00,Materials job 2302,
JL-07335,03/09/2026,6310,6400,Vehicle Expenses,129.12,see receipt,
JL-08518,03/12/2026,5010,5100,Job Materials,373.53,Materials job 2314,
JL-01770,03/12/2026,6180,6150,Small Tools & Supplies,68.53,Fish tape,
JL-02662,03/17/2026,4010,4100,Service Revenue,1415.37,Job 2225,
JL-08715,03/17/2026,5020,5100,Job Materials,938.02,Materials job 2210,
JL-01331,03/19/2026,6180,1520,Tools & Equipment,3170.60,Scissor lift deposit,
JL-01531,03/20/2026,5020,5100,Job Materials,1262.73,Materials job 2256,
JL-03174,03/20/2026,6120,6600,Telecommunications,89.00,reimb,
JL-06306,03/20/2026,6440,6800,Licenses & Permits,337.39,monthly,
JL-02725,03/23/2026,5020,5100,Job Materials,1098.48,Materials job 2361,
JL-09997,03/25/2026,6510,6700,Insurance,640.00,reimb,
JL-06679,03/28/2026,6130,6600,Telecommunications,189.08,monthly,
JL-04194,04/02/2026,5010,5100,Job Materials,1266.80,Materials job 2330,
JL-07281,04/03/2026,5020,5100,Job Materials,489.09,Materials job 2299,
JL-09033,04/03/2026,6130,6600,Telecommunications,254.75,see receipt,
JL-02818,04/03/2026,6180,1520,Tools & Equipment,3373.07,Trailer-mounted wire puller,
JL-01985,04/06/2026,6170,6150,Small Tools & Supplies,157.79,see receipt,
JL-08654,04/07/2026,6440,6800,Licenses & Permits,226.21,,
JL-06535,04/13/2026,4010,4100,Service Revenue,2075.74,Job 2287,
JL-03036,04/14/2026,4010,4100,Service Revenue,1777.74,Job 2375,
JL-05855,04/16/2026,6180,6150,Small Tools & Supplies,870.06,Fish tape,
JL-03082,04/18/2026,5020,5100,Job Materials,552.49,Materials job 2356,
JL-07351,04/18/2026,6310,6400,Vehicle Expenses,128.42,,
JL-05813,04/18/2026,6440,6800,Licenses & Permits,270.78,reimb,
JL-02991,04/19/2026,6440,6800,Licenses & Permits,349.55,see receipt,
JL-09503,04/22/2026,5020,5100,Job Materials,-90.82,Materials job 2347,
JL-04098,04/25/2026,4030,4200,Materials Billed,1021.39,Job 2346,
JL-01625,04/26/2026,5010,5100,Job Materials,1688.87,Materials job 2227,
JL-07422,04/29/2026,6130,6600,Telecommunications,334.59,,
JL-08283,05/05/2026,4010,4100,Service Revenue,1425.04,Job 2363,
JL-07087,05/05/2026,5010,5100,Job Materials,589.08,Materials job 2347,
JL-04120,05/06/2026,4010,4100,Service Revenue,2323.33,Job 2269,
JL-08462,05/06/2026,4010,4100,Service Revenue,1540.38,Job 2273,
JL-06841,05/06/2026,4020,4100,Service Revenue,5595.40,Job 2232,
JL-02234,05/06/2026,4020,4100,Service Revenue,9699.34,Job 2217,
JL-01731,05/08/2026,6310,6400,Vehicle Expenses,235.03,monthly,
JL-01655,05/10/2026,6130,6600,Telecommunications,396.26,monthly,
JL-08965,05/11/2026,6510,6700,Insurance,640.00,,
JL-05184,05/14/2026,6180,1520,Tools & Equipment,2500.00,Cable puller,
JL-01436,05/16/2026,6440,6800,Licenses & Permits,46.46,monthly,
JL-09520,05/17/2026,4010,4100,Service Revenue,2006.46,Job 2239,
JL-04538,05/18/2026,6510,6700,Insurance,640.00,,
JL-04762,05/21/2026,4010,4100,Service Revenue,1820.62,Job 2276,
JL-02531,05/22/2026,5010,5100,Job Materials,916.96,Materials job 2310,
JL-09231,05/22/2026,6170,6150,Small Tools & Supplies,272.89,monthly,
JL-09580,05/22/2026,6725,,,236.81,,NEEDS MAPPING
JL-07883,05/27/2026,4010,4100,Service Revenue,2115.15,Job 2212,
JL-09308,05/27/2026,6440,6800,Licenses & Permits,114.29,see receipt,
JL-06002,05/27/2026,6510,6700,Insurance,640.00,see receipt,
JL-02858,05/31/2026,4010,4100,Service Revenue,543.77,Job 2395,
JL-03386,05/31/2026,6110,6600,Telecommunications,99.09,,
JL-07979,06/01/2026,6180,6150,Small Tools & Supplies,405.81,Fish tape,
JL-07914,06/01/2026,6725,,,321.43,see receipt,NEEDS MAPPING
JL-02376,06/03/2026,6180,6150,Small Tools & Supplies,2499.99,Bender set,
JL-02716,06/03/2026,6440,6800,Licenses & Permits,68.50,,
JL-07809,06/05/2026,6510,6700,Insurance,640.00,reimb,
JL-02030,06/06/2026,6440,6800,Licenses & Permits,83.16,,
JL-02625,06/07/2026,6300,6400,Vehicle Expenses,76.56,,
JL-07802,06/11/2026,6310,6400,Vehicle Expenses,213.79,,
JL-03558,06/13/2026,4030,4200,Materials Billed,1481.79,Job 2354,
JL-01503,06/13/2026,6440,6800,Licenses & Permits,449.25,see receipt,
JL-08319,06/15/2026,6130,6600,Telecommunications,241.56,,
JL-08062,06/16/2026,5010,5100,Job Materials,548.16,Materials job 2251,
JL-07832,06/18/2026,6310,6400,Vehicle Expenses,195.78,monthly,
JL-01493,06/20/2026,6180,6150,Small Tools & Supplies,832.99,Fish tape,
JL-09136,06/24/2026,4030,4200,Materials Billed,434.45,Job 2240,
JL-06316,06/24/2026,5030,5200,Subcontractors,3423.13,Materials job 2377,
JL-05138,06/25/2026,4020,4100,Service Revenue,4512.57,Job 2211,
JL-02286,06/26/2026,6510,6700,Insurance,640.00,reimb,
JL-06775,06/29/2026,4010,4100,Service Revenue,504.92,Job 2281,
JL-02152,06/30/2026,4020,4100,Service Revenue,1468.59,Job 2293,
JL-02988,06/30/2026,6120,6600,Telecommunications,89.00,,
JL-06886,07/01/2026,5010,5100,Job Materials,1628.19,Materials job 2297,
JL-01481,07/01/2026,5020,5100,Job Materials,499.24,Materials job 2297,
JL-06659,07/01/2026,6180,6150,Small Tools & Supplies,1232.41,Trailer-mounted wire puller,
JL-06699,07/01/2026,6520,6700,Insurance,388.44,see receipt,
JL-03914,07/02/2026,4030,4200,Materials Billed,839.76,Job 2375,
JL-01163,07/04/2026,5020,5100,Job Materials,1271.81,Materials job 2344,
JL-04776,07/07/2026,6310,6400,Vehicle Expenses,148.04,,
JL-06993,07/08/2026,4020,4100,Service Revenue,1922.58,Job 2359,
JL-02155,07/09/2026,6310,6400,Vehicle Expenses,-33.82,see receipt,
JL-03347,07/10/2026,6170,6150,Small Tools & Supplies,19.54,reimb,
JL-04407,07/14/2026,4010,4100,Service Revenue,211.73,Job 2311,
JL-01052,07/14/2026,6180,6150,Small Tools & Supplies,198.09,Fish tape,
JL-04355,07/17/2026,4020,4100,Service Revenue,6886.50,Job 2312,
JL-03018,07/24/2026,4020,4100,Service Revenue,2862.10,Job 2267,
JL-01117,07/25/2026,5010,5100,Job Materials,274.26,Materials job 2334,
JL-05804,07/25/2026,6180,6150,Small Tools & Supplies,143.98,Fish tape,
JL-07047,07/27/2026,4020,4100,Service Revenue,5923.94,Job 2203,
JL-01403,07/27/2026,6440,6800,Licenses & Permits,143.10,monthly,
JL-04815,07/28/2026,6310,6400,Vehicle Expenses,104.26,see receipt,
JL-03324,07/30/2026,6725,,,454.55,reimb,NEEDS MAPPING
JL-04063,08/01/2026,6180,6150,Small Tools & Supplies,676.49,Strippers,
JL-08439,08/02/2026,6180,6150,Small Tools & Supplies,371.80,Tape & blades,
JL-02841,08/03/2026,6170,6150,Small Tools & Supplies,241.52,,
JL-08810,08/04/2026,5020,5100,Job Materials,1181.29,Materials job 2363,
JL-06643,08/04/2026,6440,6800,Licenses & Permits,318.65,reimb,
JL-05230,08/05/2026,5010,5100,Job Materials,1742.43,Materials job 2320,
JL-03132,08/05/2026,6120,6600,Telecommunications,89.00,reimb,
JL-01457,08/06/2026,4010,4100,Service Revenue,1681.17,Job 2374,
JL-04409,08/06/2026,6170,6150,Small Tools & Supplies,325.04,reimb,
JL-06934,08/11/2026,5020,5100,Job Materials,139.62,Materials job 2356,
JL-06488,08/12/2026,4010,4100,Service Revenue,1275.74,Job 2381,
JL-08755,08/13/2026,5010,5100,Job Materials,1193.23,Materials job 2272,
JL-05794,08/13/2026,6510,6700,Insurance,640.00,monthly,
JL-06357,08/14/2026,6330,6400,Vehicle Expenses,410.00,,
JL-04015,08/18/2026,6725,,,211.12,see receipt,NEEDS MAPPING
JL-02323,08/20/2026,6330,6400,Vehicle Expenses,410.00,,
JL-02680,08/23/2026,5030,5200,Subcontractors,3943.14,Materials job 2374,
JL-09736,08/24/2026,6320,6400,Vehicle Expenses,1024.92,,
JL-06042,08/24/2026,6510,6700,Insurance,640.00,reimb,
JL-03562,08/25/2026,6310,6400,Vehicle Expenses,237.30,reimb,
JL-07170,08/26/2026,6440,6800,Licenses & Permits,407.74,monthly,
JL-03407,08/28/2026,6999,,,789.08,reimb,NEEDS MAPPING
JL-03051,08/30/2026,6170,6150,Small Tools & Supplies,360.47,see receipt,
