Series key,EXR.D.USD.EUR.SP00.A
Title,ECB reference exchange rate - US dollar per 1 euro - 2:15 pm (C.E.T.)
Note,No rate is published on TARGET closing days; those dates are blank

DATE,TIME PERIOD,US dollar/Euro (EXR.D.USD.EUR.SP00.A)
2026-06-09,09 Jun 2026,1.1213
2026-06-10,10 Jun 2026,1.1186
2026-06-11,11 Jun 2026,1.1216
2026-06-12,12 Jun 2026,1.1231
2026-06-15,15 Jun 2026,1.1195
2026-06-16,16 Jun 2026,1.1131
2026-06-17,17 Jun 2026,1.1030
2026-06-18,18 Jun 2026,1.1072
2026-06-19,19 Jun 2026,1.1053
2026-06-22,22 Jun 2026,1.1023
2026-06-23,23 Jun 2026,1.1000
2026-06-24,24 Jun 2026,1.0960
2026-06-25,25 Jun 2026,1.0993
2026-06-26,26 Jun 2026,1.1025
2026-06-29,29 Jun 2026,1.0922
2026-06-30,30 Jun 2026,1.0923
2026-07-01,01 Jul 2026,1.0930
2026-07-02,02 Jul 2026,1.0917
2026-07-03,03 Jul 2026,1.0924
2026-07-06,06 Jul 2026,1.1004
2026-07-07,07 Jul 2026,1.1021
2026-07-08,08 Jul 2026,1.1079
2026-07-09,09 Jul 2026,1.1128
2026-07-10,10 Jul 2026,1.1060
2026-07-13,13 Jul 2026,1.1145
2026-07-14,14 Jul 2026,1.1157
2026-07-15,15 Jul 2026,1.1146
2026-07-16,16 Jul 2026,1.1187
2026-07-17,17 Jul 2026,1.1293
2026-07-20,20 Jul 2026,1.1259
2026-07-21,21 Jul 2026,1.1229
2026-07-22,22 Jul 2026,1.1248
2026-07-23,23 Jul 2026,1.1168
2026-07-24,24 Jul 2026,1.1118
2026-07-27,27 Jul 2026,1.1123
2026-07-28,28 Jul 2026,1.1160
2026-07-29,29 Jul 2026,1.1188
2026-07-30,30 Jul 2026,1.1229
2026-07-31,31 Jul 2026,1.1282
2026-08-03,03 Aug 2026,1.1264
2026-08-04,04 Aug 2026,1.1250
2026-08-05,05 Aug 2026,1.1238
2026-08-06,06 Aug 2026,1.1225
2026-08-07,07 Aug 2026,1.1279
2026-08-10,10 Aug 2026,1.1322
2026-08-11,11 Aug 2026,1.1228
2026-08-12,12 Aug 2026,1.1253
2026-08-13,13 Aug 2026,1.1205
2026-08-14,14 Aug 2026,1.1156
2026-08-17,17 Aug 2026,1.1218
2026-08-18,18 Aug 2026,1.1283
2026-08-19,19 Aug 2026,1.1340
2026-08-20,20 Aug 2026,1.1374
2026-08-21,21 Aug 2026,1.1461
2026-08-24,24 Aug 2026,1.1410
2026-08-25,25 Aug 2026,1.1452
2026-08-26,26 Aug 2026,1.1422
2026-08-27,27 Aug 2026,1.1396
2026-08-28,28 Aug 2026,1.1322
2026-08-31,31 Aug 2026,1.1395
