Order #,Order Date,Account,Import Batch,SKU,Product,Bags,Unit Price,Line Total
W-58275,07/20/2026,Larkspur Yoga,B0720-2,TL-MC-1,Masala Chai 1kg,12,$41.00,$492.00
W-58276,07/20/2026,Fernbrook Montessori,B0720-2,TL-YG-1,Yunnan Gold 1kg,4,$58.00,$232.00
W-58277,07/21/2026,Wren & Sparrow Bookshop,B0721-1,TL-EG-1,Earl Grey Cream 1kg,10,$44.00,$440.00
W-58277,07/21/2026,Wren & Sparrow Bookshop,B0721-1,TL-MC-1,Masala Chai 1kg,4,$41.00,$164.00
W-58278,07/21/2026,Zephyr Bike Works,B0721-1,TL-EG-1,Earl Grey Cream 1kg,8,$44.00,$352.00
W-58278,07/21/2026,Zephyr Bike Works,B0721-1,TL-AB-1,Assam Breakfast 1kg,10,$38.00,$380.00
W-58279,07/21/2026,Fernbrook Montessori,B0721-1,TL-YG-1,Yunnan Gold 1kg,4,$58.00,$232.00
W-58280,07/21/2026,Fernbrook Montessori,B0721-1,TL-AB-1,Assam Breakfast 1kg,10,$38.00,$380.00
W-58280,07/21/2026,Fernbrook Montessori,B0721-1,TL-MC-1,Masala Chai 1kg,10,$41.00,$410.00
W-58281,07/21/2026,Wren & Sparrow Bookshop,B0721-1,TL-SK-1,Sencha Kagoshima 1kg,8,$62.00,$496.00
W-58281,07/21/2026,Wren & Sparrow Bookshop,B0721-1,TL-MC-1,Masala Chai 1kg,5,$41.00,$205.00
W-58281,07/21/2026,Wren & Sparrow Bookshop,B0721-1,TL-EG-1,Earl Grey Cream 1kg,8,$44.00,$352.00
W-58282,07/22/2026,Uptown Fitness,B0722-1,TL-YG-1,Yunnan Gold 1kg,12,$58.00,$696.00
W-58282,07/22/2026,Uptown Fitness,B0722-1,TL-EG-1,Earl Grey Cream 1kg,4,$44.00,$176.00
W-58283,07/22/2026,Harbor Light Marine,B0722-1,TL-MC-1,Masala Chai 1kg,8,$41.00,$328.00
W-58283,07/22/2026,Harbor Light Marine,B0722-1,TL-EG-1,Earl Grey Cream 1kg,2,$44.00,$88.00
W-58283,07/22/2026,Harbor Light Marine,B0722-1,TL-AB-1,Assam Breakfast 1kg,10,$38.00,$380.00
W-58284,07/22/2026,Zephyr Bike Works,B0722-1,TL-SK-1,Sencha Kagoshima 1kg,6,$62.00,$372.00
W-58285,07/23/2026,Ellington Bakeries,B0723-1,TL-EG-1,Earl Grey Cream 1kg,4,$44.00,$176.00
W-58285,07/23/2026,Ellington Bakeries,B0723-1,TL-AB-1,Assam Breakfast 1kg,10,$38.00,$380.00
W-58286,07/23/2026,Wren & Sparrow Bookshop,B0723-1,TL-MC-1,Masala Chai 1kg,10,$41.00,$410.00
W-58287,07/23/2026,Meridian Title,B0723-2,TL-SK-1,Sencha Kagoshima 1kg,10,$62.00,$620.00
W-58288,07/23/2026,Juniper Street Cafe,B0723-2,TL-AB-1,Assam Breakfast 1kg,3,$38.00,$114.00
W-58289,07/23/2026,Meridian Title,B0723-2,TL-AB-1,Assam Breakfast 1kg,4,$38.00,$152.00
W-58289,07/23/2026,Meridian Title,B0723-2,TL-CB-1,Chamomile Blossom 1kg,2,$36.00,$72.00
W-58289,07/23/2026,Meridian Title,B0723-2,TL-YG-1,Yunnan Gold 1kg,3,$58.00,$174.00
W-58290,07/23/2026,Ellington Bakeries,B0723-2,TL-SK-1,Sencha Kagoshima 1kg,12,$62.00,$744.00
W-58290,07/23/2026,Ellington Bakeries,B0723-2,TL-YG-1,Yunnan Gold 1kg,6,$58.00,$348.00
W-58291,07/24/2026,Riverbend Physio,B0724-1,TL-EG-1,Earl Grey Cream 1kg,6,$44.00,$264.00
W-58291,07/24/2026,Riverbend Physio,B0724-1,TL-AB-1,Assam Breakfast 1kg,2,$38.00,$76.00
W-58291,07/24/2026,Riverbend Physio,B0724-1,TL-SK-1,Sencha Kagoshima 1kg,3,$62.00,$186.00
W-58292,07/24/2026,Uptown Fitness,B0724-1,TL-EG-1,Earl Grey Cream 1kg,4,$44.00,$176.00
W-58293,07/24/2026,Blue Heron Consulting,B0724-1,TL-YG-1,Yunnan Gold 1kg,10,$58.00,$580.00
W-58293,07/24/2026,Blue Heron Consulting,B0724-1,TL-CB-1,Chamomile Blossom 1kg,5,$36.00,$180.00
W-58294,07/24/2026,Larkspur Yoga,B0724-1,TL-YG-1,Yunnan Gold 1kg,4,$58.00,$232.00
W-58294,07/24/2026,Larkspur Yoga,B0724-1,TL-EG-1,Earl Grey Cream 1kg,8,$44.00,$352.00
W-58294,07/24/2026,Larkspur Yoga,B0724-1,TL-CB-1,Chamomile Blossom 1kg,5,$36.00,$180.00
W-58295,07/25/2026,Tamarack Brewing,B0725-1,TL-YG-1,Yunnan Gold 1kg,6,$58.00,$348.00
W-58295,07/25/2026,Tamarack Brewing,B0725-1,TL-AB-1,Assam Breakfast 1kg,3,$38.00,$114.00
W-58296,07/25/2026,Uptown Fitness,B0725-1,TL-EG-1,Earl Grey Cream 1kg,10,$44.00,$440.00
W-58297,07/25/2026,Umber Ceramics,B0725-1,TL-MC-1,Masala Chai 1kg,2,$41.00,$82.00
W-58297,07/25/2026,Umber Ceramics,B0725-1,TL-AB-1,Assam Breakfast 1kg,12,$38.00,$456.00
W-58298,07/25/2026,Meridian Title,B0725-1,TL-YG-1,Yunnan Gold 1kg,12,$58.00,$696.00
W-58298,07/25/2026,Meridian Title,B0725-1,TL-AB-1,Assam Breakfast 1kg,2,$38.00,$76.00
W-58298,07/25/2026,Meridian Title,B0725-1,TL-EG-1,Earl Grey Cream 1kg,3,$44.00,$132.00
W-58299,07/27/2026,Harbor Light Marine,B0727-1,TL-EG-1,Earl Grey Cream 1kg,6,$44.00,$264.00
W-58299,07/27/2026,Harbor Light Marine,B0727-1,TL-CB-1,Chamomile Blossom 1kg,2,$36.00,$72.00
W-58300,07/27/2026,Fernbrook Montessori,B0727-1,TL-AB-1,Assam Breakfast 1kg,3,$38.00,$114.00
W-58301,07/27/2026,Larkspur Yoga,B0727-2,TL-AB-1,Assam Breakfast 1kg,2,$38.00,$76.00
W-58301,07/27/2026,Larkspur Yoga,B0727-2,TL-YG-1,Yunnan Gold 1kg,8,$58.00,$464.00
W-58302,07/27/2026,Larkspur Yoga,B0727-2,TL-AB-1,Assam Breakfast 1kg,8,$38.00,$304.00
W-58303,07/27/2026,Kestrel Analytics,B0727-2,TL-YG-1,Yunnan Gold 1kg,3,$58.00,$174.00
W-58303,07/27/2026,Kestrel Analytics,B0727-2,TL-EG-1,Earl Grey Cream 1kg,5,$44.00,$220.00
W-58304,07/27/2026,Saltmarsh Kayaks,B0727-2,TL-EG-1,Earl Grey Cream 1kg,8,$44.00,$352.00
W-58304,07/27/2026,Saltmarsh Kayaks,B0727-2,TL-AB-1,Assam Breakfast 1kg,12,$38.00,$456.00
W-58305,07/28/2026,Fernbrook Montessori,B0728-1,TL-EG-1,Earl Grey Cream 1kg,10,$44.00,$440.00
W-58305,07/28/2026,Fernbrook Montessori,B0728-1,TL-SK-1,Sencha Kagoshima 1kg,2,$62.00,$124.00
W-58305,07/28/2026,Fernbrook Montessori,B0728-1,TL-MC-1,Masala Chai 1kg,3,$41.00,$123.00
W-58306,07/28/2026,Fernbrook Montessori,B0728-1,TL-AB-1,Assam Breakfast 1kg,3,$38.00,$114.00
W-58306,07/28/2026,Fernbrook Montessori,B0728-1,TL-YG-1,Yunnan Gold 1kg,2,$58.00,$116.00
W-58307,07/29/2026,Uptown Fitness,B0729-1,TL-AB-1,Assam Breakfast 1kg,12,$38.00,$456.00
W-58307,07/29/2026,Uptown Fitness,B0729-1,TL-EG-1,Earl Grey Cream 1kg,10,$44.00,$440.00
W-58308,07/29/2026,Ellington Bakeries,B0729-1,TL-YG-1,Yunnan Gold 1kg,10,$58.00,$580.00
W-58309,07/29/2026,Tamarack Brewing,B0729-1,TL-YG-1,Yunnan Gold 1kg,4,$58.00,$232.00
W-58309,07/29/2026,Tamarack Brewing,B0729-1,TL-EG-1,Earl Grey Cream 1kg,3,$44.00,$132.00
W-58309,07/29/2026,Tamarack Brewing,B0729-1,TL-MC-1,Masala Chai 1kg,10,$41.00,$410.00
W-58310,07/29/2026,Umber Ceramics,B0729-1,TL-MC-1,Masala Chai 1kg,2,$41.00,$82.00
W-58310,07/29/2026,Umber Ceramics,B0729-1,TL-AB-1,Assam Breakfast 1kg,6,$38.00,$228.00
W-58310,07/29/2026,Umber Ceramics,B0729-1,TL-YG-1,Yunnan Gold 1kg,3,$58.00,$174.00
W-58311,07/29/2026,Zephyr Bike Works,B0729-1,TL-EG-1,Earl Grey Cream 1kg,2,$44.00,$88.00
W-58311,07/29/2026,Zephyr Bike Works,B0729-1,TL-MC-1,Masala Chai 1kg,2,$41.00,$82.00
W-58311,07/29/2026,Zephyr Bike Works,B0729-1,TL-AB-1,Assam Breakfast 1kg,6,$38.00,$228.00
W-58312,07/30/2026,Riverbend Physio,B0730-1,TL-AB-1,Assam Breakfast 1kg,8,$38.00,$304.00
W-58312,07/30/2026,Riverbend Physio,B0730-1,TL-EG-1,Earl Grey Cream 1kg,8,$44.00,$352.00
W-58313,07/30/2026,Ellington Bakeries,B0730-1,TL-EG-1,Earl Grey Cream 1kg,8,$44.00,$352.00
W-58314,07/30/2026,Juniper Street Cafe,B0730-1,TL-AB-1,Assam Breakfast 1kg,10,$38.00,$380.00
W-58314,07/30/2026,Juniper Street Cafe,B0730-1,TL-YG-1,Yunnan Gold 1kg,2,$58.00,$116.00
W-58315,07/30/2026,Zephyr Bike Works,B0730-2,TL-AB-1,Assam Breakfast 1kg,2,$38.00,$76.00
W-58316,07/30/2026,Harbor Light Marine,B0730-2,TL-MC-1,Masala Chai 1kg,2,$41.00,$82.00
W-58316,07/30/2026,Harbor Light Marine,B0730-2,TL-EG-1,Earl Grey Cream 1kg,8,$44.00,$352.00
W-58317,07/31/2026,Saltmarsh Kayaks,B0731-1,TL-EG-1,Earl Grey Cream 1kg,4,$44.00,$176.00
W-58317,07/31/2026,Saltmarsh Kayaks,B0731-1,TL-AB-1,Assam Breakfast 1kg,6,$38.00,$228.00
W-58318,07/31/2026,Zephyr Bike Works,B0731-1,TL-YG-1,Yunnan Gold 1kg,6,$58.00,$348.00
W-58318,07/31/2026,Zephyr Bike Works,B0731-1,TL-AB-1,Assam Breakfast 1kg,8,$38.00,$304.00
W-58318,07/31/2026,Zephyr Bike Works,B0731-1,TL-SK-1,Sencha Kagoshima 1kg,4,$62.00,$248.00
W-58319,07/31/2026,Harbor Light Marine,B0731-1,TL-EG-1,Earl Grey Cream 1kg,12,$44.00,$528.00
W-58319,07/31/2026,Harbor Light Marine,B0731-1,TL-MC-1,Masala Chai 1kg,10,$41.00,$410.00
W-58319,07/31/2026,Harbor Light Marine,B0731-1,TL-YG-1,Yunnan Gold 1kg,6,$58.00,$348.00
W-58320,08/01/2026,Blue Heron Consulting,B0801-1,TL-EG-1,Earl Grey Cream 1kg,4,$44.00,$176.00
W-58320,08/01/2026,Blue Heron Consulting,B0801-1,TL-AB-1,Assam Breakfast 1kg,3,$38.00,$114.00
W-58321,08/01/2026,Riverbend Physio,B0801-1,TL-EG-1,Earl Grey Cream 1kg,5,$44.00,$220.00
W-58321,08/01/2026,Riverbend Physio,B0801-1,TL-MC-1,Masala Chai 1kg,5,$41.00,$205.00
W-58322,08/01/2026,Larkspur Yoga,B0801-1,TL-AB-1,Assam Breakfast 1kg,12,$38.00,$456.00
W-58322,08/01/2026,Larkspur Yoga,B0801-1,TL-EG-1,Earl Grey Cream 1kg,3,$44.00,$132.00
W-58323,08/01/2026,Wren & Sparrow Bookshop,B0801-1,TL-MC-1,Masala Chai 1kg,10,$41.00,$410.00
W-58323,08/01/2026,Wren & Sparrow Bookshop,B0801-1,TL-YG-1,Yunnan Gold 1kg,6,$58.00,$348.00
W-58323,08/01/2026,Wren & Sparrow Bookshop,B0801-1,TL-AB-1,Assam Breakfast 1kg,8,$38.00,$304.00
W-58324,08/01/2026,Driftwood Studio,B0801-1,TL-AB-1,Assam Breakfast 1kg,2,$38.00,$76.00
W-58324,08/01/2026,Driftwood Studio,B0801-1,TL-EG-1,Earl Grey Cream 1kg,5,$44.00,$220.00
W-58324,08/01/2026,Driftwood Studio,B0801-1,TL-MC-1,Masala Chai 1kg,12,$41.00,$492.00
W-58325,08/03/2026,Juniper Street Cafe,B0803-1,TL-EG-1,Earl Grey Cream 1kg,2,$44.00,$88.00
W-58325,08/03/2026,Juniper Street Cafe,B0803-1,TL-SK-1,Sencha Kagoshima 1kg,8,$62.00,$496.00
W-58326,08/03/2026,Harbor Light Marine,B0803-1,TL-AB-1,Assam Breakfast 1kg,3,$38.00,$114.00
W-58326,08/03/2026,Harbor Light Marine,B0803-1,TL-MC-1,Masala Chai 1kg,4,$41.00,$164.00
W-58327,08/03/2026,Saltmarsh Kayaks,B0803-1,TL-EG-1,Earl Grey Cream 1kg,6,$44.00,$264.00
W-58327,08/03/2026,Saltmarsh Kayaks,B0803-1,TL-AB-1,Assam Breakfast 1kg,12,$38.00,$456.00
