Statement;Settlement period;Order date;Order no.;Ship country;Item total (EUR);Marketplace fee (EUR);Payout (EUR)
2026-01;16.12.2025 - 15.01.2026;10.01.2026;306-9493305-3054210;NL;88,91;-10,97;77,94
2026-01;16.12.2025 - 15.01.2026;11.01.2026;305-6619115-6950545;AT;25,58;-3,37;22,21
2026-01;16.12.2025 - 15.01.2026;12.01.2026;302-3757998-5249892;DE;1.667,89;-200,45;1.467,44
2026-01;16.12.2025 - 15.01.2026;12.01.2026;302-9796354-3907753;DE;1.524,71;-183,27;1.341,44
2026-01;16.12.2025 - 15.01.2026;13.01.2026;302-4275606-4045085;AT;131,39;-16,07;115,32
2026-01;16.12.2025 - 15.01.2026;13.01.2026;303-9228962-9487485;FR;71,72;-8,91;62,81
2026-01;16.12.2025 - 15.01.2026;14.01.2026;302-8255633-6764687;FR;1.033,63;-124,34;909,29
2026-01;16.12.2025 - 15.01.2026;14.01.2026;306-8151122-8952754;FR;132,69;-16,22;116,47
2026-02;16.01.2026 - 15.02.2026;16.01.2026;304-9798827-6058692;BE;38,68;-4,94;33,74
2026-02;16.01.2026 - 15.02.2026;16.01.2026;305-9406982-9012907;IE;102,49;-12,60;89,89
2026-02;16.01.2026 - 15.02.2026;17.01.2026;302-1769203-8676857;IE;49,39;-6,23;43,16
2026-02;16.01.2026 - 15.02.2026;17.01.2026;305-4508914-8985943;FR;46,63;-5,90;40,73
2026-02;16.01.2026 - 15.02.2026;18.01.2026;304-1906470-6141211;BE;127,95;-15,65;112,30
2026-02;16.01.2026 - 15.02.2026;18.01.2026;305-1910167-2865998;FR;36,24;-4,65;31,59
2026-02;16.01.2026 - 15.02.2026;20.01.2026;302-4499109-2371316;FR;89,11;-10,99;78,12
2026-02;16.01.2026 - 15.02.2026;22.01.2026;303-5937345-7872971;FR;95,81;-11,80;84,01
2026-02;16.01.2026 - 15.02.2026;22.01.2026;303-9458646-7136891;NL;133,52;-16,32;117,20
2026-02;16.01.2026 - 15.02.2026;23.01.2026;305-2244962-4338486;BE;129,33;-15,82;113,51
2026-02;16.01.2026 - 15.02.2026;24.01.2026;303-5085170-7621618;BE;92,49;-11,40;81,09
2026-02;16.01.2026 - 15.02.2026;25.01.2026;304-7041446-1024548;NL;104,69;-12,86;91,83
2026-02;16.01.2026 - 15.02.2026;26.01.2026;302-7220309-8331515;FR;99,35;-12,22;87,13
2026-02;16.01.2026 - 15.02.2026;27.01.2026;302-5903791-5632573;BE;130,75;-15,99;114,76
2026-02;16.01.2026 - 15.02.2026;27.01.2026;302-9252565-2928809;AT;1.225,08;-147,31;1.077,77
2026-02;16.01.2026 - 15.02.2026;28.01.2026;304-8327841-7253465;AT;108,18;-13,28;94,90
2026-02;16.01.2026 - 15.02.2026;28.01.2026;306-9578667-3735757;DE;90,03;-11,10;78,93
2026-02;16.01.2026 - 15.02.2026;29.01.2026;302-4661554-1053200;DE;135,44;-16,55;118,89
2026-02;16.01.2026 - 15.02.2026;30.01.2026;302-1922973-1150362;DE;120,45;-14,75;105,70
2026-02;16.01.2026 - 15.02.2026;31.01.2026;306-1147626-4546021;IE;112,43;-13,79;98,64
2026-02;16.01.2026 - 15.02.2026;31.01.2026;306-9749594-5217451;AT;54,15;-6,80;47,35
2026-02;16.01.2026 - 15.02.2026;01.02.2026;303-8593928-1593022;FR;124,55;-15,25;109,30
2026-02;16.01.2026 - 15.02.2026;02.02.2026;303-9482785-2571637;DE;20,90;-2,81;18,09
2026-02;16.01.2026 - 15.02.2026;03.02.2026;302-1986441-6265681;DE;55,20;-6,92;48,28
2026-02;16.01.2026 - 15.02.2026;05.02.2026;304-6776785-1978300;DE;24,13;-3,20;20,93
2026-02;16.01.2026 - 15.02.2026;06.02.2026;303-2999743-1963838;AT;46,11;-5,83;40,28
2026-02;16.01.2026 - 15.02.2026;08.02.2026;303-5800152-5229954;BE;29,40;-3,83;25,57
2026-02;16.01.2026 - 15.02.2026;08.02.2026;304-4268180-6465436;FR;104,99;-12,90;92,09
2026-02;16.01.2026 - 15.02.2026;09.02.2026;306-7416432-7484955;DE;123,04;-15,06;107,98
2026-02;16.01.2026 - 15.02.2026;10.02.2026;305-6766414-3996759;DE;118,01;-14,46;103,55
2026-02;16.01.2026 - 15.02.2026;11.02.2026;304-9929990-6097110;FR;113,91;-13,97;99,94
2026-02;16.01.2026 - 15.02.2026;12.02.2026;304-7644613-8907359;DE;62,36;-7,78;54,58
2026-02;16.01.2026 - 15.02.2026;13.02.2026;306-3126634-3508112;DE;38,99;-4,98;34,01
2026-02;16.01.2026 - 15.02.2026;14.02.2026;303-2336957-5259450;AT;37,12;-4,75;32,37
2026-02;16.01.2026 - 15.02.2026;15.02.2026;305-6196580-2296253;BE;39,41;-5,03;34,38
2026-03;16.02.2026 - 15.03.2026;16.02.2026;302-3614004-6298961;DE;124,48;-15,24;109,24
2026-03;16.02.2026 - 15.03.2026;17.02.2026;302-4215581-6972642;FR;82,62;-10,21;72,41
2026-03;16.02.2026 - 15.03.2026;17.02.2026;306-7283547-6739101;DE;122,57;-15,01;107,56
2026-03;16.02.2026 - 15.03.2026;18.02.2026;304-4526032-2046545;AT;22,88;-3,05;19,83
2026-03;16.02.2026 - 15.03.2026;19.02.2026;304-1829690-4888170;NL;66,95;-8,33;58,62
2026-03;16.02.2026 - 15.03.2026;20.02.2026;303-4737282-7188892;NL;42,24;-5,37;36,87
2026-03;16.02.2026 - 15.03.2026;20.02.2026;304-9568030-9544008;BE;46,14;-5,84;40,30
2026-03;16.02.2026 - 15.03.2026;21.02.2026;306-6966480-4279394;BE;75,52;-9,36;66,16
2026-03;16.02.2026 - 15.03.2026;23.02.2026;303-4493829-1355668;DE;109,80;-13,48;96,32
2026-03;16.02.2026 - 15.03.2026;24.02.2026;304-2383452-4981620;AT;24,87;-3,28;21,59
2026-03;16.02.2026 - 15.03.2026;26.02.2026;304-3768287-1301115;AT;42,36;-5,38;36,98
2026-03;16.02.2026 - 15.03.2026;27.02.2026;302-7153417-9387888;FR;84,70;-10,46;74,24
2026-03;16.02.2026 - 15.03.2026;28.02.2026;306-6227145-6330969;DE;79,83;-9,88;69,95
2026-03;16.02.2026 - 15.03.2026;01.03.2026;304-2055809-6418206;DE;120,28;-14,73;105,55
2026-03;16.02.2026 - 15.03.2026;02.03.2026;304-5234561-6137410;IE;45,87;-5,80;40,07
2026-03;16.02.2026 - 15.03.2026;03.03.2026;304-1815362-2942896;BE;54,05;-6,79;47,26
2026-03;16.02.2026 - 15.03.2026;04.03.2026;304-9290479-5719507;NL;44,87;-5,68;39,19
2026-03;16.02.2026 - 15.03.2026;05.03.2026;302-7660658-6987124;AT;36,00;-4,62;31,38
2026-03;16.02.2026 - 15.03.2026;05.03.2026;305-5075111-1633420;AT;72,46;-9,00;63,46
2026-03;16.02.2026 - 15.03.2026;07.03.2026;302-7476127-8558721;DE;78,16;-9,68;68,48
2026-03;16.02.2026 - 15.03.2026;07.03.2026;305-9124498-6490514;DE;80,80;-10,00;70,80
2026-03;16.02.2026 - 15.03.2026;08.03.2026;304-2480507-8413209;FR;97,81;-12,04;85,77
2026-03;16.02.2026 - 15.03.2026;08.03.2026;304-6920768-8344665;AT;25,14;-3,32;21,82
2026-03;16.02.2026 - 15.03.2026;09.03.2026;302-7108078-6657282;DE;71,62;-8,89;62,73
2026-03;16.02.2026 - 15.03.2026;10.03.2026;303-1996460-8450889;DE;20,00;-2,70;17,30
2026-03;16.02.2026 - 15.03.2026;10.03.2026;305-3069320-6281701;NL;136,52;-16,68;119,84
2026-03;16.02.2026 - 15.03.2026;11.03.2026;303-9896310-6170030;AT;58,26;-7,29;50,97
2026-03;16.02.2026 - 15.03.2026;12.03.2026;304-3593686-1108020;FR;112,71;-13,83;98,88
2026-03;16.02.2026 - 15.03.2026;12.03.2026;306-6219303-3848404;NL;74,70;-9,26;65,44
2026-03;16.02.2026 - 15.03.2026;14.03.2026;303-8374637-8539797;IE;96,91;-11,93;84,98
2026-03;16.02.2026 - 15.03.2026;15.03.2026;302-2632392-7502187;DE;25,43;-3,35;22,08
2026-04;16.03.2026 - 15.04.2026;16.03.2026;306-1610822-4253404;IE;75,53;-9,36;66,17
2026-04;16.03.2026 - 15.04.2026;17.03.2026;303-5584958-4026690;DE;127,60;-15,61;111,99
2026-04;16.03.2026 - 15.04.2026;18.03.2026;302-7515032-1902500;IE;124,77;-15,27;109,50
2026-04;16.03.2026 - 15.04.2026;18.03.2026;306-4855589-8476918;FR;98,94;-12,17;86,77
2026-04;16.03.2026 - 15.04.2026;19.03.2026;306-2611099-3754684;BE;74,37;-9,22;65,15
2026-04;16.03.2026 - 15.04.2026;20.03.2026;303-4246340-4774412;AT;60,64;-7,58;53,06
2026-04;16.03.2026 - 15.04.2026;20.03.2026;306-9015527-9481315;DE;124,13;-15,20;108,93
2026-04;16.03.2026 - 15.04.2026;21.03.2026;302-8133736-1882195;IE;37,54;-4,80;32,74
2026-04;16.03.2026 - 15.04.2026;22.03.2026;304-7677808-1237611;BE;85,67;-10,58;75,09
2026-04;16.03.2026 - 15.04.2026;23.03.2026;304-7492189-6253719;NL;54,90;-6,89;48,01
2026-04;16.03.2026 - 15.04.2026;24.03.2026;303-8696361-2769675;DE;40,39;-5,15;35,24
2026-04;16.03.2026 - 15.04.2026;25.03.2026;305-6721580-6365484;IE;137,36;-16,78;120,58
2026-04;16.03.2026 - 15.04.2026;25.03.2026;306-4659693-3786411;AT;101,23;-12,45;88,78
2026-04;16.03.2026 - 15.04.2026;26.03.2026;303-1866182-6384526;DE;89,74;-11,07;78,67
2026-04;16.03.2026 - 15.04.2026;26.03.2026;304-7031730-7066061;BE;131,17;-16,04;115,13
2026-04;16.03.2026 - 15.04.2026;27.03.2026;304-4768201-6260299;BE;120,57;-14,77;105,80
2026-04;16.03.2026 - 15.04.2026;28.03.2026;302-7521266-6874696;AT;111,06;-13,63;97,43
2026-04;16.03.2026 - 15.04.2026;28.03.2026;304-7454054-4418568;NL;116,92;-14,33;102,59
2026-04;16.03.2026 - 15.04.2026;30.03.2026;305-3570965-2868994;DE;1.251,69;-150,50;1.101,19
2026-04;16.03.2026 - 15.04.2026;31.03.2026;306-9773344-5650462;AT;71,00;-8,82;62,18
2026-04;16.03.2026 - 15.04.2026;01.04.2026;303-3461122-3010533;IE;134,43;-16,43;118,00
2026-04;16.03.2026 - 15.04.2026;02.04.2026;303-9337442-9199416;DE;39,72;-5,07;34,65
2026-04;16.03.2026 - 15.04.2026;02.04.2026;304-6322969-3299957;DE;70,32;-8,74;61,58
2026-04;16.03.2026 - 15.04.2026;03.04.2026;304-2088031-7436293;IE;52,33;-6,58;45,75
2026-04;16.03.2026 - 15.04.2026;03.04.2026;306-3395281-4507101;FR;82,41;-10,19;72,22
2026-04;16.03.2026 - 15.04.2026;05.04.2026;303-2205897-2776540;DE;116,54;-14,28;102,26
2026-04;16.03.2026 - 15.04.2026;05.04.2026;303-4458417-1084855;NL;42,44;-5,39;37,05
2026-04;16.03.2026 - 15.04.2026;06.04.2026;306-9769939-9101886;NL;72,00;-8,94;63,06
2026-04;16.03.2026 - 15.04.2026;07.04.2026;305-7901913-8318200;FR;96,12;-11,83;84,29
2026-04;16.03.2026 - 15.04.2026;08.04.2026;303-4993006-5025864;DE;42,28;-5,37;36,91
2026-04;16.03.2026 - 15.04.2026;08.04.2026;306-8395129-2600111;DE;65,84;-8,20;57,64
2026-04;16.03.2026 - 15.04.2026;09.04.2026;302-1743610-8217311;NL;116,45;-14,27;102,18
2026-04;16.03.2026 - 15.04.2026;10.04.2026;304-7958013-6735042;DE;47,05;-5,95;41,10
2026-04;16.03.2026 - 15.04.2026;11.04.2026;302-8327506-3495424;DE;121,56;-14,89;106,67
2026-04;16.03.2026 - 15.04.2026;11.04.2026;306-7107876-2007734;FR;100,96;-12,42;88,54
2026-04;16.03.2026 - 15.04.2026;12.04.2026;305-1449041-9104764;DE;53,30;-6,70;46,60
2026-04;16.03.2026 - 15.04.2026;13.04.2026;305-7880704-5056615;BE;99,21;-12,21;87,00
2026-04;16.03.2026 - 15.04.2026;13.04.2026;306-9410570-2625189;DE;74,90;-9,29;65,61
2026-04;16.03.2026 - 15.04.2026;14.04.2026;302-2128310-4534648;FR;56,75;-7,11;49,64
2026-05;16.04.2026 - 15.05.2026;17.04.2026;302-2468128-1060254;BE;126,85;-15,52;111,33
2026-05;16.04.2026 - 15.05.2026;18.04.2026;302-8197725-6003487;BE;77,02;-9,54;67,48
2026-05;16.04.2026 - 15.05.2026;19.04.2026;304-9014642-8409377;DE;137,50;-16,80;120,70
2026-05;16.04.2026 - 15.05.2026;19.04.2026;304-9025091-8346516;AT;89,83;-11,08;78,75
2026-05;16.04.2026 - 15.05.2026;20.04.2026;305-8642754-5961087;DE;107,67;-13,22;94,45
2026-05;16.04.2026 - 15.05.2026;21.04.2026;305-7684660-9009516;AT;97,38;-11,99;85,39
2026-05;16.04.2026 - 15.05.2026;22.04.2026;305-2942766-7033246;NL;1.675,48;-201,36;1.474,12
2026-05;16.04.2026 - 15.05.2026;23.04.2026;304-3324289-2792337;DE;83,40;-10,31;73,09
2026-05;16.04.2026 - 15.05.2026;24.04.2026;306-6464971-7229208;DE;72,04;-8,94;63,10
2026-05;16.04.2026 - 15.05.2026;25.04.2026;304-2086729-8750521;NL;82,99;-10,26;72,73
2026-05;16.04.2026 - 15.05.2026;25.04.2026;306-1363311-7735052;DE;1.195,49;-143,76;1.051,73
2026-05;16.04.2026 - 15.05.2026;27.04.2026;302-4153511-3845677;DE;89,09;-10,99;78,10
2026-05;16.04.2026 - 15.05.2026;27.04.2026;306-8505514-2535306;IE;92,75;-11,43;81,32
2026-05;16.04.2026 - 15.05.2026;28.04.2026;303-2504432-9450798;FR;36,87;-4,72;32,15
2026-05;16.04.2026 - 15.05.2026;28.04.2026;306-9888296-6118879;AT;24,08;-3,19;20,89
2026-05;16.04.2026 - 15.05.2026;29.04.2026;302-1365082-8245563;NL;89,93;-11,09;78,84
2026-05;16.04.2026 - 15.05.2026;29.04.2026;306-3259833-5796822;AT;70,80;-8,80;62,00
2026-05;16.04.2026 - 15.05.2026;30.04.2026;302-4108182-4603505;DE;119,02;-14,58;104,44
2026-05;16.04.2026 - 15.05.2026;01.05.2026;303-1995647-7132674;DE;112,91;-13,85;99,06
2026-05;16.04.2026 - 15.05.2026;01.05.2026;305-6952267-6955516;DE;109,13;-13,40;95,73
2026-05;16.04.2026 - 15.05.2026;02.05.2026;304-3600299-9740133;BE;44,90;-5,69;39,21
2026-05;16.04.2026 - 15.05.2026;04.05.2026;306-1030821-8921648;NL;125,93;-15,41;110,52
2026-05;16.04.2026 - 15.05.2026;05.05.2026;303-3228060-7384554;DE;102,46;-12,60;89,86
2026-05;16.04.2026 - 15.05.2026;06.05.2026;303-4885680-9274755;DE;121,94;-14,93;107,01
2026-05;16.04.2026 - 15.05.2026;07.05.2026;306-6602751-2650160;AT;70,90;-8,81;62,09
2026-05;16.04.2026 - 15.05.2026;08.05.2026;305-7014429-8267960;BE;32,80;-4,24;28,56
2026-05;16.04.2026 - 15.05.2026;09.05.2026;302-7698998-3373636;BE;118,62;-14,53;104,09
2026-05;16.04.2026 - 15.05.2026;09.05.2026;306-8215025-2600192;AT;53,81;-6,76;47,05
2026-05;16.04.2026 - 15.05.2026;10.05.2026;304-9534952-2788369;FR;89,86;-11,08;78,78
2026-05;16.04.2026 - 15.05.2026;10.05.2026;306-5356946-1410809;DE;37,21;-4,77;32,44
2026-05;16.04.2026 - 15.05.2026;11.05.2026;304-3331952-2420529;BE;108,28;-13,29;94,99
2026-05;16.04.2026 - 15.05.2026;12.05.2026;306-1472163-7308028;DE;110,82;-13,60;97,22
2026-05;16.04.2026 - 15.05.2026;12.05.2026;306-3180136-7566003;IE;22,32;-2,98;19,34
2026-05;16.04.2026 - 15.05.2026;13.05.2026;302-8621776-2405720;NL;48,73;-6,15;42,58
2026-05;16.04.2026 - 15.05.2026;14.05.2026;302-2228438-1760774;NL;110,56;-13,57;96,99
2026-05;16.04.2026 - 15.05.2026;14.05.2026;305-6999089-6484384;DE;29,80;-3,88;25,92
2026-05;16.04.2026 - 15.05.2026;15.05.2026;304-4903637-5165737;AT;81,62;-10,09;71,53
2026-05;16.04.2026 - 15.05.2026;15.05.2026;306-6415020-6063309;DE;137,11;-16,75;120,36
2026-06;16.05.2026 - 15.06.2026;16.05.2026;303-3475528-5054681;DE;122,94;-15,05;107,89
2026-06;16.05.2026 - 15.06.2026;16.05.2026;303-3768103-2241836;FR;66,45;-8,27;58,18
2026-06;16.05.2026 - 15.06.2026;17.05.2026;302-8477953-4623970;BE;44,11;-5,59;38,52
2026-06;16.05.2026 - 15.06.2026;19.05.2026;303-3010193-9784199;IE;27,38;-3,59;23,79
2026-06;16.05.2026 - 15.06.2026;19.05.2026;304-9581852-8480010;FR;110,86;-13,60;97,26
2026-06;16.05.2026 - 15.06.2026;20.05.2026;303-6163871-4593329;NL;41,87;-5,32;36,55
2026-06;16.05.2026 - 15.06.2026;20.05.2026;306-3812045-8686667;BE;73,55;-9,13;64,42
2026-06;16.05.2026 - 15.06.2026;21.05.2026;304-1797341-1487952;DE;60,58;-7,57;53,01
2026-06;16.05.2026 - 15.06.2026;22.05.2026;302-4460870-2290373;FR;135,32;-16,54;118,78
2026-06;16.05.2026 - 15.06.2026;22.05.2026;303-2863440-4239128;DE;55,20;-6,92;48,28
2026-06;16.05.2026 - 15.06.2026;23.05.2026;306-1432665-8385769;DE;35,15;-4,52;30,63
2026-06;16.05.2026 - 15.06.2026;24.05.2026;304-2421115-9681455;NL;122,68;-15,02;107,66
2026-06;16.05.2026 - 15.06.2026;24.05.2026;306-1148328-4757602;DE;75,55;-9,37;66,18
2026-06;16.05.2026 - 15.06.2026;25.05.2026;304-5344284-7466905;BE;83,71;-10,35;73,36
2026-06;16.05.2026 - 15.06.2026;26.05.2026;302-4018958-9041142;BE;74,39;-9,23;65,16
2026-06;16.05.2026 - 15.06.2026;26.05.2026;306-1430086-9676775;DE;92,51;-11,40;81,11
2026-06;16.05.2026 - 15.06.2026;27.05.2026;302-7852278-8965277;DE;56,92;-7,13;49,79
2026-06;16.05.2026 - 15.06.2026;28.05.2026;305-6025931-9688959;DE;55,20;-6,92;48,28
2026-06;16.05.2026 - 15.06.2026;28.05.2026;306-7536601-5556661;DE;1.386,54;-166,68;1.219,86
2026-06;16.05.2026 - 15.06.2026;29.05.2026;305-5743488-1249258;DE;38,60;-4,93;33,67
2026-06;16.05.2026 - 15.06.2026;29.05.2026;306-3724369-4856917;DE;82,76;-10,23;72,53
2026-06;16.05.2026 - 15.06.2026;01.06.2026;303-2064481-3132315;FR;97,85;-12,04;85,81
2026-06;16.05.2026 - 15.06.2026;01.06.2026;303-4659165-8862500;DE;75,51;-9,36;66,15
2026-06;16.05.2026 - 15.06.2026;02.06.2026;304-8259278-5161990;IE;79,95;-9,89;70,06
2026-06;16.05.2026 - 15.06.2026;02.06.2026;305-4839198-7328821;DE;67,09;-8,35;58,74
2026-06;16.05.2026 - 15.06.2026;03.06.2026;304-2269955-1432297;BE;90,38;-11,15;79,23
2026-06;16.05.2026 - 15.06.2026;04.06.2026;304-1622015-5642142;FR;29,87;-3,88;25,99
2026-06;16.05.2026 - 15.06.2026;04.06.2026;305-2847511-4929509;IE;135,41;-16,55;118,86
2026-06;16.05.2026 - 15.06.2026;05.06.2026;304-8428504-5082356;IE;70,15;-8,72;61,43
2026-06;16.05.2026 - 15.06.2026;06.06.2026;304-3020265-5811120;NL;133,29;-16,29;117,00
2026-06;16.05.2026 - 15.06.2026;06.06.2026;306-4038681-4672692;NL;1.075,74;-129,39;946,35
2026-06;16.05.2026 - 15.06.2026;07.06.2026;302-1993318-1314446;NL;85,94;-10,61;75,33
2026-06;16.05.2026 - 15.06.2026;07.06.2026;305-8597198-8919709;DE;73,20;-9,08;64,12
2026-06;16.05.2026 - 15.06.2026;09.06.2026;306-6660489-1285865;IE;82,98;-10,26;72,72
2026-06;16.05.2026 - 15.06.2026;10.06.2026;304-1970833-1384423;IE;134,12;-16,39;117,73
2026-06;16.05.2026 - 15.06.2026;11.06.2026;303-4891936-2364229;BE;37,22;-4,77;32,45
2026-06;16.05.2026 - 15.06.2026;11.06.2026;305-9834777-3727271;DE;57,11;-7,15;49,96
2026-06;16.05.2026 - 15.06.2026;12.06.2026;306-8346471-4168505;DE;130,55;-15,97;114,58
2026-06;16.05.2026 - 15.06.2026;13.06.2026;302-2313643-8927190;BE;86,21;-10,65;75,56
2026-06;16.05.2026 - 15.06.2026;13.06.2026;305-9579572-8148009;NL;63,93;-7,97;55,96
2026-06;16.05.2026 - 15.06.2026;14.06.2026;306-9536553-9519567;DE;38,08;-4,87;33,21
2026-06;16.05.2026 - 15.06.2026;15.06.2026;304-6827015-8661830;BE;108,05;-13,27;94,78
2026-07;16.06.2026 - 15.07.2026;16.06.2026;304-7540065-3691943;NL;1.453,91;-174,77;1.279,14
2026-07;16.06.2026 - 15.07.2026;16.06.2026;306-9910436-4783994;NL;47,58;-6,01;41,57
2026-07;16.06.2026 - 15.07.2026;17.06.2026;302-2590687-8859052;IE;25,76;-3,39;22,37
2026-07;16.06.2026 - 15.07.2026;17.06.2026;305-2854142-4684423;DE;20,87;-2,80;18,07
2026-07;16.06.2026 - 15.07.2026;20.06.2026;303-6968578-8345603;DE;75,21;-9,33;65,88
2026-07;16.06.2026 - 15.07.2026;21.06.2026;305-5866051-2386078;AT;122,95;-15,05;107,90
2026-07;16.06.2026 - 15.07.2026;22.06.2026;304-6900183-7316129;DE;120,98;-14,82;106,16
2026-07;16.06.2026 - 15.07.2026;22.06.2026;305-8237144-8312036;NL;60,59;-7,57;53,02
2026-07;16.06.2026 - 15.07.2026;23.06.2026;303-7014113-9848590;DE;75,79;-9,39;66,40
2026-07;16.06.2026 - 15.07.2026;23.06.2026;306-3971409-3437890;DE;134,80;-16,48;118,32
2026-07;16.06.2026 - 15.07.2026;24.06.2026;303-7710137-8142771;IE;120,10;-14,71;105,39
2026-07;16.06.2026 - 15.07.2026;25.06.2026;302-1408780-7176078;AT;23,06;-3,07;19,99
2026-07;16.06.2026 - 15.07.2026;26.06.2026;306-5575899-8149465;FR;66,15;-8,24;57,91
2026-07;16.06.2026 - 15.07.2026;27.06.2026;306-1919450-3336212;IE;28,65;-3,74;24,91
2026-07;16.06.2026 - 15.07.2026;28.06.2026;303-5673688-4258817;IE;26,75;-3,51;23,24
2026-07;16.06.2026 - 15.07.2026;29.06.2026;304-7447465-2768082;BE;79,84;-9,88;69,96
2026-07;16.06.2026 - 15.07.2026;30.06.2026;304-3254957-1445432;BE;105,47;-12,96;92,51
2026-07;16.06.2026 - 15.07.2026;01.07.2026;302-8367163-6321901;DE;60,06;-7,51;52,55
2026-07;16.06.2026 - 15.07.2026;01.07.2026;305-1858845-8493195;DE;56,58;-7,09;49,49
2026-07;16.06.2026 - 15.07.2026;02.07.2026;306-1293719-1193059;BE;33,67;-4,34;29,33
2026-07;16.06.2026 - 15.07.2026;03.07.2026;303-5790250-9664203;BE;106,39;-13,07;93,32
2026-07;16.06.2026 - 15.07.2026;04.07.2026;303-6435720-3858664;IE;89,61;-11,05;78,56
2026-07;16.06.2026 - 15.07.2026;04.07.2026;304-5300251-1585857;BE;86,86;-10,72;76,14
2026-07;16.06.2026 - 15.07.2026;05.07.2026;306-3107385-9444480;DE;129,19;-15,80;113,39
2026-07;16.06.2026 - 15.07.2026;06.07.2026;303-5510298-7513210;NL;106,98;-13,14;93,84
2026-07;16.06.2026 - 15.07.2026;06.07.2026;304-7573757-9206987;DE;92,30;-11,38;80,92
2026-07;16.06.2026 - 15.07.2026;08.07.2026;302-8851086-3539136;IE;134,46;-16,44;118,02
2026-07;16.06.2026 - 15.07.2026;09.07.2026;302-2816678-2619274;DE;23,94;-3,17;20,77
2026-07;16.06.2026 - 15.07.2026;10.07.2026;305-3458569-6818462;DE;24,21;-3,21;21,00
