Name,Created at,Financial Status,Currency,Total
#1779,2026-06-18 17:49:34 -0400,paid,USD,115.66
#1780,2026-06-19 11:33:32 -0400,paid,USD,133.90
#1781,2026-06-20 11:17:18 -0400,paid,USD,120.03
#1782,2026-06-20 20:17:59 -0400,paid,USD,77.30
#1783,2026-06-21 09:15:25 -0400,paid,USD,136.24
#1784,2026-06-21 11:24:47 -0400,paid,USD,104.92
#1785,2026-06-21 12:25:45 -0400,paid,USD,56.80
#1786,2026-06-21 13:27:28 -0400,paid,USD,81.44
#1787,2026-06-21 18:51:30 -0400,paid,USD,142.04
#1788,2026-06-21 22:02:33 -0400,paid,USD,58.44
#1789,2026-06-22 13:30:53 -0400,paid,USD,139.34
#1790,2026-06-22 16:58:09 -0400,paid,USD,46.22
#1791,2026-06-22 21:47:30 -0400,paid,USD,77.22
#1792,2026-06-23 17:27:56 -0400,paid,USD,128.73
#1793,2026-06-23 19:51:12 -0400,paid,USD,95.34
#1794,2026-06-24 18:21:59 -0400,paid,USD,44.55
#1795,2026-06-24 20:10:38 -0400,paid,USD,43.18
#1796,2026-06-25 17:23:56 -0400,paid,USD,66.10
#1797,2026-06-26 07:34:00 -0400,paid,USD,156.43
#1798,2026-06-26 14:34:44 -0400,paid,USD,80.27
#1799,2026-06-26 14:40:39 -0400,paid,USD,98.74
#1800,2026-06-28 12:07:49 -0400,paid,USD,29.84
#1801,2026-06-29 10:29:01 -0400,paid,USD,136.21
#1802,2026-06-30 13:44:32 -0400,paid,USD,123.45
