Oakline Furniture Works - AP payment detail
Payment date 01/01/2026 - 08/31/2026
Payment ID,Payment Date,Method,Check / Ref #,Vendor ID,Vendor,Invoice #,Invoice Amount,Amount Paid,Status,Memo
PMT-26-0325,02/10/2026,Check,14168,V1113,Greenleaf Waste Hauling,INV-70612,"5,667.70","5,667.70",Cleared,
PMT-26-0326,02/11/2026,Check,14169,V1134,Ironside Steel Service,INV-29333,"7,388.66","7,388.66",Cleared,
PMT-26-0327,02/11/2026,Check,14172,V1105,Summit Abrasives,INV-84188,"1,369.55","1,369.55",Cleared,
PMT-26-0328,02/12/2026,ACH,ACH021288,V1069,LUMEN GLASS & MIRROR,#61746,"1,898.20","1,898.20",Cleared,
PMT-26-0329,02/20/2026,Check,14174,V1094,Anchor Fastener Co,84745,"7,947.27","7,947.27",Cleared,
PMT-26-0330,02/20/2026,Check,14177,V1045,Cascade Hardwoods,#15161,"3,853.09","3,853.09",Cleared,
PMT-26-0331,02/23/2026,Check,14181,V1099,HARMON EDGEBANDING,#17885,"3,815.07","3,815.07",Cleared,
PMT-26-0332,02/24/2026,Check,14185,V1134,Ironside Steel Service,86877,"8,522.29","8,522.29",Cleared,
PMT-26-0333,02/24/2026,Check,14188,V1061,Finish Line Coatings,33884,"6,559.11","6,559.11",Cleared,
PMT-26-0334,02/25/2026,Check,14191,V1045,Cascade Hardwoods,INV-56996,"4,282.82","4,282.82",Cleared,
PMT-26-0335,03/02/2026,ACH,ACH030239,V1139,Millrace Industrial Partners,RENT-2026-03,"7,580.00","7,580.00",Cleared,Unit 4 rent 03/2026
PMT-26-0336,03/04/2026,Check,14192,V1105,SUMMIT ABRASIVES,75852,"9,364.23","9,364.23",Cleared,
PMT-26-0337,03/06/2026,Check,14193,V1108,Valley Welding Supply,#65022,"2,726.34","2,726.34",Cleared,
PMT-26-0338,03/09/2026,Check,14194,V1076,Pacific Upholstery Supply,INV-52617,"2,739.55","2,739.55",Stopped,Lost in mail - stop payment
PMT-26-0339,03/12/2026,ACH,ACH031232,V1076,Pacific Upholstery Supply,66521,"2,488.31","2,488.31",Cleared,
PMT-26-0340,03/12/2026,ACH,ACH031263,V1066,Tri-State Freight Lines,INV-51250,"7,320.76","7,320.76",Cleared,
PMT-26-0341,03/13/2026,Check,14196,V1094,Anchor Fastener Co,INV-63486,"9,196.53","9,196.53",Cleared,
PMT-26-0342,03/13/2026,Check,14198,V1054,Keller Hinge & Slide,INV-50083,"1,429.04","1,429.04",Cleared,
PMT-26-0343,03/15/2026,Check,14201,V1054,KELLER HINGE & SLIDE,INV-11206,"1,429.04","1,429.04",Cleared,
PMT-26-0344,03/16/2026,Check,14202,V1113,Greenleaf Waste Hauling,#30169,"8,532.08","8,532.08",Cleared,
PMT-26-0345,03/16/2026,Check,14206,V1061,Finish Line Coatings,#27487,"4,339.66","4,339.66",Cleared,
PMT-26-0346,03/18/2026,Check,14207,V1045,Cascade Hardwoods,INV-38235,"7,735.73","7,735.73",Cleared,
PMT-26-0347,03/18/2026,Check,14208,V1080,Precision CNC Tooling,INV-37471,"11,499.93","4,599.97",Cleared,Instalment 1 of 2
PMT-26-0348,03/19/2026,ACH,ACH031959,V1094,Anchor Fastener Co,17278,"1,515.05","1,515.05",Cleared,
PMT-26-0349,03/20/2026,Check,14211,V1126,Bayside Stone Tops,#85232,"9,207.62","9,207.62",Cleared,
PMT-26-0350,03/24/2026,Check,14212,V1108,Valley Welding Supply,INV-59360,"6,270.64","6,270.64",Cleared,
PMT-26-0351,03/24/2026,ACH,ACH032482,V1076,Pacific Upholstery Supply,INV-52617,"2,739.55","2,739.55",Cleared,
PMT-26-0352,03/27/2026,Check,14215,V1089,Ridgeway Powder Coat,78826,"8,013.27","8,013.27",Cleared,
PMT-26-0353,03/30/2026,Check,14217,V1089,Ridgeway Powder Coat,95994,"4,883.79","4,883.79",Cleared,
PMT-26-0354,03/31/2026,Check,14220,V1066,TRI-STATE FREIGHT LINES,#54335,"1,763.59","1,763.59",Cleared,
PMT-26-0355,04/01/2026,ACH,ACH040138,V1139,Millrace Industrial Partners,RENT-2026-04,"7,580.00","7,580.00",Cleared,Unit 4 rent 04/2026
PMT-26-0356,04/07/2026,ACH,ACH040740,V1080,Precision CNC Tooling,23729,"4,143.95","4,143.95",Cleared,
PMT-26-0357,04/08/2026,Check,14221,V1061,Finish Line Coatings,INV-77649,"4,668.80","4,668.80",Cleared,
PMT-26-0358,04/09/2026,ACH,ACH040976,V1113,Greenleaf Waste Hauling,17583,"6,815.16","6,815.16",Cleared,
PMT-26-0359,04/13/2026,Check,14224,V1099,Harmon Edgebanding,INV-16164,"5,069.28","5,069.28",Cleared,
PMT-26-0360,04/14/2026,ACH,ACH041496,V1094,Anchor Fastener Co,#12684,"5,236.37","5,236.37",Cleared,
PMT-26-0361,04/15/2026,Check,14227,V1108,Valley Welding Supply,27304,"1,566.57","1,566.57",Cleared,
PMT-26-0362,04/16/2026,Check,14229,V1131,Crestline Leather,#25224,"7,195.05","7,195.05",Cleared,
PMT-26-0363,04/16/2026,Check,14232,V1126,Bayside Stone Tops,43109,"7,624.51","7,624.51",Cleared,
PMT-26-0364,04/17/2026,Check,14236,V1080,Precision CNC Tooling,INV-37471,"11,499.93","6,899.96",Cleared,Instalment 2 of 2
PMT-26-0365,04/20/2026,ACH,ACH042046,V1126,Bayside Stone Tops,62876,"5,751.87","5,751.87",Cleared,
PMT-26-0366,04/21/2026,Check,14238,V1105,SUMMIT ABRASIVES,#66503,"1,220.30","1,220.30",Cleared,
PMT-26-0367,04/22/2026,ACH,ACH042227,V1051,NORTHLINE PLYWOOD & PANEL,INV-16131,"6,130.37","6,130.37",Cleared,
PMT-26-0368,04/22/2026,Check,14239,V1069,Lumen Glass & Mirror,INV-98167,"2,779.79","2,779.79",Cleared,
PMT-26-0369,04/22/2026,Check,14242,V1061,Finish Line Coatings,INV-77649,"4,668.80","4,668.80",Cleared,
PMT-26-0370,04/23/2026,ACH,ACH042356,V1089,Ridgeway Powder Coat,99039,"6,873.72","6,873.72",Cleared,
PMT-26-0371,04/24/2026,Check,14243,V1066,Tri-State Freight Lines,21222,"2,983.49","2,983.49",Voided,Wrong remit address
PMT-26-0372,04/24/2026,Check,14245,V1094,Anchor Fastener Co,80178,"8,012.49","8,012.49",Cleared,
PMT-26-0373,04/25/2026,ACH,ACH042560,V1180,Cascade Hardwood Supply Inc,38235,"7,735.73","7,735.73",Cleared,
PMT-26-0374,04/27/2026,Check,14247,V1066,Tri-State Freight Lines,21222,"2,983.49","2,983.49",Cleared,
PMT-26-0375,04/27/2026,Check,14249,V1113,Greenleaf Waste Hauling,INV-58705,"7,815.52","7,815.52",Cleared,
PMT-26-0376,04/28/2026,Check,14250,V1134,Ironside Steel Service,66005,"2,138.99","2,138.99",Cleared,
PMT-26-0377,04/29/2026,Check,14252,V1126,Bayside Stone Tops,INV-18347,"9,685.22","4,842.61",Cleared,50% deposit per quote
PMT-26-0378,05/01/2026,ACH,ACH050136,V1069,Lumen Glass & Mirror,INV-98167,"2,779.79","2,779.79",Cleared,
PMT-26-0379,05/01/2026,ACH,ACH050173,V1139,Millrace Industrial Partners,RENT-2026-05,"7,580.00","7,580.00",Cleared,Unit 4 rent 05/2026
PMT-26-0380,05/07/2026,ACH,ACH050782,V1069,Lumen Glass & Mirror,INV-41418,"1,384.77","1,384.77",Cleared,
PMT-26-0381,05/08/2026,Check,14254,V1051,Northline Plywood & Panel,47732,"1,593.87","1,593.87",Cleared,
PMT-26-0382,05/12/2026,Check,14256,V1069,Lumen Glass & Mirror,#53919,"7,515.78","7,515.78",Cleared,
PMT-26-0383,05/15/2026,Check,14258,V1051,Northline Plywood & Panel,INV-32724,"2,176.00","2,176.00",Cleared,
PMT-26-0383,05/15/2026,Check,14258,V1051,Northline Plywood & Panel,INV-17469,"1,353.18","1,353.18",Cleared,
PMT-26-0383,05/15/2026,Check,14258,V1051,NORTHLINE PLYWOOD & PANEL,INV-21096,"2,059.83","2,059.83",Cleared,
PMT-26-0384,05/15/2026,Check,14260,V1045,CASCADE HARDWOODS,#60940,"9,618.21","9,618.21",Cleared,
PMT-26-0385,05/19/2026,Check,14264,V1080,Precision CNC Tooling,36435,"9,648.75","9,648.75",Cleared,
PMT-26-0386,05/20/2026,Check,14267,V1054,Keller Hinge & Slide,INV-83584,"4,860.47","4,860.47",Cleared,
PMT-26-0387,05/21/2026,Check,14269,V1126,Bayside Stone Tops,INV-25490,"3,384.48","3,384.48",Cleared,
PMT-26-0388,05/22/2026,Check,14273,V1066,Tri-State Freight Lines,59227,"9,317.40","9,317.40",Cleared,
PMT-26-0389,05/26/2026,ACH,ACH052623,V1108,Valley Welding Supply,INV-52858,"9,390.79","9,390.79",Cleared,
PMT-26-0390,05/28/2026,Wire,FW745940,V1134,Ironside Steel Service,000326,"4,778.71","4,778.71",Cleared,
PMT-26-0391,05/28/2026,ACH,ACH052813,V1126,Bayside Stone Tops,56407,"1,643.11","1,643.11",Cleared,
PMT-26-0392,05/29/2026,Check,14276,V1076,Pacific Upholstery Supply,INV-93739,"1,926.46","1,926.46",Cleared,
PMT-26-0393,06/01/2026,ACH,ACH060172,V1139,Millrace Industrial Partners,RENT-2026-06,"7,580.00","7,580.00",Cleared,Unit 4 rent 06/2026
PMT-26-0394,06/03/2026,Check,14280,V1089,Ridgeway Powder Coat,#21094,"1,814.78","1,814.78",Cleared,
PMT-26-0395,06/05/2026,ACH,ACH060549,V1126,Bayside Stone Tops,INV-18347,"9,685.22","9,685.22",Cleared,
PMT-26-0396,06/07/2026,Check,14281,V1134,Ironside Steel Service,326,"4,778.71","4,778.71",Cleared,
PMT-26-0397,06/09/2026,ACH,ACH060938,V1066,Tri-State Freight Lines,#70118,"7,533.92","7,533.92",Cleared,
PMT-26-0398,06/12/2026,Check,14283,V1099,Harmon Edgebanding,#23800,"6,453.63","6,453.63",Cleared,
PMT-26-0399,06/12/2026,Check,14287,V1045,Cascade Hardwoods,INV-44068,"4,642.93","4,642.93",Cleared,
PMT-26-0400,06/15/2026,Check,14291,V1099,Harmon Edgebanding,#99460,"6,621.72","6,621.72",Cleared,
PMT-26-0401,06/15/2026,Check,14294,V1122,Metro Electric Utility,89843,"8,239.71","8,239.71",Cleared,
PMT-26-0402,06/16/2026,ACH,ACH061620,V1051,NORTHLINE PLYWOOD & PANEL,#60858,"9,532.70","9,532.70",Cleared,
PMT-26-0403,06/17/2026,ACH,ACH061743,V1134,Ironside Steel Service,#28439,"9,335.61","9,335.61",Cleared,
PMT-26-0404,06/18/2026,Check,14296,V1080,Precision CNC Tooling,INV-38297,"2,352.98","2,352.98",Cleared,
PMT-26-0405,06/19/2026,Check,14300,V1061,Finish Line Coatings,INV-25087,"7,003.95","7,003.95",Cleared,
PMT-26-0406,06/25/2026,Check,14302,V1089,Ridgeway Powder Coat,INV-81147,"6,839.13","6,839.13",Cleared,
PMT-26-0407,06/30/2026,Check,14305,V1045,CASCADE HARDWOODS,#54029,"6,058.31","6,058.31",Cleared,
PMT-26-0408,07/01/2026,ACH,ACH070147,V1131,Crestline Leather,INV-51712,"5,178.72","5,178.72",Cleared,
PMT-26-0409,07/01/2026,ACH,ACH070159,V1139,Millrace Industrial Partners,RENT-2026-07,"7,580.00","7,580.00",Cleared,Unit 4 rent 07/2026
PMT-26-0410,07/07/2026,Check,14306,V1134,Ironside Steel Service,32053,"1,285.83","1,285.83",Cleared,
PMT-26-0411,07/14/2026,Check,14308,V1131,Crestline Leather,INV-16868,"1,677.48","1,677.48",Cleared,
PMT-26-0412,07/15/2026,Check,14309,V1094,ANCHOR FASTENER CO,67435,624.43,624.43,Cleared,
PMT-26-0413,07/19/2026,Check,14312,V1105,Summit Abrasives,67435,624.43,624.43,Cleared,
PMT-26-0414,07/20/2026,Check,14314,V1113,Greenleaf Waste Hauling,32903,"4,361.47","4,361.47",Cleared,
PMT-26-0415,07/20/2026,Check,14317,V1045,Cascade Hardwoods,30736,"2,312.95","2,312.95",Cleared,
PMT-26-0416,08/03/2026,ACH,ACH080366,V1139,Millrace Industrial Partners,RENT-2026-08,"7,580.00","7,580.00",Cleared,Unit 4 rent 08/2026
PMT-26-0417,08/07/2026,Check,14319,V1054,Keller Hinge & Slide,#34641,"3,452.16","3,452.16",Cleared,
PMT-26-0418,08/10/2026,Check,14322,V1099,Harmon Edgebanding,INV-60809,"8,448.71","8,448.71",Cleared,
PMT-26-0419,08/12/2026,Check,14325,V1108,Valley Welding Supply,69512,"2,621.74","2,621.74",Cleared,
PMT-26-0420,08/17/2026,ACH,ACH081795,V1051,Northline Plywood & Panel,64317,"4,879.03","4,879.03",Cleared,
PMT-26-0421,08/20/2026,ACH,ACH082030,V1094,Anchor Fastener Co,98282,"5,337.22","5,337.22",Cleared,
PMT-26-0422,08/20/2026,Check,14328,V1131,CRESTLINE LEATHER,#20665,"4,279.57","4,279.57",Cleared,
PMT-26-0423,08/21/2026,Check,14329,V1105,Summit Abrasives,#36842,919.43,919.43,Cleared,
PMT-26-0424,08/25/2026,Check,14332,V1069,Lumen Glass & Mirror,INV-72128,"6,060.72","6,060.72",Cleared,
PMT-26-0425,08/25/2026,Check,14333,V1126,Bayside Stone Tops,INV-88041,"7,232.17","7,232.17",Cleared,
PMT-26-0426,08/28/2026,Check,14335,V1076,Pacific Upholstery Supply,99037,"4,883.32","4,883.32",Cleared,
PMT-26-0427,08/28/2026,Check,14338,V1105,Summit Abrasives,INV-43106,"5,387.48","5,387.48",Cleared,
PMT-26-0428,08/28/2026,Check,14339,V1045,Cascade Hardwoods,32913,"1,409.06","1,409.06",Cleared,
