First Meridian Bank - Business Checking XXXXXX2210
Transactions 03/01/2026 through 09/02/2026

Posting Date,Description,Debit,Credit,Status
04/14/2026,SQUARE INC DEPOSIT 0414 FERNWOOD CATERI,,1925.50,Posted
04/14/2026,WIRE TRANSFER FEE,30.00,,Posted
04/15/2026,ACH CREDIT KESTREL ANALYTICS LUNCH PROGRAM,,7051.09,Posted
04/20/2026,ACH DEBIT PUGET SOUND ENERGY,1726.13,,Posted
04/20/2026,WA DEPT REVENUE SALES TAX,1411.57,,Posted
04/21/2026,ACH DEBIT PARTY RENTAL LTD LINENS TENTS,4162.35,,Posted
04/22/2026,ACH CREDIT KESTREL ANALYTICS LUNCH PROGRAM,,6561.57,Posted
04/22/2026,SQUARE INC DEPOSIT 0422 FERNWOOD CATERI,,1299.12,Posted
04/23/2026,SQUARE INC DEPOSIT 0423 FERNWOOD CATERI,,1101.33,Posted
04/27/2026,ACH DEBIT GUSTO PAYROLL NET,10464.75,,Posted
04/27/2026,ACH DEBIT GUSTO TAX,3104.12,,Posted
04/27/2026,ONLINE TRANSFER TO SAVINGS XXXXXX4471,3500.00,,Posted
04/29/2026,SQUARE INC DEPOSIT 0429 FERNWOOD CATERI,,2254.10,Posted
04/30/2026,MONTHLY SERVICE FEE,25.00,,Posted
04/30/2026,SQUARE INC DEPOSIT 0430 FERNWOOD CATERI,,1400.46,Posted
05/01/2026,ACH CREDIT KESTREL ANALYTICS LUNCH PROGRAM,,4929.78,Posted
05/01/2026,CHECK 1405 HARBORVIEW COMMISSARY KITCHEN RENT,6850.00,,Posted
05/01/2026,SQUARE INC DEPOSIT 0501 FERNWOOD CATERI,,2365.16,Posted
05/04/2026,SQUARE INC DEPOSIT 0504 FERNWOOD CATERI,,2603.36,Posted
05/05/2026,SQUARE INC DEPOSIT 0505 FERNWOOD CATERI,,882.62,Posted
05/06/2026,SQUARE INC DEPOSIT 0506 FERNWOOD CATERI,,1111.10,Posted
05/08/2026,ACH CREDIT KESTREL ANALYTICS LUNCH PROGRAM,,7535.15,Posted
05/08/2026,ACH DEBIT SYSCO SEATTLE,3892.33,,Posted
05/08/2026,SQUARE INC DEPOSIT 0508 FERNWOOD CATERI,,917.61,Posted
05/12/2026,ACH DEBIT GUSTO PAYROLL NET,9621.08,,Posted
05/12/2026,ACH DEBIT GUSTO TAX,3023.58,,Posted
05/12/2026,SQUARE INC DEPOSIT 0512 FERNWOOD CATERI,,1942.98,Posted
05/13/2026,SQUARE INC DEPOSIT 0513 FERNWOOD CATERI,,2671.53,Posted
05/14/2026,DEBIT CARD NIGHTJAR COFFEE ROASTERS,630.42,,Posted
05/14/2026,SQUARE INC DEPOSIT 0514 FERNWOOD CATERI,,1691.07,Posted
05/15/2026,ACH CREDIT KESTREL ANALYTICS LUNCH PROGRAM,,7633.56,Posted
05/15/2026,SQUARE INC DEPOSIT 0515 FERNWOOD CATERI,,856.86,Posted
05/18/2026,SQUARE INC DEPOSIT 0518 FERNWOOD CATERI,,1820.75,Posted
05/19/2026,SQUARE INC DEPOSIT 0519 FERNWOOD CATERI,,2402.63,Posted
05/20/2026,ACH DEBIT PUGET SOUND ENERGY,1453.41,,Posted
05/20/2026,SQUARE INC DEPOSIT 0520 FERNWOOD CATERI,,878.58,Posted
05/20/2026,WA DEPT REVENUE SALES TAX,2372.90,,Posted
05/21/2026,DEBIT CARD RESTAURANT DEPOT,3606.83,,Posted
05/21/2026,SQUARE INC DEPOSIT 0521 FERNWOOD CATERI,,1604.96,Posted
05/22/2026,ACH CREDIT KESTREL ANALYTICS LUNCH PROGRAM,,4720.92,Posted
05/22/2026,ACH DEBIT PARTY RENTAL LTD LINENS TENTS,4982.72,,Posted
05/22/2026,SQUARE INC DEPOSIT 0522 FERNWOOD CATERI,,1666.93,Posted
05/25/2026,ONLINE TRANSFER TO SAVINGS XXXXXX4471,2500.00,,Posted
05/25/2026,SQUARE INC DEPOSIT 0525 FERNWOOD CATERI,,2130.15,Posted
05/26/2026,ACH DEBIT GUSTO PAYROLL NET,9504.75,,Posted
05/26/2026,ACH DEBIT GUSTO TAX,3337.13,,Posted
05/26/2026,SQUARE INC DEPOSIT 0526 FERNWOOD CATERI,,1253.97,Posted
05/28/2026,SQUARE INC DEPOSIT 0528 FERNWOOD CATERI,,2535.10,Posted
05/29/2026,SQUARE INC DEPOSIT 0529 FERNWOOD CATERI,,2126.91,Posted
05/31/2026,MONTHLY SERVICE FEE,25.00,,Posted
06/01/2026,ACH CREDIT KESTREL ANALYTICS LUNCH PROGRAM,,9180.09,Posted
06/01/2026,CHECK 1406 HARBORVIEW COMMISSARY KITCHEN RENT,6850.00,,Posted
06/01/2026,SQUARE INC DEPOSIT 0601 FERNWOOD CATERI,,944.19,Posted
06/02/2026,SQUARE INC DEPOSIT 0602 FERNWOOD CATERI,,1387.50,Posted
06/04/2026,SQUARE INC DEPOSIT 0604 FERNWOOD CATERI,,1496.36,Posted
06/05/2026,SQUARE INC DEPOSIT 0605 FERNWOOD CATERI,,2998.95,Posted
06/08/2026,ACH CREDIT KESTREL ANALYTICS LUNCH PROGRAM,,8849.55,Posted
06/08/2026,ACH DEBIT SYSCO SEATTLE,7144.43,,Posted
06/08/2026,OVERDRAFT FEE,38.00,,Posted
06/08/2026,OVERDRAFT FEE,38.00,,Posted
06/08/2026,SQUARE INC DEPOSIT 0608 FERNWOOD CATERI,,2256.06,Posted
06/09/2026,NSF RETURNED ITEM FEE,38.00,,Posted
06/09/2026,OVERDRAFT FEE,38.00,,Posted
06/09/2026,SQUARE INC DEPOSIT 0609 FERNWOOD CATERI,,1724.68,Posted
06/10/2026,ACH DEBIT PARTY RENTAL LTD LINENS TENTS,6173.62,,Posted
06/10/2026,NSF RETURNED ITEM FEE,38.00,,Posted
06/10/2026,ONLINE TRANSFER FROM SAVINGS XXXXXX4471,,15000.00,Posted
06/10/2026,SQUARE INC DEPOSIT 0610 FERNWOOD CATERI,,2323.90,Posted
06/11/2026,DEBIT CARD NIGHTJAR COFFEE ROASTERS,287.72,,Posted
06/11/2026,SQUARE INC DEPOSIT 0611 FERNWOOD CATERI,,1278.47,Posted
06/12/2026,ACH DEBIT GUSTO PAYROLL NET,11930.63,,Posted
06/12/2026,ACH DEBIT GUSTO TAX,2666.77,,Posted
06/12/2026,SQUARE INC DEPOSIT 0612 FERNWOOD CATERI,,1385.87,Posted
06/15/2026,ACH CREDIT KESTREL ANALYTICS LUNCH PROGRAM,,5552.65,Posted
06/15/2026,SQUARE INC DEPOSIT 0615 FERNWOOD CATERI,,1703.32,Posted
06/17/2026,SQUARE INC DEPOSIT 0617 FERNWOOD CATERI,,1784.85,Posted
06/18/2026,SQUARE INC DEPOSIT 0618 FERNWOOD CATERI,,2440.17,Posted
06/19/2026,SQUARE INC DEPOSIT 0619 FERNWOOD CATERI,,2349.81,Posted
06/22/2026,ACH CREDIT KESTREL ANALYTICS LUNCH PROGRAM,,9836.94,Posted
06/22/2026,DEBIT CARD RESTAURANT DEPOT,3070.59,,Posted
06/22/2026,SQUARE INC DEPOSIT 0622 FERNWOOD CATERI,,1855.40,Posted
06/22/2026,WA DEPT REVENUE SALES TAX,1929.08,,Posted
06/23/2026,ACH DEBIT PUGET SOUND ENERGY,1828.35,,Posted
06/23/2026,SQUARE INC DEPOSIT 0623 FERNWOOD CATERI,,1199.53,Posted
06/24/2026,SQUARE INC DEPOSIT 0624 FERNWOOD CATERI,,1950.97,Posted
06/25/2026,SQUARE INC DEPOSIT 0625 FERNWOOD CATERI,,2562.51,Posted
06/26/2026,ACH DEBIT GUSTO PAYROLL NET,12195.09,,Posted
06/26/2026,ACH DEBIT GUSTO TAX,3389.46,,Posted
06/26/2026,OVERDRAFT FEE,38.00,,Posted
06/29/2026,OVERDRAFT FEE,38.00,,Posted
06/29/2026,SQUARE INC DEPOSIT 0629 FERNWOOD CATERI,,1551.49,Posted
06/30/2026,ACCOUNT ANALYSIS FEE,64.00,,Posted
06/30/2026,MONTHLY SERVICE FEE,25.00,,Posted
06/30/2026,SQUARE INC DEPOSIT 0630 FERNWOOD CATERI,,2684.62,Posted
07/01/2026,ACH CREDIT KESTREL ANALYTICS LUNCH PROGRAM,,5175.68,Posted
07/01/2026,CHECK 1407 HARBORVIEW COMMISSARY KITCHEN RENT,6850.00,,Posted
07/01/2026,SQUARE INC DEPOSIT 0701 FERNWOOD CATERI,,3067.92,Posted
07/02/2026,SQUARE INC DEPOSIT 0702 FERNWOOD CATERI,,3326.93,Posted
07/03/2026,SQUARE INC DEPOSIT 0703 FERNWOOD CATERI,,3019.23,Posted
07/06/2026,ACH DEBIT SYSCO SEATTLE,7680.25,,Posted
07/06/2026,SQUARE INC DEPOSIT 0706 FERNWOOD CATERI,,1110.92,Posted
07/07/2026,DEBIT CARD NIGHTJAR COFFEE ROASTERS,443.44,,Posted
07/07/2026,SQUARE INC DEPOSIT 0707 FERNWOOD CATERI,,2028.86,Posted
07/08/2026,ACH CREDIT KESTREL ANALYTICS LUNCH PROGRAM,,5877.28,Posted
07/08/2026,SQUARE INC DEPOSIT 0708 FERNWOOD CATERI,,3037.56,Posted
07/09/2026,SQUARE INC DEPOSIT 0709 FERNWOOD CATERI,,2196.54,Posted
07/10/2026,SQUARE INC DEPOSIT 0710 FERNWOOD CATERI,,1767.22,Posted
07/13/2026,ACH DEBIT GUSTO PAYROLL NET,11249.11,,Posted
07/13/2026,ACH DEBIT GUSTO TAX,3038.79,,Posted
07/14/2026,SQUARE INC DEPOSIT 0714 FERNWOOD CATERI,,955.88,Posted
07/15/2026,ACH CREDIT KESTREL ANALYTICS LUNCH PROGRAM,,10556.55,Posted
07/15/2026,SQUARE INC DEPOSIT 0715 FERNWOOD CATERI,,2592.06,Posted
07/16/2026,SQUARE INC DEPOSIT 0716 FERNWOOD CATERI,,3247.86,Posted
07/20/2026,ACH DEBIT PARTY RENTAL LTD LINENS TENTS,4209.18,,Posted
07/20/2026,ACH DEBIT PUGET SOUND ENERGY,1399.40,,Posted
07/20/2026,DEBIT CARD RESTAURANT DEPOT,2900.31,,Posted
07/20/2026,WA DEPT REVENUE SALES TAX,3249.38,,Posted
07/21/2026,SQUARE INC DEPOSIT 0721 FERNWOOD CATERI,,2760.36,Posted
07/22/2026,ACH CREDIT KESTREL ANALYTICS LUNCH PROGRAM,,6596.12,Posted
07/22/2026,SQUARE INC DEPOSIT 0722 FERNWOOD CATERI,,2528.74,Posted
07/23/2026,SQUARE INC DEPOSIT 0723 FERNWOOD CATERI,,3139.69,Posted
07/24/2026,SQUARE INC DEPOSIT 0724 FERNWOOD CATERI,,1829.95,Posted
07/27/2026,ACH DEBIT GUSTO PAYROLL NET,10959.14,,Posted
07/27/2026,ACH DEBIT GUSTO TAX,2982.45,,Posted
07/27/2026,SQUARE INC DEPOSIT 0727 FERNWOOD CATERI,,1423.37,Posted
07/28/2026,SQUARE INC DEPOSIT 0728 FERNWOOD CATERI,,931.98,Posted
07/29/2026,SQUARE INC DEPOSIT 0729 FERNWOOD CATERI,,1733.52,Posted
07/30/2026,SQUARE INC DEPOSIT 0730 FERNWOOD CATERI,,2684.69,Posted
07/31/2026,MONTHLY SERVICE FEE,25.00,,Posted
07/31/2026,ONLINE TRANSFER TO SAVINGS XXXXXX4471,3000.00,,Posted
07/31/2026,SQUARE INC DEPOSIT 0731 FERNWOOD CATERI,,2442.73,Posted
08/01/2026,CHECK 1408 HARBORVIEW COMMISSARY KITCHEN RENT,6850.00,,Posted
08/03/2026,ACH CREDIT KESTREL ANALYTICS LUNCH PROGRAM,,8275.48,Posted
08/03/2026,ACH DEBIT SYSCO SEATTLE,7584.00,,Posted
08/03/2026,SQUARE INC DEPOSIT 0803 FERNWOOD CATERI,,1150.52,Posted
08/04/2026,SQUARE INC DEPOSIT 0804 FERNWOOD CATERI,,964.83,Posted
08/05/2026,SQUARE INC DEPOSIT 0805 FERNWOOD CATERI,,2506.89,Posted
08/06/2026,SQUARE INC DEPOSIT 0806 FERNWOOD CATERI,,1270.57,Posted
08/07/2026,SQUARE INC DEPOSIT 0807 FERNWOOD CATERI,,2789.53,Posted
08/10/2026,ACH CREDIT KESTREL ANALYTICS LUNCH PROGRAM,,10233.72,Posted
08/11/2026,SQUARE INC DEPOSIT 0811 FERNWOOD CATERI,,2793.46,Posted
08/12/2026,ACH DEBIT GUSTO PAYROLL NET,10419.24,,Posted
08/12/2026,ACH DEBIT GUSTO TAX,2966.73,,Posted
08/12/2026,SQUARE INC DEPOSIT 0812 FERNWOOD CATERI,,1400.01,Posted
08/13/2026,SQUARE INC DEPOSIT 0813 FERNWOOD CATERI,,1107.93,Posted
08/14/2026,ONLINE TRANSFER TO XXXXXX8832 REF DRAW,6000.00,,Posted
08/14/2026,SQUARE INC DEPOSIT 0814 FERNWOOD CATERI,,1563.32,Posted
08/17/2026,ACH CREDIT KESTREL ANALYTICS LUNCH PROGRAM,,9135.88,Posted
08/17/2026,DEBIT CARD NIGHTJAR COFFEE ROASTERS,624.72,,Posted
08/18/2026,SQUARE INC DEPOSIT 0818 FERNWOOD CATERI,,2571.72,Posted
08/19/2026,SQUARE INC DEPOSIT 0819 FERNWOOD CATERI,,1073.70,Posted
08/20/2026,SQUARE INC DEPOSIT 0820 FERNWOOD CATERI,,3247.88,Posted
08/20/2026,WA DEPT REVENUE SALES TAX,3095.70,,Posted
08/21/2026,ACH DEBIT PUGET SOUND ENERGY,1979.32,,Posted
08/21/2026,DEBIT CARD RESTAURANT DEPOT,2695.21,,Posted
08/21/2026,SQUARE INC DEPOSIT 0821 FERNWOOD CATERI,,1270.63,Posted
08/24/2026,ACH CREDIT KESTREL ANALYTICS LUNCH PROGRAM,,8178.78,Posted
08/24/2026,ACH DEBIT PARTY RENTAL LTD LINENS TENTS,6071.80,,Posted
08/24/2026,SQUARE INC DEPOSIT 0824 FERNWOOD CATERI,,1148.15,Posted
08/25/2026,ONLINE TRANSFER TO SAVINGS XXXXXX4471,3000.00,,Posted
08/26/2026,ACH DEBIT GUSTO PAYROLL NET,11154.30,,Posted
08/26/2026,ACH DEBIT GUSTO TAX,3261.59,,Posted
08/27/2026,SQUARE INC DEPOSIT 0827 FERNWOOD CATERI,,2123.81,Posted
08/28/2026,SQUARE INC DEPOSIT 0828 FERNWOOD CATERI,,1354.01,Posted
08/31/2026,MONTHLY SERVICE FEE,25.00,,Posted
08/31/2026,SQUARE INC DEPOSIT 0831 FERNWOOD CATERI,,1484.14,Posted
09/01/2026,ACH CREDIT KESTREL ANALYTICS LUNCH PROGRAM,,4226.97,Posted
09/01/2026,SQUARE INC DEPOSIT 0901 FERNWOOD CATERI,,2598.12,Posted
09/02/2026,SQUARE INC DEPOSIT 0902 FERNWOOD CATERI,,2716.45,Posted
08/30/2026,PENDING DEBIT CARD RESTAURANT DEPOT,1122.78,,Pending
08/31/2026,PENDING ACH DEBIT SYSCO SEATTLE,3314.92,,Pending
08/31/2026,PENDING DEPOSIT SQUARE INC,,1530.13,Pending
