MES batch record export - August 2026 - dates DD/MM/YYYY

Batch,Date,Line,SKU,Batch type,Rework of,Qty in,Unit in,Good qty,Good unit,Scrap qty,Scrap unit,Operator notes
GR0813-1,13/08/2026,Granola line,GRN-CIN-500,Production,,604,kg,1113,bags,11,kg,
BR0814-1,14/08/2026,Bar line,BAR-OAT-42,Production,,1032,kg,936,cs,74.7,kg,
BR0814-2,14/08/2026,Bar line,BAR-PB-42,Production,,1147,kg,1042,cs,76.2,kg,
BR0814-3,14/08/2026,Bar line,BAR-CHO-45,Rework,BR0812-2,50,kg,49,cs,5,kg,rework of BR0812-2 quarantine
BT0814-1,14/08/2026,Bites line,BITE-COCO-14,Production,,222,kg,14664,pcs,11300,g,
GR0814-1,14/08/2026,Granola line,GRN-HON-340,Production,,672,kg,"1,780",bags,20,kg,
BR0817-1,17/08/2026,Bar line,BAR-CHO-45,Production,,1214,kg,"1,249",cs,70.5,kg,
BR0817-2,17/08/2026,Bar line,BAR-OAT-42,Production,,1066,kg,23587,pcs,61.5,kg,
BR0817-3,17/08/2026,Bar line,BAR-OAT-42,Rework,BR0813-2,58.9,kg,47,cs,10.4,kg,rework of BR0813-2 quarantine
BR0817-4,17/08/2026,Bar line,BAR-OAT-42,Rework,BR0814-1,54.5,kg,43,cs,9.7,kg,rework of BR0814-1 quarantine
BT0817-1,17/08/2026,Bites line,BITE-DATE-12,Production,,203,kg,15950,pcs,9200,g,
GR0817-1,17/08/2026,Granola line,GRN-HON-340,Production,,648,kg,586.1,kg,19.6,kg,
BR0818-1,18/08/2026,Bar line,BAR-PB-42,Production,,1216,kg,1153,cs,36.6,kg,
BR0818-2,18/08/2026,Bar line,BAR-CHO-45,Production,,999,kg,1012,cs,70.2,kg,
BT0818-1,18/08/2026,Bites line,BITE-DATE-12,Production,,255,kg,19351,pcs,19.52,kg,
BT0818-2,18/08/2026,Bites line,BITE-DATE-12,Production,,193,kg,"14,205",pcs,"17,040",g,
GR0818-1,18/08/2026,Granola line,GRN-CIN-500,Production,,765,kg,"1,396",bags,19.9,kg,
GR0818-2,18/08/2026,Granola line,GRN-CIN-500,Production,,612,kg,"1,114",bags,30.2,kg,
BR0819-1,19/08/2026,Bar line,BAR-CHO-45,Production,,931,kg,"19,338",pcs,53.6,kg,
BR0819-2,19/08/2026,Bar line,BAR-PB-42,Production,,865,kg,19412,pcs,29,kg,
BT0819-1,19/08/2026,Bites line,BITE-COCO-14,Production,,160,kg,10810,pcs,6.01,kg,
GR0819-1,19/08/2026,Granola line,GRN-CIN-500,Production,,735,kg,686,kg,12.6,kg,
GR0819-2,19/08/2026,Granola line,GRN-CIN-500,Production,,633,kg,580.4,kg,23.2,kg,
BR0820-1,20/08/2026,Bar line,BAR-OAT-42,Production,,1189,kg,26758,pcs,51.6,kg,
BR0820-2,20/08/2026,Bar line,BAR-OAT-42,Production,,1005,kg,951,cs,38.2,kg,
BT0820-1,20/08/2026,Bites line,BITE-DATE-12,Production,,192,kg,14316,pcs,16.24,kg,
GR0820-1,20/08/2026,Granola line,GRN-CIN-500,Production,,799,kg,"1,467",bags,27.1,kg,
GR0820-2,20/08/2026,Granola line,GRN-HON-340,Production,,708,kg,649.4,kg,12.8,kg,
BR0821-1,21/08/2026,Bar line,BAR-CHO-45,Production,,973,kg,1002,cs,51.3,kg,
BT0821-1,21/08/2026,Bites line,BITE-DATE-12,Production,,185,kg,13739,pcs,16200,g,
GR0821-1,21/08/2026,Granola line,GRN-CIN-500,Production,,882,kg,"1,627",bags,22.7,kg,
BR0824-1,24/08/2026,Bar line,BAR-OAT-42,Production,,861,kg,799,cs,44,kg,
BR0824-2,24/08/2026,Bar line,BAR-OAT-42,Production,,964,kg,20686,pcs,76,kg,
BT0824-1,24/08/2026,Bites line,BITE-DATE-12,Production,,144,kg,11112,pcs,6410,g,
BT0824-2,24/08/2026,Bites line,BITE-DATE-12,Production,,174,kg,"13,525",pcs,8070,g,
BT0824-3,24/08/2026,Bites line,BITE-DATE-12,Rework,BT0820-1,10.8,kg,743,pcs,"1,770",g,rework of BT0820-1 quarantine
GR0824-1,24/08/2026,Granola line,GRN-CIN-500,Production,,674,kg,620.5,kg,24.5,kg,
BR0825-1,25/08/2026,Bar line,BAR-OAT-42,Production,,951,kg,"21,616",pcs,30.2,kg,
BR0825-2,25/08/2026,Bar line,BAR-PB-42,Production,,1167,kg,1069,cs,66.8,kg,
BT0825-1,25/08/2026,Bites line,BITE-COCO-14,Production,,235,kg,"14,862",pcs,"20,780",g,
GR0825-1,25/08/2026,Granola line,GRN-HON-340,Production,,666,kg,1776,bags,19.4,kg,
BR0826-1,26/08/2026,Bar line,BAR-CHO-45,Production,,1082,kg,1114,cs,67.5,kg,
BR0826-2,26/08/2026,Bar line,BAR-CHO-45,Production,,1212,kg,"25,051",pcs,62.2,kg,
BR0826-3,26/08/2026,Bar line,BAR-OAT-42,Rework,BR0824-2,56.3,kg,43,cs,11.7,kg,rework of BR0824-2 quarantine
BT0826-1,26/08/2026,Bites line,BITE-COCO-14,Production,,243,kg,"15,801",pcs,15610,g,
GR0826-1,26/08/2026,Granola line,GRN-HON-340,Production,,606,kg,"1,636",bags,25,kg,
BR0827-1,27/08/2026,Bar line,BAR-OAT-42,Production,,1244,kg,1129,cs,90.7,kg,
BT0827-1,27/08/2026,Bites line,BITE-DATE-12,Production,,248,kg,"19,124",pcs,15910,g,
GR0827-1,27/08/2026,Granola line,GRN-HON-340,Production,,630,kg,"1,686",bags,16.7,kg,
BR0828-1,28/08/2026,Bar line,BAR-CHO-45,Production,,921,kg,968,cs,33.6,kg,
BR0828-2,28/08/2026,Bar line,BAR-OAT-42,Production,,1116,kg,"1,012",cs,83.7,kg,
BT0828-1,28/08/2026,Bites line,BITE-DATE-12,Production,,149,kg,"11,227",pcs,11670,g,
BT0828-2,28/08/2026,Bites line,BITE-COCO-14,Rework,BT0825-1,15.8,kg,840,pcs,"3,870",g,rework of BT0825-1 quarantine
GR0828-1,28/08/2026,Granola line,GRN-HON-340,Production,,654,kg,611.9,kg,13,kg,
GR0828-2,28/08/2026,Granola line,GRN-CIN-500,Production,,632,kg,1134,bags,29.8,kg,
GR0828-3,28/08/2026,Granola line,GRN-HON-340,Rework,GR0826-1,18.4,kg,43,bags,3.3,kg,rework of GR0826-1 quarantine
BR0831-1,31/08/2026,Bar line,BAR-CHO-45,Production,,1079,kg,"1,126",cs,51.1,kg,
BR0831-2,31/08/2026,Bar line,BAR-CHO-45,Production,,1253,kg,"25,843",pcs,68.4,kg,
BT0831-1,31/08/2026,Bites line,BITE-COCO-14,Production,,231,kg,15610,pcs,8.65,kg,
BT0831-2,31/08/2026,Bites line,BITE-COCO-14,Production,,177,kg,"11,442",pcs,13.63,kg,
GR0831-1,31/08/2026,Granola line,GRN-HON-340,Production,,764,kg,684.6,kg,32.3,kg,
