Parent,Parent Description,Component,Component Description,Qty Per,UoM
TBL-2448,Work table 24x48 with undershelf,3010,Bolt 1/4-20 x 3/4 SS,8,ea
TBL-2448,Work table 24x48 with undershelf,003011,Nylock nut 1/4-20 SS,8.00,ea
TBL-2448,Work table 24x48 with undershelf,3020,Welding wire ER308L 0.035 (lb),0.50,lb
TBL-2448,Work table 24x48 with undershelf,5020,Crate table,1,ea
TBL-2448,Work table 24x48 with undershelf,005030,Serial plate label,1,ea
TBL-3048,Work table 30x48 with undershelf,001010,SS304 sheet 16ga 48x96,1,sheet
TBL-3048,Work table 30x48 with undershelf,1012,SS304 sheet 18ga 36x96,0.5,sheet
TBL-3048,Work table 30x48 with undershelf,001030,SS leg 1-5/8in x 34in,4,ea
TBL-3048,Work table 30x48 with undershelf,002020,Adjustable bullet foot 1-5/8in,4,ea
TBL-3048,Work table 30x48 with undershelf,002110,Undershelf gusset,4,ea
TBL-3048,Work table 30x48 with undershelf,3010,Bolt 1/4-20 x 3/4 SS,8,ea
TBL-3048,Work table 30x48 with undershelf,3011,Nylock nut 1/4-20 SS,8.00,ea
TBL-3048,Work table 30x48 with undershelf,003020,Welding wire ER308L 0.035 (lb),0.5,lb
TBL-3048,Work table 30x48 with undershelf,005020,Crate table,1,ea
TBL-3048,Work table 30x48 with undershelf,005020,Crate table,1,ea
TBL-3048,Work table 30x48 with undershelf,5030,Serial plate label,1,ea
SNK-1C18,One-compartment sink 18x18,2070,Sink bowl 18x18x12 SS,1.00,ea
SNK-1C18,One-compartment sink 18x18,002080,Lever waste drain 3.5in,1,ea
SNK-1C18,One-compartment sink 18x18,002090,Deck faucet 8in splash mount,1,ea
SNK-1C18,One-compartment sink 18x18,1010,SS304 sheet 16ga 48x96,1,sheet
SNK-1C18,One-compartment sink 18x18,1030,SS leg 1-5/8in x 34in,4,ea
SNK-1C18,One-compartment sink 18x18,2020,Adjustable bullet foot 1-5/8in,4,ea
SNK-1C18,One-compartment sink 18x18,3020,Welding wire ER308L 0.035 (lb),1.00,lb
SNK-1C18,One-compartment sink 18x18,005021,Crate sink,1,ea
SNK-1C18,One-compartment sink 18x18,5030,Serial plate label,1,ea
SNK-3C18,Three-compartment sink 18x18,2070,Sink bowl 18x18x12 SS,3,ea
SNK-3C18,Three-compartment sink 18x18,002080,Lever waste drain 3.5in,3,ea
SNK-3C18,Three-compartment sink 18x18,002090,Deck faucet 8in splash mount,2.00,ea
SNK-3C18,Three-compartment sink 18x18,001010,SS304 sheet 16ga 48x96,2,sheet
SNK-3C18,Three-compartment sink 18x18,001030,SS leg 1-5/8in x 34in,6,ea
SNK-3C18,Three-compartment sink 18x18,2020,Adjustable bullet foot 1-5/8in,6.00,ea
SNK-3C18,Three-compartment sink 18x18,3020,Welding wire ER308L 0.035 (lb),2,lb
SNK-3C18,Three-compartment sink 18x18,005021,Crate sink,1,ea
SNK-3C18,Three-compartment sink 18x18,5030,Serial plate label,1,ea
TBL-EQ-2430,Equipment stand 24x30,001010,SS304 sheet 16ga 48x96,0.50,sheet
TBL-EQ-2430,Equipment stand 24x30,1031,SS leg 1-5/8in x 30in,4.00,ea
TBL-EQ-2430,Equipment stand 24x30,002020,Adjustable bullet foot 1-5/8in,4,ea
TBL-EQ-2430,Equipment stand 24x30,003010,Bolt 1/4-20 x 3/4 SS,4.00,ea
TBL-EQ-2430,Equipment stand 24x30,003011,Nylock nut 1/4-20 SS,4,ea
TBL-EQ-2430,Equipment stand 24x30,3020,Welding wire ER308L 0.035 (lb),0.25,lb
TBL-EQ-2430,Equipment stand 24x30,005020,Crate table,1.00,ea
TBL-EQ-2430,Equipment stand 24x30,5030,Serial plate label,1,ea
CRT-1827-2S,Utility cart 18x27 two shelf,1012,SS304 sheet 18ga 36x96,0.5,sheet
CRT-1827-2S,Utility cart 18x27 two shelf,1040,Cart upright SS 1in x 36in,4.00,ea
CRT-1827-2S,Utility cart 18x27 two shelf,002011,Caster 5in swivel,2,ea
CRT-1827-2S,Utility cart 18x27 two shelf,002012,Caster 5in rigid,2.00,ea
CRT-1827-2S,Utility cart 18x27 two shelf,002012,Caster 5in rigid,2.00,ea
CRT-1827-2S,Utility cart 18x27 two shelf,2050,Push handle SS 18in,1.00,ea
CRT-1827-2S,Utility cart 18x27 two shelf,2060,Corner bumper rubber,4.00,ea
CRT-1827-2S,Utility cart 18x27 two shelf,3010,Bolt 1/4-20 x 3/4 SS,16,ea
CRT-1827-2S,Utility cart 18x27 two shelf,3011,Nylock nut 1/4-20 SS,16,ea
CRT-1827-2S,Utility cart 18x27 two shelf,003012,Hex bolt 3/8-16 x 1 SS,8,ea
CRT-1827-2S,Utility cart 18x27 two shelf,5010,Carton kit cart,1,ea
CRT-1827-2S,Utility cart 18x27 two shelf,005030,Serial plate label,1.00,ea
CRT-1827-3S,Utility cart 18x27 three shelf,1012,SS304 sheet 18ga 36x96,0.75,sheet
CRT-1827-3S,Utility cart 18x27 three shelf,001040,Cart upright SS 1in x 36in,4,ea
CRT-1827-3S,Utility cart 18x27 three shelf,002011,Caster 5in swivel,2,ea
CRT-1827-3S,Utility cart 18x27 three shelf,002012,Caster 5in rigid,2.00,ea
CRT-1827-3S,Utility cart 18x27 three shelf,002050,Push handle SS 18in,1.00,ea
CRT-1827-3S,Utility cart 18x27 three shelf,002060,Corner bumper rubber,4,ea
CRT-1827-3S,Utility cart 18x27 three shelf,003010,Bolt 1/4-20 x 3/4 SS,24,ea
CRT-1827-3S,Utility cart 18x27 three shelf,3011,Nylock nut 1/4-20 SS,24,ea
CRT-1827-3S,Utility cart 18x27 three shelf,003012,Hex bolt 3/8-16 x 1 SS,8.00,ea
CRT-1827-3S,Utility cart 18x27 three shelf,005010,Carton kit cart,1,ea
CRT-1827-3S,Utility cart 18x27 three shelf,005030,Serial plate label,1.00,ea
CRT-2436-2S,Utility cart 24x36 two shelf,1012,SS304 sheet 18ga 36x96,1,sheet
CRT-2436-2S,Utility cart 24x36 two shelf,001040,Cart upright SS 1in x 36in,4,ea
CRT-2436-2S,Utility cart 24x36 two shelf,2010,Caster 5in swivel with brake,2,ea
CRT-2436-2S,Utility cart 24x36 two shelf,002012,Caster 5in rigid,2.00,ea
CRT-2436-2S,Utility cart 24x36 two shelf,2051,Push handle SS 24in,1.00,ea
CRT-2436-2S,Utility cart 24x36 two shelf,2060,Corner bumper rubber,4,ea
CRT-2436-2S,Utility cart 24x36 two shelf,3010,Bolt 1/4-20 x 3/4 SS,16,ea
CRT-2436-2S,Utility cart 24x36 two shelf,003011,Nylock nut 1/4-20 SS,16,ea
CRT-2436-2S,Utility cart 24x36 two shelf,3012,Hex bolt 3/8-16 x 1 SS,8.00,ea
CRT-2436-2S,Utility cart 24x36 two shelf,005010,Carton kit cart,1,ea
CRT-2436-2S,Utility cart 24x36 two shelf,005030,Serial plate label,1,ea
CRT-BUS-3S,Bus cart three shelf,1012,SS304 sheet 18ga 36x96,0.75,sheet
CRT-BUS-3S,Bus cart three shelf,1040,Cart upright SS 1in x 36in,4,ea
CRT-BUS-3S,Bus cart three shelf,002011,Caster 5in swivel,2.00,ea
CRT-BUS-3S,Bus cart three shelf,2012,Caster 5in rigid,2.00,ea
CRT-BUS-3S,Bus cart three shelf,002051,Push handle SS 24in,1.00,ea
CRT-BUS-3S,Bus cart three shelf,002061,Perimeter bumper strip 6ft,2.00,ea
CRT-BUS-3S,Bus cart three shelf,003010,Bolt 1/4-20 x 3/4 SS,24,ea
CRT-BUS-3S,Bus cart three shelf,003010,Bolt 1/4-20 x 3/4 SS,24,ea
CRT-BUS-3S,Bus cart three shelf,003011,Nylock nut 1/4-20 SS,24,ea
CRT-BUS-3S,Bus cart three shelf,3012,Hex bolt 3/8-16 x 1 SS,8,ea
CRT-BUS-3S,Bus cart three shelf,005010,Carton kit cart,1.00,ea
CRT-BUS-3S,Bus cart three shelf,5030,Serial plate label,1,ea
CRT-UTIL-HD,Heavy-duty utility cart 24x48,1010,SS304 sheet 16ga 48x96,1.00,sheet
CRT-UTIL-HD,Heavy-duty utility cart 24x48,1020,SS304 square tube 1-1/4in x 20ft,0.5,ea
CRT-UTIL-HD,Heavy-duty utility cart 24x48,002015,Caster 6in polyurethane swivel,4,ea
CRT-UTIL-HD,Heavy-duty utility cart 24x48,002051,Push handle SS 24in,2,ea
CRT-UTIL-HD,Heavy-duty utility cart 24x48,002060,Corner bumper rubber,4,ea
CRT-UTIL-HD,Heavy-duty utility cart 24x48,3010,Bolt 1/4-20 x 3/4 SS,24.00,ea
CRT-UTIL-HD,Heavy-duty utility cart 24x48,3011,Nylock nut 1/4-20 SS,24.00,ea
CRT-UTIL-HD,Heavy-duty utility cart 24x48,3012,Hex bolt 3/8-16 x 1 SS,16,ea
CRT-UTIL-HD,Heavy-duty utility cart 24x48,3020,Welding wire ER308L 0.035 (lb),0.5,lb
CRT-UTIL-HD,Heavy-duty utility cart 24x48,5010,Carton kit cart,1,ea
CRT-UTIL-HD,Heavy-duty utility cart 24x48,5030,Serial plate label,1,ea
DOL-1818,Dolly 18x18,1020,SS304 square tube 1-1/4in x 20ft,0.25,ea
DOL-1818,Dolly 18x18,002013,Caster 3in swivel,4.00,ea
DOL-1818,Dolly 18x18,003040,Rivet SS 3/16,8,ea
DOL-1818,Dolly 18x18,003012,Hex bolt 3/8-16 x 1 SS,4,ea
DOL-1818,Dolly 18x18,005030,Serial plate label,1,ea
SHF-1848-4T,Wire shelving 18x48 four tier,001050,Shelving post chrome 74in,4,ea
SHF-1848-4T,Wire shelving 18x48 four tier,2030,Wire shelf chrome 18x48,4,ea
SHF-1848-4T,Wire shelving 18x48 four tier,002040,Split sleeve pair,16.00,ea
SHF-1848-4T,Wire shelving 18x48 four tier,2021,Leveling foot for shelving post,4.00,ea
SHF-1848-4T,Wire shelving 18x48 four tier,005011,Carton shelving 4-tier,1.00,ea
SHF-1848-4T,Wire shelving 18x48 four tier,5030,Serial plate label,1,ea
SHF-2448-4T,Wire shelving 24x48 four tier,1050,Shelving post chrome 74in,4.00,ea
SHF-2448-4T,Wire shelving 24x48 four tier,002031,Wire shelf chrome 24x48,4,ea
SHF-2448-4T,Wire shelving 24x48 four tier,002040,Split sleeve pair,16,ea
SHF-2448-4T,Wire shelving 24x48 four tier,2021,Leveling foot for shelving post,4.00,ea
SHF-2448-4T,Wire shelving 24x48 four tier,5011,Carton shelving 4-tier,1,ea
SHF-2448-4T,Wire shelving 24x48 four tier,5030,Serial plate label,1.00,ea
SHF-1836-5T,Wire shelving 18x36 five tier,1050,Shelving post chrome 74in,4,ea
SHF-1836-5T,Wire shelving 18x36 five tier,002032,Wire shelf chrome 18x36,5,ea
SHF-1836-5T,Wire shelving 18x36 five tier,2040,Split sleeve pair,20,ea
SHF-1836-5T,Wire shelving 18x36 five tier,002021,Leveling foot for shelving post,4.00,ea
SHF-1836-5T,Wire shelving 18x36 five tier,005012,Carton shelving 5-tier,1,ea
SHF-1836-5T,Wire shelving 18x36 five tier,5030,Serial plate label,1,ea
SHF-2460-4T,Wire shelving 24x60 four tier,001050,Shelving post chrome 74in,4,ea
SHF-2460-4T,Wire shelving 24x60 four tier,2033,Wire shelf chrome 24x60,4,ea
SHF-2460-4T,Wire shelving 24x60 four tier,002040,Split sleeve pair,16.00,ea
SHF-2460-4T,Wire shelving 24x60 four tier,2021,Leveling foot for shelving post,4,ea
SHF-2460-4T,Wire shelving 24x60 four tier,005011,Carton shelving 4-tier,1,ea
SHF-2460-4T,Wire shelving 24x60 four tier,5030,Serial plate label,1.00,ea
SHF-DUN-2036,Dunnage rack 20x36,002034,Solid shelf SS 20x36 dunnage,1.00,ea
SHF-DUN-2036,Dunnage rack 20x36,1020,SS304 square tube 1-1/4in x 20ft,0.25,ea
SHF-DUN-2036,Dunnage rack 20x36,002022,Flanged foot 1-5/8in,4,ea
SHF-DUN-2036,Dunnage rack 20x36,003014,Carriage bolt 5/16-18 x 1 SS,8.00,ea
SHF-DUN-2036,Dunnage rack 20x36,005030,Serial plate label,1.00,ea
RCK-PAN-20,Pan rack 20 slot,001021,SS304 square tube 1in x 20ft,1,ea
RCK-PAN-20,Pan rack 20 slot,002100,Pan slide angle 18in pair,20,ea
RCK-PAN-20,Pan rack 20 slot,002012,Caster 5in rigid,2,ea
RCK-PAN-20,Pan rack 20 slot,2011,Caster 5in swivel,2,ea
RCK-PAN-20,Pan rack 20 slot,003012,Hex bolt 3/8-16 x 1 SS,8,ea
RCK-PAN-20,Pan rack 20 slot,003040,Rivet SS 3/16,40.00,ea
RCK-PAN-20,Pan rack 20 slot,005030,Serial plate label,1,ea
SHF-WALL-36,Wall shelf 12x36,1013,SS430 sheet 18ga 36x96,0.25,sheet
SHF-WALL-36,Wall shelf 12x36,001060,Wall shelf bracket SS 12in,2,ea
SHF-WALL-36,Wall shelf 12x36,003014,Carriage bolt 5/16-18 x 1 SS,4,ea
SHF-WALL-36,Wall shelf 12x36,005030,Serial plate label,1,ea
SHF-WALL-36,Wall shelf 12x36,9950,Wall anchor kit,2,ea
