Cascade Credit Union
Business Checking ******4471
Transactions 08/20/2026 - 09/12/2026

Post Date,Tran Date,Reference,Description,Memo,Amount,Type,Status,Balance
2026-09-04,09/04/26,000013714,ACH CREDIT ETSY INC PAYOUT 759459,ELECTRONIC DEPOSIT,"1,335.23",CREDIT,Posted,9685.64
2026-09-04,09/03/26,000049549,DBT CRD 0903 AMAZON PRIME*877551 AMZN.COM/BILL WA,POS DEBIT NON-PIN,14.99,DEBIT,Posted,9670.65
2026-09-04,09/03/26,000019835,DBT CRD 0903 AMZN MKTP US*634579 SEATTLE WA,POS DEBIT NON-PIN,33.69,DEBIT,Posted,9636.96
2026-09-04,09/04/26,000078150,ONLINE TRANSFER TO SAVINGS XXXXXX0093,HOME BANKING TRANSFER,750.00,DEBIT,Posted,8886.96
2026-09-05,09/05/26,159445455,ACH DEBIT ADOBE *CREATIVE CLOUD,ELECTRONIC WITHDRAWAL,59.99,DEBIT,Posted,8826.97
2026-09-05,09/04/26,000083671,POS PURCHASE 0904 TALAS DIV OF TECHNICAL LIB BROOKLYN NY,POS PURCHASE PIN,177.97,DEBIT,Posted,8649.00
2026-09-06,09/06/26,000068318,ACH DEBIT UPS BILLING 610935,ELECTRONIC WITHDRAWAL,39.21,DEBIT,Posted,8609.79
2026-09-06,09/03/26,000042265,POS PURCHASE 0903 OFFICE DEPOT #2231 PORTLAND OR,POS PURCHASE PIN,29.35,DEBIT,Posted,8580.44
2026-09-06,09/04/26,535517698,POS PURCHASE 0904 TALAS DIV OF TECHNICAL LIB BROOKLYN NY,POS PURCHASE PIN,223.23,DEBIT,Posted,8357.21
2026-09-07,09/07/26,000026475,ACH DEBIT PAYPAL INST XFER 696069,ELECTRONIC WITHDRAWAL,49.28,DEBIT,Posted,8307.93
2026-09-08,09/08/26,000028675,ACH CREDIT ETSY INC PAYOUT 271427,ELECTRONIC DEPOSIT,823.64,CREDIT,Posted,9131.57
2026-09-08,09/08/26,000092483,ACH DEBIT SHOPIFY* 590042,ELECTRONIC WITHDRAWAL,39.00,DEBIT,Posted,9092.57
2026-09-09,09/09/26,965402528,ONLINE TRANSFER FROM SAVINGS XXXXXX0093,HOME BANKING TRANSFER,"1,200.00",CREDIT,Posted,10292.57
2026-09-10,09/10/26,000042182,ACH DEBIT HOLLANDERS DECORATIVE ANN ARBOR MI,ELECTRONIC WITHDRAWAL,139.78,DEBIT,Posted,10152.79
2026-09-10,09/10/26,000019446,ACH DEBIT PGANDE WEB ONLINE,ELECTRONIC WITHDRAWAL,96.85,DEBIT,Posted,10055.94
2026-09-10,09/09/26,647122558,DBT CRD 0909 AMZN MKTP US*008913 SEATTLE WA,POS DEBIT NON-PIN,27.22,DEBIT,Posted,10028.72
2026-09-10,09/08/26,904548527,DBT CRD RETURN 0908 AMZN MKTP US*146546 SEATTLE WA,POS DEBIT NON-PIN,79.99,CREDIT,Posted,10108.71
2026-09-11,09/11/26,000038585,ACH CREDIT SQUARE INC SDV142851,ELECTRONIC DEPOSIT,796.21,CREDIT,Posted,10904.92
2026-09-11,09/11/26,866669116,ACH DEBIT HOLLANDERS DECORATIVE ANN ARBOR MI,ELECTRONIC WITHDRAWAL,153.58,DEBIT,Posted,10751.34
2026-09-11,09/08/26,000011094,DBT CRD 0908 AMZN MKTP US*638120 SEATTLE WA,POS DEBIT NON-PIN,63.43,DEBIT,Posted,10687.91
2026-09-11,09/08/26,000005166,DBT CRD 0908 USPS PO 4057120331 PORTLAND OR,POS DEBIT NON-PIN,19.11,DEBIT,Posted,10668.80
2026-09-11,09/10/26,000017104,DBT CRD 0910 THE UPS STORE #4402 PORTLAND OR,POS DEBIT NON-PIN,23.85,DEBIT,Posted,10644.95
2026-09-12,09/12/26,000002003,DBT CRD 0912 BLUE BOTTLE COFFEE PORTLAND OR,POS DEBIT NON-PIN,16.26,DEBIT,Posted,10628.69
,09/11/26,,ACH DEBIT PAYPAL INST XFER 522758,ELECTRONIC WITHDRAWAL,46.76,DEBIT,Pending,
,09/12/26,,DBT CRD 0912 BLUE BOTTLE COFFEE PORTLAND OR,POS DEBIT NON-PIN,17.87,DEBIT,Pending,
,09/12/26,,DBT CRD 0912 PAYPAL *ETSY LABELS 402-935-7733 CA,POS DEBIT NON-PIN,35.06,DEBIT,Pending,
