Zephyr Bike Works - Inventory by location
As of 09/12/2026 close
SKU,Description,Location,On Hand,Retail,Last Sold
LU-WAX4OZ-Q,Lube wax 4oz (QBP code),Warehouse,13,$14.99,04/27/2026
LU-WET4OZ,Lube wet 4oz,Main,3,$9.99,06/05/2026
LU-WET4OZ,Lube wet 4oz,Warehouse,13,$9.99,08/08/2026
TS-20X175,Tube 20x1.75 schrader,Main,15,$9.99,02/24/2026
TS-20X175,Tube 20x1.75 schrader,Warehouse,36,$9.99,05/17/2026
TS-20X175-BULK,Tube 20x1.75 schrader (bulk),Main,4,$8.99,03/05/2026
TS-20X175-BULK,Tube 20x1.75 schrader (bulk),Warehouse,27,$8.99,06/17/2026
TS-26X21-BULK,Tube 26x2.1 schrader (bulk),Main,5,$9.99,03/21/2026
TS-26X21-BULK,Tube 26x2.1 schrader (bulk),Warehouse,13,$9.99,05/12/2026
TS-275X23,Tube 27.5x2.3 schrader,Main,17,$12.99,01/06/2026
TS-275X23-BULK,Tube 27.5x2.3 schrader (bulk),Main,2,$12.99,06/23/2026
TS-275X23-BULK,Tube 27.5x2.3 schrader (bulk),Warehouse,31,$12.99,01/26/2026
TS-29X22,Tube 29x2.2 schrader,Main,18,$12.99,05/02/2026
TS-29X22,Tube 29x2.2 schrader,Warehouse,39,$12.99,06/21/2026
TS-29X22-BULK,Tube 29x2.2 schrader (bulk),Main,6,$11.99,03/17/2026
TS-29X22-BULK,Tube 29x2.2 schrader (bulk),Warehouse,37,$11.99,04/19/2026
TU-650X47,Tube 650x47 presta,Main,14,$8.99,05/26/2026
TU-650X47,Tube 650x47 presta,Warehouse,5,$8.99,08/31/2026
TU-650X47-BULK,Tube 650x47 presta (bulk),Main,8,$8.99,08/08/2026
TU-650X47-Q,Tube 650x47 presta (QBP code),Main,11,$8.99,01/26/2026
TU-650X47-Q,Tube 650x47 presta (QBP code),Warehouse,25,$8.99,07/05/2026
TU-700X25,Tube 700x25 presta,Main,15,$7.99,03/11/2026
TU-700X25-BULK,Tube 700x25 presta (bulk),Main,10,$7.99,03/26/2026
TU-700X25-BULK,Tube 700x25 presta (bulk),Warehouse,32,$7.99,07/18/2026
TU-700X28-BULK,Tube 700x28 presta (bulk),Main,2,$10.99,03/04/2026
TU-700X32-BULK,Tube 700x32 presta (bulk),Main,4,$13.99,05/16/2026
TU-700X32-BULK,Tube 700x32 presta (bulk),Warehouse,31,$13.99,03/19/2026
TU-700X32-Q,Tube 700x32 presta (QBP code),Main,12,$11.99,01/12/2026
ZBW-BOTTLE-21,Zephyr logo bottle 21oz,Main,6,$12.99,01/22/2026
ZBW-CAP-CYC,Zephyr cycling cap,Main,12,$24.99,05/29/2026
ZBW-SOCK-SM,Zephyr socks S/M,Main,11,$14.99,07/20/2026
ZBW-SOCK-SM,Zephyr socks S/M,Warehouse,59,$14.99,02/01/2026
ZBW-STICKER,Zephyr sticker pack,Main,22,$4.99,04/17/2026
ZBW-TEE-L,Zephyr shop tee L,Main,15,$29.99,02/01/2026
ZBW-TEE-M,Zephyr shop tee M,Main,9,$29.99,08/09/2026
ZBW-TEE-M,Zephyr shop tee M,Warehouse,13,$29.99,03/20/2026
