Old SKU,Old Description,New SKU,New Description
GR-ESICHUNKY-J,GRIPS ESI CHUNKY (J&B CODE),GR3089,Lock-on grips ESI Chunky
GR-ODIRUFFIAN-Q,GRIPS ODI RUFFIAN (QBP CODE),GR6182,Lock-on grips ODI Ruffian
LK-STANDARD9I,U-LOCK STANDARD 9IN,LK1257,U-lock standard 9in
LK-MINI7IN,U-LOCK MINI 7IN,LK7754,U-lock mini 7in
LT-REAR100LM,LIGHT REAR 100LM,LT2942,Light rear 100lm
LT-FRONT1500L,LIGHT FRONT 1500LM,LT7098,Light front 1500lm
LT-FRONT800LM,LIGHT FRONT 800LM,LT8861,Light front 800lm
LU-DRY4OZ,LUBE DRY 4OZ,LU1324,Chain lube dry 4oz
LU-WET4OZ,LUBE WET 4OZ,LU3625,Chain lube wet 4oz
LU-WAX4OZ-Q,LUBE WAX 4OZ (QBP CODE),LU9531,Chain lube wax 4oz
LU-WAX4OZ,LUBE WAX 4OZ,LU9533,Chain lube wax 4oz
TS-29X22-BULK,TUBE 29X2.2 SCHRADER (BULK),TS3640,Inner tube 29x2.2 Schrader
TS-29X22,TUBE 29X2.2 SCHRADER,TS3640,Inner tube 29x2.2 Schrader
TS-20X175-BULK,TUBE 20X1.75 SCHRADER (BULK),TS9205,Inner tube 20x1.75 Schrader
TS-20X175,TUBE 20X1.75 SCHRADER,TS9207,Inner tube 20x1.75 Schrader
TS-26X21-BULK,TUBE 26X2.1 SCHRADER (BULK),TS9358,Inner tube 26x2.1 Schrader
TS-275X23-BULK,TUBE 27.5X2.3 SCHRADER (BULK),TS9607,Inner tube 27.5x2.3 Schrader
TS-275X23,TUBE 27.5X2.3 SCHRADER,TS9609,Inner tube 27.5x2.3 Schrader
TU-700X28-BULK,TUBE 700X28 PRESTA (BULK),TU1585,Inner tube 700x28 Presta 48mm
TU-700X25,TUBE 700X25 PRESTA,TU1926,Inner tube 700x25 Presta 48mm
TU-700X25-BULK,TUBE 700X25 PRESTA (BULK),TU1926,Inner tube 700x25 Presta 48mm
TU-650X47,TUBE 650X47 PRESTA,TU7226,Inner tube 650x47 Presta 48mm
TU-650X47-Q,TUBE 650X47 PRESTA (QBP CODE),TU7226,Inner tube 650x47 Presta 48mm
TU-650X47-BULK,TUBE 650X47 PRESTA (BULK),TU7226,Inner tube 650x47 Presta 48mm
TU-700X32-BULK,TUBE 700X32 PRESTA (BULK),TU9340,Inner tube 700x32 Presta 48mm
TU-700X32-Q,TUBE 700X32 PRESTA (QBP CODE),TU9340,Inner tube 700x32 Presta 48mm
TU-700X32,TUBE 700X32 PRESTA,TU9340,Inner tube 700x32 Presta 48mm
