scan_id,badge_id,scanned_at,door
S50144,REG-1173,2026-09-17 14:24:38,Main entrance
S50145,REG-1001,2026-09-17 14:24:43,Main entrance
S50146,REG-1100,2026-09-17 14:25:21,Hall B
S50147,REG-1138,2026-09-17 14:26:52,Main entrance
S50148,REG-1124,2026-09-17 14:28:54,Main entrance
S50149,REG-1177,2026-09-17 14:31:21,Main entrance
S50150,REG-1152,2026-09-17 14:32:46,Main entrance
S50151,REG-1033,2026-09-17 14:34:33,Registration desk
S50152,REG-1207,2026-09-17 14:38:50,Hall B
S50153,REG-1118,2026-09-17 14:39:53,Main entrance
S50154,REG-1192,2026-09-17 14:42:09,Main entrance
S50155,REG-1048,2026-09-17 14:44:04,Main entrance
S50156,REG-1039,2026-09-17 14:45:49,Main entrance
S50157,REG-1153,2026-09-17 14:46:54,Registration desk
S50158,REG-1057,2026-09-17 14:49:08,Main entrance
S50159,REG-1201,2026-09-17 14:51:03,Main entrance
S50160,REG-1050,2026-09-17 14:52:15,Registration desk
S50161,REG-1083,2026-09-17 14:54:43,Registration desk
S50162,REG-1056,2026-09-17 14:57:41,Main entrance
S50163,REG-1063,2026-09-17 14:57:53,Main entrance
S50164,REG-1072,2026-09-17 15:00:15,Main entrance
S50165,REG-1145,2026-09-17 15:02:09,Main entrance
S50166,REG-1229,2026-09-17 15:07:21,Main entrance
S50167,reg-1165,2026-09-17 15:10:21,Main entrance
S50168,REG-1197,2026-09-17 15:11:41,Registration desk
S50169,REG-1008,2026-09-17 15:13:40,Main entrance
S50170,REG-1228,2026-09-17 15:20:10,Registration desk
S50171,REG-1006,2026-09-17 15:20:54,Registration desk
S50172,REG-1181,2026-09-17 15:29:36,Main entrance
S50173,REG-1105,2026-09-17 15:31:22,Main entrance
S50174,REG-1012,2026-09-17 15:32:59,Hall B
S50175,REG-1022,2026-09-17 15:35:22,Registration desk
S50176,REG-1206,2026-09-17 15:35:39,Main entrance
S50177,REG-1042,2026-09-17 15:38:24,Registration desk
S50178,REG-1004,2026-09-17 15:39:14,Main entrance
S50179,REG-1024,2026-09-17 15:41:18,Main entrance
S50180,REG-1240,2026-09-17 15:41:49,Main entrance
S50181,REG-1205,2026-09-17 15:42:56,Hall B
S50182,REG-1110,2026-09-17 15:43:49,Main entrance
S50183,REG-1155,2026-09-17 15:44:36,Main entrance
S50184,REG-1123,2026-09-17 15:46:06,Registration desk
S50185,REG-1168,2026-09-17 15:46:55,Registration desk
S50186,REG-1121,2026-09-17 15:46:58,Main entrance
S50187,REG-1232,2026-09-17 15:47:29,Main entrance
S50188,REG-1044,2026-09-17 15:48:57,Main entrance
S50189,REG-1032,2026-09-17 15:49:19,Main entrance
S50190,REG-1077,2026-09-17 15:49:55,Main entrance
S50191,REG-1131,2026-09-17 15:50:44,Hall B
S50192,STF-102,2026-09-17 16:03:38,Main entrance
S50193,STF-115,2026-09-17 16:35:06,Main entrance
S50194,STF-103,2026-09-17 18:05:08,Registration desk
S50195,STF-129,2026-09-17 18:16:13,Main entrance
S50196,STF-120,2026-09-17 18:16:45,Main entrance
S50197,STF-111,2026-09-17 18:57:10,Main entrance
S50198,STF-127,2026-09-18 07:04:43,Main entrance
S50199,STF-123,2026-09-18 07:21:17,Hall B
S50200,REG-1096,2026-09-18 08:02:12,Main entrance
S50201,REG-1131,2026-09-18 08:06:29,Main entrance
S50202,REG-1118,2026-09-18 08:10:53,Main entrance
S50203,REG-1019,2026-09-18 08:11:44,Main entrance
S50204,REG-1066,2026-09-18 08:16:28,Hall B
S50205,REG-1163,2026-09-18 08:21:41,Registration desk
S50206,REG-1138,2026-09-18 08:22:02,Registration desk
S50207,STF-137,2026-09-18 08:22:02,Main entrance
S50208,REG-1072,2026-09-18 08:23:27,Main entrance
S50209,REG-1036,2026-09-18 08:32:51,Main entrance
S50210,REG-1018,2026-09-18 08:33:04,Main entrance
S50211,REG-1149,2026-09-18 08:37:08,Main entrance
S50212,REG-1165,2026-09-18 08:37:35,Main entrance
S50213,reg-1011,2026-09-18 08:37:55,Main entrance
S50214,REG-1092,2026-09-18 08:37:58,Main entrance
S50215,REG-1041,2026-09-18 08:38:25,Hall B
S50216,REG-1205,2026-09-18 08:39:43,Main entrance
S50217,REG-1121,2026-09-18 08:41:07,Main entrance
S50218,REG-1069,2026-09-18 08:42:04,Main entrance
S50219,REG-1168,2026-09-18 08:42:55,Main entrance
S50220,REG-1126,2026-09-18 08:43:10,Registration desk
S50221,REG-1120,2026-09-18 08:44:00,Main entrance
S50222,STF-101,2026-09-18 08:44:36,Registration desk
S50223,REG-1225,2026-09-18 08:45:08,Main entrance
S50224,REG-1076,2026-09-18 08:45:29,Main entrance
S50225,REG-1093,2026-09-18 08:47:04,Hall B
S50226,REG-1006,2026-09-18 08:48:07,Main entrance
S50227,REG-1057,2026-09-18 08:53:11,Registration desk
S50228,REG-1208,2026-09-18 08:54:08,Main entrance
S50229,REG-1110,2026-09-18 08:54:48,Main entrance
S50230,REG-1024,2026-09-18 08:54:56,Main entrance
S50231,REG-1158,2026-09-18 08:55:02,Main entrance
S50232,REG-1064,2026-09-18 08:55:40,Main entrance
S50233,REG-1056,2026-09-18 08:57:06,Main entrance
S50234,REG-1197,2026-09-18 08:58:10,Main entrance
S50235,REG-1051,2026-09-18 09:05:37,Registration desk
S50236,REG-1141,2026-09-18 09:11:18,Registration desk
S50237,reg-1052,2026-09-18 09:12:20,Main entrance
S50238,REG-1159,2026-09-18 09:12:40,Main entrance
S50239,REG-1099,2026-09-18 09:13:33,Main entrance
S50240,REG-1077,2026-09-18 09:15:23,Registration desk
S50241,REG-1155,2026-09-18 09:15:36,Main entrance
S50242,REG-1142,2026-09-18 09:19:25,Main entrance
S50243,REG-1045,2026-09-18 09:19:29,Main entrance
S50244,REG-1021,2026-09-18 09:19:55,Hall B
S50245,REG-1176,2026-09-18 09:20:54,Registration desk
S50246,REG-1242,2026-09-18 09:21:16,Hall B
S50247,REG-1215,2026-09-18 09:21:33,Registration desk
S50248,REG-1211,2026-09-18 09:24:41,Main entrance
S50249,REG-1135,2026-09-18 09:24:50,Main entrance
S50250,REG-1218,2026-09-18 09:27:47,Main entrance
S50251,REG-1232,2026-09-18 09:29:18,Main entrance
S50252,REG-1179,2026-09-18 09:30:04,Main entrance
S50253,REG-1184,2026-09-18 09:31:27,Registration desk
S50254,REG-1040,2026-09-18 09:32:41,Hall B
S50255,REG-1104,2026-09-18 09:33:44,Registration desk
S50256,REG-1095,2026-09-18 09:33:48,Main entrance
S50257,REG-1228,2026-09-18 09:34:06,Main entrance
S50258,STF-122,2026-09-18 09:36:22,Hall B
S50259,REG-1221,2026-09-18 09:36:57,Main entrance
S50260,REG-1143,2026-09-18 09:40:19,Main entrance
S50261,REG-1217,2026-09-18 09:42:21,Registration desk
S50262,REG-1189,2026-09-18 09:42:45,Main entrance
S50263,reg-1034,2026-09-18 09:43:17,Registration desk
S50264,REG-1174,2026-09-18 09:45:51,Main entrance
S50265,REG-1108,2026-09-18 09:47:37,Hall B
S50266,REG-1098,2026-09-18 09:55:41,Hall B
S50267,REG-1063,2026-09-18 09:56:34,Main entrance
S50268,REG-1196,2026-09-18 09:57:11,Main entrance
S50269,REG-1016,2026-09-18 10:00:10,Registration desk
S50270,REG-1007,2026-09-18 10:02:01,Registration desk
S50271,REG-1243,2026-09-18 10:02:19,Registration desk
S50272,REG-1067,2026-09-18 10:05:05,Hall B
S50273,REG-1107,2026-09-18 10:05:43,Hall B
S50274,REG-1191,2026-09-18 10:06:03,Registration desk
S50275,REG-1220,2026-09-18 10:06:56,Main entrance
S50276,REG-1079,2026-09-18 10:07:57,Registration desk
S50277,REG-1008,2026-09-18 10:08:33,Registration desk
S50278,REG-1113,2026-09-18 10:08:45,Hall B
S50279,REG-1080,2026-09-18 10:12:22,Registration desk
S50280,REG-1015,2026-09-18 10:12:47,Main entrance
S50281,REG-1089,2026-09-18 10:14:00,Main entrance
S50282,REG-1005,2026-09-18 10:18:56,Hall B
S50283,REG-1167,2026-09-18 10:21:52,Hall B
S50284,REG-1156,2026-09-18 10:23:01,Main entrance
S50285,REG-1094,2026-09-18 10:24:35,Main entrance
S50286,REG-1170,2026-09-18 10:26:20,Main entrance
S50287,REG-1031,2026-09-18 10:26:59,Main entrance
S50288,REG-1028,2026-09-18 10:31:56,Registration desk
S50289,REG-1085,2026-09-18 10:32:21,Main entrance
S50290,REG-1084,2026-09-18 10:35:28,Hall B
S50291,REG-1124,2026-09-18 10:36:29,Hall B
S50292,reg-1003,2026-09-18 10:36:59,Main entrance
S50293,REG-1091,2026-09-18 10:40:46,Hall B
S50294,REG-1053,2026-09-18 10:41:59,Main entrance
S50295,REG-1088,2026-09-18 10:42:30,Main entrance
S50296,REG-1103,2026-09-18 10:43:09,Main entrance
S50297,REG-1157,2026-09-18 10:44:13,Main entrance
S50298,REG-1062,2026-09-18 10:47:14,Main entrance
S50299,REG-1198,2026-09-18 10:47:29,Main entrance
S50300,REG-1127,2026-09-18 10:49:24,Main entrance
S50301,REG-1122,2026-09-18 10:51:28,Main entrance
S50302,REG-1058,2026-09-18 10:52:34,Main entrance
S50303,REG-1002,2026-09-18 10:53:33,Main entrance
S50304,REG-1044,2026-09-18 10:53:52,Registration desk
S50305,REG-1013,2026-09-18 10:55:01,Main entrance
S50306,REG-1042,2026-09-18 10:57:32,Hall B
S50307,REG-1070,2026-09-18 10:57:39,Registration desk
S50308,REG-1030,2026-09-18 10:59:59,Main entrance
S50309,REG-1086,2026-09-18 10:59:59,Main entrance
S50310,STF-101,2026-09-18 12:14:52,Registration desk
S50311,REG-1140,2026-09-18 14:00:41,Main entrance
S50312,REG-1062,2026-09-18 14:03:38,Registration desk
S50313,REG-1091,2026-09-18 14:06:22,Registration desk
S50314,REG-1107,2026-09-18 14:06:31,Main entrance
S50315,REG-1087,2026-09-18 14:08:08,Main entrance
S50316,REG-1192,2026-09-18 14:09:40,Main entrance
S50317,REG-1005,2026-09-18 14:10:23,Main entrance
S50318,REG-1001,2026-09-18 14:10:25,Main entrance
S50319,REG-1202,2026-09-18 14:12:15,Main entrance
S50320,REG-1134,2026-09-18 14:12:39,Hall B
S50321,REG-1010,2026-09-18 14:13:26,Main entrance
S50322,REG-1003,2026-09-18 14:15:31,Main entrance
S50323,REG-1125,2026-09-18 14:19:34,Main entrance
S50324,REG-1235,2026-09-18 14:19:54,Main entrance
S50325,REG-1061,2026-09-18 14:20:40,Main entrance
S50326,REG-1136,2026-09-18 14:25:43,Registration desk
S50327,REG-1167,2026-09-18 14:26:23,Main entrance
S50328,REG-1144,2026-09-18 14:27:02,Main entrance
S50329,REG-1219,2026-09-18 14:27:11,Main entrance
S50330,REG-1029,2026-09-18 14:28:00,Hall B
S50331,REG-1095,2026-09-18 14:29:13,Registration desk
S50332,REG-1185,2026-09-18 14:29:20,Hall B
S50333,REG-1218,2026-09-18 14:30:12,Main entrance
S50334,REG-1186,2026-09-18 14:31:09,Main entrance
S50335,REG-1078,2026-09-18 14:38:21,Main entrance
S50336,REG-1100,2026-09-18 14:39:07,Registration desk
S50337,REG-1023,2026-09-18 14:40:27,Hall B
S50338,REG-1221,2026-09-18 14:48:38,Main entrance
S50339,REG-1177,2026-09-18 14:49:02,Hall B
S50340,REG-1070,2026-09-18 14:49:32,Main entrance
S50341,REG-1232,2026-09-18 14:51:57,Registration desk
S50342,REG-1048,2026-09-18 14:54:16,Main entrance
S50343,REG-1243,2026-09-18 14:56:48,Registration desk
S50344,REG-1083,2026-09-18 14:57:03,Hall B
S50345,REG-1162,2026-09-18 14:58:16,Main entrance
S50346,REG-1081,2026-09-18 15:05:16,Main entrance
S50347,REG-1041,2026-09-18 15:08:30,Hall B
S50348,REG-1159,2026-09-18 15:09:40,Hall B
S50349,REG-1128,2026-09-18 15:11:27,Main entrance
S50350,REG-1205,2026-09-18 15:12:32,Main entrance
S50351,REG-1201,2026-09-18 15:14:59,Main entrance
S50352,REG-1126,2026-09-18 15:16:57,Main entrance
S50353,REG-1101,2026-09-18 15:18:09,Main entrance
S50354,REG-1138,2026-09-18 15:19:04,Main entrance
S50355,REG-1229,2026-09-18 15:19:15,Registration desk
S50356,REG-1053,2026-09-18 15:19:21,Main entrance
S50357,REG-1069,2026-09-18 15:22:42,Registration desk
S50358,REG-1093,2026-09-18 15:24:32,Main entrance
S50359,REG-1006,2026-09-18 15:29:45,Main entrance
S50360,REG-1207,2026-09-18 15:31:09,Main entrance
S50361,REG-1215,2026-09-18 15:33:55,Hall B
S50362,REG-1067,2026-09-18 15:34:30,Main entrance
S50363,REG-1135,2026-09-18 15:35:00,Registration desk
S50364,REG-1111,2026-09-18 15:37:26,Main entrance
S50365,REG-1123,2026-09-18 15:38:10,Hall B
S50366,REG-1098,2026-09-18 15:40:40,Main entrance
S50367,REG-1052,2026-09-18 15:42:09,Main entrance
S50368,REG-1075,2026-09-18 15:43:51,Main entrance
S50369,REG-1118,2026-09-18 15:45:16,Main entrance
S50370,REG-1106,2026-09-18 15:47:13,Main entrance
S50371,REG-1157,2026-09-18 15:47:30,Main entrance
S50372,REG-1189,2026-09-18 15:48:20,Hall B
S50373,REG-1169,2026-09-18 15:52:47,Main entrance
S50374,REG-1155,2026-09-18 15:54:49,Hall B
S50375,REG-1084,2026-09-18 15:54:58,Registration desk
S50376,REG-1112,2026-09-18 15:57:01,Hall B
S50377,REG-1211,2026-09-18 15:57:26,Main entrance
S50378,REG-1214,2026-09-18 16:00:26,Main entrance
S50379,REG-1141,2026-09-18 16:02:10,Registration desk
S50380,REG-1065,2026-09-18 16:08:07,Hall B
S50381,REG-1149,2026-09-18 16:08:50,Main entrance
S50382,REG-1031,2026-09-18 16:08:56,Main entrance
S50383,REG-1190,2026-09-18 16:10:30,Main entrance
S50384,REG-1109,2026-09-18 16:10:31,Main entrance
S50385,REG-1079,2026-09-18 16:11:38,Hall B
S50386,REG-1076,2026-09-18 16:11:39,Registration desk
S50387,REG-1097,2026-09-18 16:12:35,Main entrance
S50388,REG-1085,2026-09-18 16:15:01,Main entrance
S50389,REG-1116,2026-09-18 16:16:57,Hall B
S50390,REG-1012,2026-09-18 16:16:59,Main entrance
S50391,REG-1163,2026-09-18 16:17:14,Main entrance
S50392,REG-1030,2026-09-18 16:22:12,Main entrance
S50393,REG-1104,2026-09-18 16:24:25,Main entrance
S50394,REG-1034,2026-09-18 16:25:16,Main entrance
S50395,REG-1056,2026-09-18 16:25:38,Registration desk
S50396,REG-1133,2026-09-18 16:25:39,Hall B
S50397,REG-1175,2026-09-18 16:28:35,Registration desk
S50398,REG-1173,2026-09-18 16:32:32,Main entrance
S50399,REG-1008,2026-09-18 16:34:04,Main entrance
S50400,REG-1094,2026-09-18 16:34:36,Main entrance
S50401,REG-1120,2026-09-18 16:45:55,Main entrance
S50402,REG-1130,2026-09-18 16:45:57,Hall B
S50403,REG-1174,2026-09-18 16:51:24,Main entrance
S50404,REG-1020,2026-09-18 16:54:12,Main entrance
S50405,REG-1122,2026-09-18 16:54:44,Registration desk
S50406,REG-1016,2026-09-18 16:55:16,Hall B
S50407,REG-1121,2026-09-18 16:58:30,Registration desk
S50408,STF-102,2026-09-18 16:58:52,Main entrance
S50409,REG-1137,2026-09-18 16:58:57,Main entrance
S50410,REG-1013,2026-09-18 16:59:08,Main entrance
S50411,STF-135,2026-09-18 18:14:37,Hall B
S50412,STF-135,2026-09-18 18:50:00,Main entrance
