Account ID,Organization,Activity Date,Type,Owner Email,Note
NS-1313,Cascade Physical Therapy,2026-07-31,Meeting,kara.thompson@northstarsigns.com,stopped by with vinyl samples
NS-1328,Summit Title Co,2025-11-23,Call,diego.perez@northstarsigns.com,phoned re: permit status for the blade sign
NS-1468,Grandview Apartments,2025-11-24,Meeting,sofia.cruz@northstarsigns.com,met with facilities about the window graphics
NS-1468,Grandview Apartments,2026-05-12,Call,jason.miller@northstarsigns.com,"called the owner, wants pricing on the pylon sign"
NS-1468,Grandview Apartments,2026-06-13,Email,sofia.cruz@northstarsigns.com,"sent quote, install booked for 9/9"
NS-1468,Grandview Apartments,2026-06-25,Meeting,sofia.cruz@northstarsigns.com,stopped by with vinyl samples
NS-1468,Grandview Apartments,2026-07-14,Call,sofia.cruz@northstarsigns.com,"call with GM, budget is tight until next quarter"
NS-1105,Redstone Chiropractic,2025-12-09,Email,jason.miller@northstarsigns.com,emailed proof v2 of the A-frame
NS-1105,Redstone Chiropractic,2026-04-06,Email,jason.miller@northstarsigns.com,email from office mgr - they approved colors
NS-1105,Redstone Chiropractic,2026-05-28,Meeting,jason.miller@northstarsigns.com,walkthrough with landlord for the A-frame
NS-1283,Two Rivers Realty,2026-01-21,Meeting,jason.miller@northstarsigns.com,"site visit, measured the channel letters wall"
NS-1283,Two Rivers Realty,2026-01-27,Email,diego.perez@northstarsigns.com,emailed revised quote for the channel letters
NS-1283,Two Rivers Realty,2026-05-14,Email,diego.perez@northstarsigns.com,email from office mgr - they approved colors
NS-1283,Two Rivers Realty,2026-08-19,Call,sofia.cruz@northstarsigns.com,phoned re: permit status for the window graphics
NS-1245,Lighthouse Church,2025-12-31,Call,jason.miller@northstarsigns.com,"called, left vm about the blade sign"
NS-1245,Lighthouse Church,2026-05-05,Email,sofia.cruz@northstarsigns.com,email from office mgr - they approved colors
NS-1227,Pioneer Hardware,2025-12-26,Email,jason.miller@northstarsigns.com,emailed proof v2 of the blade sign
NS-1227,Pioneer Hardware,2026-01-16,Email,sofia.cruz@northstarsigns.com,sent quote for ADA room signs plus install
NS-1227,Pioneer Hardware,2026-02-12,Meeting,kara.thompson@northstarsigns.com,stopped by with vinyl samples
NS-1227,Pioneer Hardware,2026-02-21,Meeting,diego.perez@northstarsigns.com,"met owner on site, install booked for 9/11"
NS-1227,Pioneer Hardware,2026-06-25,Email,jason.miller@northstarsigns.com,emailed revised quote for the blade sign
NS-1444,Hilltop Pizza Co,2026-01-21,Call,kara.thompson@northstarsigns.com,"called, left vm about the blade sign"
NS-1444,Hilltop Pizza Co,2026-04-02,Call,kara.thompson@northstarsigns.com,phoned re: permit status for the monument sign
NS-1444,Hilltop Pizza Co,2026-05-16,Call,kara.thompson@northstarsigns.com,"call with GM, budget is tight until next quarter"
NS-1444,Hilltop Pizza Co,2026-07-01,Meeting,jason.miller@northstarsigns.com,"site visit, measured the ADA room signs wall"
NS-1444,Hilltop Pizza Co,2026-08-28,Meeting,kara.thompson@northstarsigns.com,walkthrough with landlord for the window graphics
